,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
49,"Davis, Kiana",SO-2,Washington St.,1.78m,"5' 10""",UCLA vs. WSU vs. Long Beach,2015-03-24,HJ,W
49,"Rahn, Xenia",SR-4,North Carolina,1.78m,"5' 10""",ACC Outdoor Track & Field Championships,2015-05-14,HJ,W
49,"Palmer, Chennel",FR-1,Northern Illinois,1.78m,"5' 10""",Mid-American Outdoor Track & Field Championships,2015-05-14,HJ,W
49,"Gochenour, Alex",JR-3,Arkansas,1.78m,"5' 10""",2015 Clyde Littlefield Texas Relays,2015-03-25,HJ,W
59,"Ahrens, Stephanie",FR-1,Nebraska-Omaha,1.77m,"5' 9.75""",Dakota Duals,2015-04-04,HJ,W
59,"Sutherland, Emma",SR-4,San Jose St.,1.77m,"5' 9.75""",Johnny Mathis Invitational,2015-03-20,HJ,W
59,"Siuciak, Emma",SR-4,Buffalo,1.77m,"5' 9.75""",Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,HJ,W
59,"Ding, Daisy",SO-2,Rice,1.77m,"5' 9.75""",64th Annual TSU Relays (College),2015-03-20,HJ,W
63,"Hawkins, Chari",SR-4,Utah State,1.76m,"5' 9.25""",Mountain West Outdoor Track & Field Championships,2015-05-13,HJ,W
63,"Bryan, Danielle",JR-3,Cal Poly,1.76m,"5' 9.25""",2015 Big West Championships,2015-05-15,HJ,W
63,"Whitson, Morgan",SR-4,Missouri,1.76m,"5' 9.25""",2015 Clyde Littlefield Texas Relays,2015-03-25,HJ,W
63,"Robinson, Shakedra",SO-2,Kennesaw State,1.76m,"5' 9.25""",2015 University of Southern Mississippi Invitational,2015-04-24,HJ,W
63,"Kirschling, Megan",SO-2,Elon,1.76m,"5' 9.25""",CAA Outdoor Track and Field Championships,2015-05-01,HJ,W
63,"Brooks, Taliyah",FR-1,Arkansas,1.76m,"5' 9.25""",SEC Championships,2015-05-14,HJ,W
63,"Ellenwood, Georgia",SO-2,Wisconsin,1.76m,"5' 9.25""",Big Ten Outdoor Track & Field Championships,2015-05-15,HJ,W
63,"Gilbertson, Maggie",SR-4,Louisville,1.76m,"5' 9.25""",Georgia Tech Invitational,2015-04-17,HJ,W
63,"Ward, Jordan",SO-2,Boise State,1.76m,"5' 9.25""",Mountain West Outdoor Track & Field Championships,2015-05-13,HJ,W
63,"Pfeiffer, Jenna",JR-3,Baylor,1.76m,"5' 9.25""",Big 12 Outdoor Track & Field Championships,2015-05-15,HJ,W
