,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
20,Arizona State (C),44.17,"Gooden, Tate, Herring, Franklin",2014 Double Dual Meet UA/ASU/NAU,2014-05-03,4x100,W
22,Alabama (B),44.18,"Burks, Burchell, Kimpel, Sims",Jace LaCoste Invitational,2014-05-02,4x100,W
23,Houston (C),44.22,"Carter, Brewer, Perkins, Onwumere",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,W
24,Arizona (C),44.27,"Pridgett, Romero, Hicks, Poston",2014 Double Dual Meet UA/ASU/NAU,2014-05-03,4x100,W
25,Auburn (B),44.29,"Scarlett, Martin, Robinson, Morrison",SEC Outdoor Championship,2014-05-15,4x100,W
25,Florida State (A),44.29,"Pemberton, Zagre, Freeman, Pierce",FSU Relays (College/Open),2014-03-21,4x100,W
27,LSU (C),44.32,"Stowers, Duncan, Harvey, Friar",LSU Invitational,2014-05-03,4x100,W
27,Texas A&M (B),44.32,"Daniels, Ekpone, Mayungbe, Bellille",UTSA Texas Challenge Invitational,2014-03-21,4x100,W
29,East Carolina (A),44.38,"Minkins, Hawkins, Tucker, Dawson",Conference USA Outdoor Track & Field Championships,2014-05-15,4x100,W
30,UCF (D),44.42,"Bellamy, Peterson, Clayton, Vaughn",Georgia Tech Invitational,2014-05-16,4x100,W
31,Kentucky (C),44.44,"Booker, Bryant, Parker, Pipkin",Kentucky Relays (College Division),2014-04-19,4x100,W
32,UCF (A),44.45,"Vaughn, Bellamy, Clayton, Nieuwendam",UCF Black and Gold Challenge,2014-03-22,4x100,W
33,Texas A&M (E),44.48,"Daniels, Brown, Mayungbe, Little",35th Sun Angel Track Classic,2014-04-11,4x100,W
34,South Carolina (C),44.50,"Brockington, Harris, Bandy, Johnson",SEC Outdoor Championship,2014-05-15,4x100,W
35,Georgia Southern (A),44.50,"Felton, Walker, Tipton, Fordham",Southern Conference Outdoor Track & Field Championships,2014-04-26,4x100,W
36,Iowa (C),44.51,"Kwaza, Guster, Hernandez, Brown",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x100,W
37,Ohio State (D),44.52,"Everson, Abraham, Barnes, Pedro",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x100,W
38,Ohio State (B),44.56,"Everson, Sykes, Prior, Abraham",Jesse Owens Track Classic,2014-04-18,4x100,W
39,Texas Tech (A),44.57@,"White, Blake, Pledger, Stewart",TTU Red Raider Open,2014-05-03,4x100,W
40,Baylor (A),44.59,"Jones, Fields, Nichols, Dayries",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x100,W
41,Iowa (A),44.62,"Kwaza, Guster, Holder, Brown",Big Ten Outdoor Track & Field Championships,2014-05-16,4x100,W
42,Kansas (B),44.63,"Keys, Dixon, Valentine, Conley",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x100,W
43,Penn State (D),44.64,"Gibson, Jones, McGee, Seymour",Big Ten Outdoor Track & Field Championships,2014-05-16,4x100,W
44,Texas (C),44.65,"Snow, Udoh, Akinosun, Baisden",Texas Invitational,2014-04-12,4x100,W
44,South Carolina (A),44.65,"Johnson, Harris, Bandy, Brockington",Shamrock Invitational 2014,2014-03-20,4x100,W
46,Kansas (A),44.67,"Valentine, Conley, Sanni, Dixon",LSU Battle on the Bayou,2014-04-05,4x100,W
47,Louisiana Tech (C),44.68,"Francis, Blount, Walker, Craddock",Conference USA Outdoor Track & Field Championships,2014-05-15,4x100,W
47,Arkansas (B),44.68,"Harper, Ellis-Watson, Williams, Williams",Arkansas Spring Invitational,2014-04-04,4x100,W
49,Auburn (C),44.69,"Scarlett, Martin, Robinson, Morrison",Penn Relays,2014-04-24,4x100,W
50,Indiana State (E),44.76,"Camble, Wise, Marrero, Obasih",EIU Last Chance Twilight,2014-05-09,4x100,W
51,North Dakota St. (A),44.81,"John, Milbrath, Tingelstad, Goodman",Stanford Invitational,2014-04-04,4x100,W
51,Auburn (A),44.81,"Robinson, Martin, Brown, Morrison",Georgia Tech Yellow Jacket Invitational,2014-03-28,4x100,W
53,Jacksonville (A),44.84,"Walker, Walker, Phillips, Campbell",UCF Black and Gold Challenge,2014-03-22,4x100,W
54,UTEP (D),44.85@,"McGhee, Jackson, Stiverne, Uwakwe",UTEP Invitational,2014-04-12,4x100,W
55,Cal St. Northridge (B),44.89,"Vines, Kamara, Lambert, Veale",Stanford Invitational,2014-04-04,4x100,W
55,Jacksonville (B),44.89,"Walker, Walker, Campbell, Story",North Florida Invitational,2014-04-26,4x100,W
57,Notre Dame (A),44.90,"Barber, Barber, Brown, Urssery",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x100,W
57,Kennesaw State (B),44.90,"Cernochova, Whittle, Wood, Slayton",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,W
59,Michigan State (A),44.91,"Westney, Evans, Williams, Rose",Big Ten Outdoor Track & Field Championships,2014-05-16,4x100,W
60,TCU (A),44.92,"Paiement, Moore, Jones, Ugen",TCU College Invitational,2014-03-20,4x100,W
60,UCLA (A),44.92,"Lewis, Price, Wilson, Buchanan",UCLA vs USC,2014-05-04,4x100,W
60,Western Kentucky (A),44.92,"Hardy, Cooley, Agwunobi, Akachukwu",Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,4x100,W
63,Ohio State (C),44.93,"Everson, Abraham, Sykes, Pedro",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x100,W
64,Miami (A),44.94,"Richards, McClure, King, Wimbley",LSU Invitational,2014-05-03,4x100,W
64,Kentucky (A),44.94,"Saunders, Adair, Booker, Tyson",2014 Baldy Castillo Invitational,2014-03-21,4x100,W
66,Arizona State (B),44.95,"Gibbs, Tate, Herring, Franklin",2014 Baldy Castillo Invitational,2014-03-21,4x100,W
67,Hampton (D),44.96,"Denmark, Greene, Parker, Norman",Florida Relays,2014-04-03,4x100,W
68,Rutgers (D),44.97,"Gillon, Ruth, Ugboaja, Farquharson",The American Outdoor Track & Field Championships,2014-05-02,4x100,W
68,Ohio State (A),44.97,"Abraham, Sykes, Prior, Pedro",Georgia Tech Yellow Jacket Invitational,2014-03-28,4x100,W
70,UC Davis (A),45.02,"Marshall, Miller, Nixon, Reed",Causeway Classic,2014-05-02,4x100,W
70,Alabama (A),45.02,"Burks, Kimpel, Thomas, Sims",Alabama Relays,2014-03-20,4x100,W
72,North Dakota St. (C),45.03,"John, Jackson, Tingelstad, Goodman",Summit League Outdoor Track & Field Championships,2014-05-15,4x100,W
72,Ohio State (E),45.03,"Abraham, Prior, Barnes, Everson",Dave Rankin Invite,2014-05-02,4x100,W
74,Nebraska (E),45.04,"McCarty, Weekes, Andrews, Baird",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x100,W
75,Tennessee St. (A),45.05,"Dameus, Jackson, Hughes, Sales",2014 OVC Outdoor T&F Championships,2014-05-02,4x100,W
75,Cal St. Northridge (A),45.05,"Vines, Veale, Lambert, Dirks",Longhorn Invitational,2014-05-03,4x100,W
75,UTEP (E),45.05,"James, Jackson, Stiverne, Wilson",Conference USA Outdoor Track & Field Championships,2014-05-15,4x100,W
78,TCU (B),45.06,"Sillemon, Moore, Jones, Ugen",Rafer / JJK Collegiate Invitational,2014-04-12,4x100,W
78,Washington St. (C),45.06,"Logan, Keel, Ekelem, Darden",2014 Jim Click Shootout,2014-04-12,4x100,W
80,Tennessee (A),45.15,"Brown, Majors, McDougald, Yarnell",Florida Relays,2014-04-03,4x100,W
80,Kansas (C),45.15@,"Keys, Dixon, Valentine, Sanni",Big 12 Outdoor Track and Field Championships,2014-05-16,4x100,W
80,UCLA (B),45.15,"Adeyemi, Price, Wilson, Buchanan",Pac-12 Outdoor Track and Field Championships,2014-05-17,4x100,W
80,UCF (C),45.15,"Bellamy, Charles, Clayton, Vaughn",UCF Invitational,2014-03-28,4x100,W
84,Tennessee (B),45.16,"Ruff, Brown, Majors, Jackson",Tennessee Relays,2014-04-10,4x100,W
85,Virginia (A),45.19,"Wright, Chaney, Lavender",Virginia Cup,2014-03-22,4x100,W
86,Florida Int'l (A),45.20,"Fluellen, Jackson, Anu, Dumoy",Conference USA Outdoor Track & Field Championships,2014-05-15,4x100,W
87,Missouri State (A),45.21,"Borders, Joseph, Maximilien, Husbands",2014 MVC Outdoor Track & Field Championships,2014-05-16,4x100,W
87,North Dakota St. (B),45.21,"Jackson, Milbrath, Tingelstad, Goodman",Mt. SAC Relays,2014-04-17,4x100,W
87,Florida State (B),45.21,"Pemberton, Freeman, Pierce, Davis-White",Georgia Tech Invitational,2014-05-16,4x100,W
87,Auburn (D),45.21,"Martin, Richmond, Morrison, Scarlett",University of Tennessee Challenge,2014-05-03,4x100,W
91,Cal St. Fullerton (B),45.22,"Brown, Sims, Stewart, Thompson",UCR Spring Break Invitational,2014-03-27,4x100,W
92,Virginia (B),45.23,"Rose, Wright, Chaney, Lavender",ACC Outdoor Track & Field Championships,2014-04-17,4x100,W
92,Connecticut (C),45.23,"Anderson, Emerson, Smith-Jenkins, Joseph",2014 ECAC-IC4A Outdoor Championships,2014-05-16,4x100,W
92,Clemson (B),45.23,"Fountain, Wesh, Amsterdam, James",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,W
95,Charlotte (C),45.24,"Justice, Blakney, Blakney, Jones",Conference USA Outdoor Track & Field Championships,2014-05-15,4x100,W
95,Georgia State (E),45.24,"Colbert, Brewer, Randolph, Gilbert",Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,4x100,W
97,Oregon (B),45.27,"Wallace, Brennan, Horsley, Okodogbe",Pepsi Dual,2014-04-05,4x100,W
97,South Carolina (G),45.27,"Brockington, Harris, Haith, Johnson",Georgia Invitational,2014-05-10,4x100,W
97,UC Davis (C),45.27,"Marshall, Nixon, Reed, Pearson",Stanford Invitational,2014-04-04,4x100,W
100,Austin Peay (A),45.28,"Jones, Davis, Adams, Ross",2014 OVC Outdoor T&F Championships,2014-05-02,4x100,W
