,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
26,"Hill, Dontavious",FR-1,Auburn,2.17m,"7' 1.5""",Tiger Track Classic 2019,2019-04-05,HJ,M
31,"Fredrickson, Peyton",SR-4,Washington St.,2.16m,"7' 1""",Bryan Clay Invitational,2019-04-17,HJ,M
31,"Gordon, Allen",SO-2,Ole Miss,2.16m,"7' 1""",LSU Invitational,2019-04-27,HJ,M
31,"Giannettino, Jeff",SR-4,Army West Point,2.16m,"7' 1""",Drake Relays presented by Hy-Vee,2019-04-24,HJ,M
31,"Durst, Jack",FR-1,South Dakota,2.16m,"7' 1""",Summit League T&F Outdoor Championships,2019-05-08,HJ,M
31,"Parker, Caleb",JR-3,Southern Miss.,2.16m,"7' 1""",LSU Alumni Gold,2019-04-20,HJ,M
36,"Benninghoff, Jake",SO-2,Texas Tech,2.15m,"7' 0.5""",Michael Johnson Invitational,2019-04-19,HJ,M
36,"Guidry, Damon",JR-3,UL-Lafayette,2.15m,"7' 0.5""",McNeese State Springtime Classic,2019-04-06,HJ,M
36,"Cuskelly, Landon",SR-4,Missouri,2.15m,"7' 0.5""",Tom Botts Invitational,2019-04-19,HJ,M
36,"Milton, Jacob",JR-3,Norfolk State,2.15m,"7' 0.5""",New Captains Classic & Combined Events,2019-04-19,HJ,M
36,"Buckmaster, Mason",JR-3,Wichita State,2.15m,"7' 0.5""",The American Outdoor Track & Field Championships,2019-05-10,HJ,M
41,"Ridout, Rivers",SR-4,Duke,2.14m,"7' 0.25""",Virginia Grand Prix,2019-04-26,HJ,M
41,"Hunt , Jay",SO-2,Iowa,2.14m,"7' 0.25""",Big Ten Championships,2019-05-10,HJ,M
41,"Hollis, Jeff",SO-2,Princeton,2.14m,"7' 0.25""",Ivy League Outdoor Track & Field Championships,2019-05-04,HJ,M
41,"Fray-Benoit, Leaugen",SR-4,Utah State,2.14m,"7' 0.25""",2019 BYU Robison Invitational,2019-04-25,HJ,M
41,"Miller, Reggie",JR-3,Miss State,2.14m,"7' 0.25""",Crimson Tide Invitational,2019-04-11,HJ,M
41,"Manyeah, Dennis",SO-2,La Salle,2.14m,"7' 0.25""",Atlantic 10 Outdoor Track & Field Championships,2019-05-04,HJ,M
41,"Lewis, Justin",JR-3,Arizona,2.14m,"7' 0.25""",Jim Click Shootout,2019-04-06,HJ,M
41,"Burke, Michael",SR-4,UCLA,2.14m,"7' 0.25""",2019 Pac-12 Track & Field Championships,2019-05-04,HJ,M
41,"Steenkamp, Tiaan",SR-4,Arkansas State,2.14m,"7' 0.25""",Sun Belt Outdoor Track and Field Championships,2019-05-10,HJ,M
41,"Simonsen, Hunter",SO-2,Utah State,2.14m,"7' 0.25""",2019 BYU Robison Invitational,2019-04-25,HJ,M
41,"Andu, Nuh",FR-1,Akron,2.14m,"7' 0.25""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,HJ,M
52,"Causey, Trey",FR-1,Virginia,2.13m,"6' 11.75""",Virginia Challenge,2019-04-19,HJ,M
52,"Christie, Perry",JR-3,Rutgers,2.13m,"6' 11.75""",Virginia Challenge,2019-04-19,HJ,M
54,"Armstrong, Daniel",JR-3,Marquette,2.12m,"6' 11.5""",Twilight Meet,2019-04-18,HJ,M
54,"Oxendine, Dakota",FR-1,Western Carolina,2.12m,"6' 11.5""",2019 Southern Conference Outdoor Track & Field Championships,2019-04-27,HJ,M
54,"Rivera, Brendon",JR-3,Houston,2.12m,"6' 11.5""",The American Outdoor Track & Field Championships,2019-05-10,HJ,M
54,"Scott, Safir",SO-2,Connecticut,2.12m,"6' 11.5""",North Florida Spring Break Invitational,2019-03-21,HJ,M
54,"Merlos, Antonios",SO-2,Georgia,2.12m,"6' 11.5""",Spec Towns Invitational,2019-04-05,HJ,M
54,"Adams, Tyler",SR-4,Sam Houston St.,2.12m,"6' 11.5""",Southland Conference Outdoor Track and Field Championship,2019-05-03,HJ,M
54,"Massey, Frank",FR-1,Arkansas State,2.12m,"6' 11.5""",Spec Towns Invitational,2019-04-05,HJ,M
61,"McRoberts, Anthony",JR-3,Louisville,2.11m,"6' 11""",Houston Spring Break Invitational,2019-03-14,HJ,M
61,"Jacobson, Mitch",SO-2,Washington St.,2.11m,"6' 11""",UW vs WSU Dual,2019-04-06,HJ,M
61,"Sizemore, Titus",JR-3,Troy,2.11m,"6' 11""",Sun Belt Outdoor Track and Field Championships,2019-05-10,HJ,M
61,"Torres, Jaasiel",FR-1,North Florida,2.11m,"6' 11""",UF Tom Jones Memorial,2019-04-26,HJ,M
61,"Fightmaster, Keyth",SR-4,Samford,2.11m,"6' 11""",Falcon Finale,2019-05-10,HJ,M
61,"Wagner, Max",JR-3,Michigan,2.11m,"6' 11""",Big Ten Championships,2019-05-10,HJ,M
61,"Kelly, Jacob",SO-2,Villanova,2.11m,"6' 11""",BIG EAST Outdoor Track & Field Championships,2019-05-10,HJ,M
61,"Van Horn, Tim",SR-4,CSU Bakersfield,2.11m,"6' 11""",2019 Pomona-Pitzer Invitational (College/Univ),2019-04-06,HJ,M
61,"Hughes, Elijah",JR-3,Arizona State,2.11m,"6' 11""",2019 Baldy Castillo Invitational,2019-03-15,HJ,M
61,"Diehl, Andrew",SR-4,Princeton,2.11m,"6' 11""",Ivy League Outdoor Track & Field Championships,2019-05-04,HJ,M
61,"Henderson Jr., Ronald",JR-3,Campbell,2.11m,"6' 11""",Big South Outdoor Track and Field Championships,2019-05-08,HJ,M
61,"Tinch, Cordell",FR-1,Kansas,2.11m,"6' 11""",Kansas Relays,2019-04-17,HJ,M
61,"Walton, Marcus",SO-2,North Dakota State,2.11m,"6' 11""",Beach Invitational,2019-04-19,HJ,M
61,"Scarborough, Jack",FR-1,Texas Tech,2.11m,"6' 11""",Fearless Champion Open,2019-03-22,HJ,M
61,"Hamilton, Anthony",SO-2,Clemson,2.11m,"6' 11""",ACC Championships,2019-05-09,HJ,M
61,"Moore, Nate",FR-1,Maryland,2.11m,"6' 11""",Big Ten Championships,2019-05-10,HJ,M
61,"Adams, Noah",JR-3,Illinois,2.11m,"6' 11""",Ole Miss Classic,2019-03-30,HJ,M
61,"Diomande, Malick",JR-3,Cornell,2.11m,"6' 11""",Ivy League Outdoor Track & Field Championships,2019-05-04,HJ,M
61,"Hinegardner, Sam",SR-4,Air Force,2.11m,"6' 11""",Jack Christiansen Invitational,2019-04-26,HJ,M
61,"Langdon, Connor",JR-3,Coastal Carolina,2.11m,"6' 11""",Alan Connie Shamrock Invite,2019-03-14,HJ,M
61,"Obray, Chandler",FR-1,Utah State,2.11m,"6' 11""",2019 BYU Robison Invitational,2019-04-25,HJ,M
61,"Cody, Jeremy",FR-1,Colorado,2.11m,"6' 11""",Colorado Invitational 2019,2019-04-05,HJ,M
61,"Lorimier, Jared",JR-3,BYU,2.11m,"6' 11""",2019 BYU Robison Invitational,2019-04-25,HJ,M
61,"Beynon, AJ",SO-2,BYU,2.11m,"6' 11""",2019 BYU Robison Invitational,2019-04-25,HJ,M
85,"Patten, Jacob",SR-4,Mid. Tenn. State,2.10m,"6' 10.75""",Yellow Jacket Invitational (College),2019-03-15,HJ,M
85,"Clancy, Kyle",SR-4,UC Davis,2.10m,"6' 10.75""",2019 Big West Multi Championships,2019-05-03,HJ,M
85,"Brown, Deshonn",SR-4,South Dakota,2.10m,"6' 10.75""",Summit League T&F Outdoor Championships,2019-05-08,HJ,M
85,"Agnew, Noah",SR-4,Memphis,2.10m,"6' 10.75""",War Eagle Invitational 2019,2019-04-19,HJ,M
85,"Stuckey, Justin",FR-1,Samford,2.10m,"6' 10.75""",Raleigh Relays,2019-03-29,HJ,M
85,"Jones, Marvin",SO-2,N.C. Central,2.10m,"6' 10.75""",Charlotte 49er Classic,2019-03-14,HJ,M
85,"Foote, Drake",SR-4,UC Davis,2.10m,"6' 10.75""",40th Sun Angel Track Classic,2019-04-05,HJ,M
85,"Larson, Travis",SO-2,South Dakota,2.10m,"6' 10.75""",USD Twilight,2019-04-23,HJ,M
85,"Linnin, Christopher",SR-4,Grand Canyon,2.10m,"6' 10.75""",41st Annual Aztec Invitational,2019-03-22,HJ,M
85,"Gardner, Cason",FR-1,George Mason,2.10m,"6' 10.75""",Duke Invitational,2019-04-19,HJ,M
