,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
81,"Tuiasosopo, Aisiah",JR-3,Fresno State,58.64m,"192' 5""",Mountain West Outdoor Track & Field Championships,2017-05-10,HT,W
82,"Keating, Rebecca",SO-2,Missouri,58.50m,"191' 11""",Texas State Bobcat Invitational,2017-03-30,HT,W
83,"Velasquez, Kayla",SR-4,Bowling Green,58.45m,"191' 9""",Mid-American Outdoor Track & Field Championships,2017-05-11,HT,W
84,"Jakelijic, Petra",SO-2,Gardner-Webb,58.44m,"191' 9""",Charlotte Invitational,2017-04-14,HT,W
85,"Miranda, Paola",JR-3,TCU,58.40m,"191' 7""",2017 Horned Frog Invitational,2017-04-15,HT,W
86,"Woods, Nyla",JR-3,St. John's,58.38m,"191' 6""",Georgia Tech Invitational,2017-04-21,HT,W
87,"O'Hara, Emma",JR-3,Maryland,58.32m,"191' 4""",2017 Larry Ellis Invitational,2017-04-21,HT,W
88,"Greene, Tayla",SR-4,UCF,58.30m,"191' 3""",38th Sun Angel Classic,2017-04-06,HT,W
89,"Wardsworth, Katie",JR-3,Washington St.,58.29m,"191' 3""",Beach Invitational,2017-04-14,HT,W
90,"Larsson, Annika",SO-2,Ole Miss,58.22m,"191' 0""",Mt. SAC Relays,2017-04-13,HT,W
91,"Evans, Lauren",SO-2,North Carolina St.,58.08m,"190' 7""",Gamecock Invitational,2017-04-15,HT,W
92,"Larrabee, Aimee",JR-3,Colorado St.,58.07m,"190' 6""",Mountain West Outdoor Track & Field Championships,2017-05-10,HT,W
93,"Waldner, Danielle",SR-4,South Dakota,58.02m,"190' 4""",Sioux City Relays UCO 2017,2017-04-21,HT,W
94,"Hatler-Stefick, Tiana",JR-3,Northern Arizona,58.01m,"190' 4""",Mesa T-Bird Invitational,2017-04-21,HT,W
95,"Cassell, Cyerra",SO-2,Louisville,57.96m,"190' 2""",2017 Louisville Invitational,2017-04-14,HT,W
96,"Wennberg, Kajsa",FR-1,Virginia Tech,57.93m,"190' 1""",Virginia Challenge,2017-04-21,HT,W
97,"Durant, Gabby",SO-2,UCF,57.85m,"189' 9""",UF Tom Jones Memorial,2017-04-28,HT,W
98,"Butler, Kaila",FR-1,Bowling Green,57.81m,"189' 8""",Toledo vs Bowling Green St,2017-04-07,HT,W
99,"Wilson, Rachel",SO-2,Penn,57.72m,"189' 4""",Penn Relays,2017-04-27,HT,W
