,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
58,"DeMar, Bailey",JR-3,North Dakota State,12.72m,"41' 8.75""",Beach Invitational,2019-04-19,1.6,TJ,W
58,"Crenshaw, Bhrandi",SO-2,N.C. Central,12.72m,"41' 8.75""",Florida Relays,2019-03-28,1.8,TJ,W
58,"Taylor, Charisma",FR-1,Washington St.,12.72m,"41' 8.75""",Jim Bush Legends Invitational,2019-03-30,0.0,TJ,W
58,"Rahman-Davies, Abibat",JR-3,Cal Poly,12.72m,"41' 8.75""",Big West Outdoor Track & Field Championships,2019-05-10,1.9,TJ,W
58,"Coombs , Latavia",SR-4,Kentucky,12.72m,"41' 8.75""",UTSA Invitational,2019-03-15,3.5,TJ,W
65,"White, Harleigh",SO-2,Clemson,12.69m,"41' 7.75""",ACC Championships,2019-05-09,2.0,TJ,W
65,"Udoumana, Imani",SO-2,Arkansas State,12.69m,"41' 7.75""",Sun Belt Outdoor Track and Field Championships,2019-05-10,0.1,TJ,W
65,"Aeschlimann, Stefanie",SO-2,Virginia Tech,12.69m,"41' 7.75""",ACC Championships,2019-05-09,1.1,TJ,W
68,"Falco, Sophia",SO-2,Texas,12.68m,"41' 7.25""",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,1.7,TJ,W
68,"Moncrieffe, Tamara",JR-3,Alabama,12.68m,"41' 7.25""",LSU Invitational,2019-04-27,1.6,TJ,W
70,"Anoma, Amiya",FR-1,Wichita State,12.67m,"41' 7""",Wichita State Shocker Open,2019-05-03,1.0,TJ,W
70,"Barron, Mia",SR-4,Virginia,12.67m,"41' 7""",Virginia Challenge,2019-04-19,2.5,TJ,W
70,"Malej, Trina",SO-2,Tulane,12.67m,"41' 7""",The American Outdoor Track & Field Championships,2019-05-10,1.7,TJ,W
73,"Patterson, Brittany",SO-2,Sacramento St.,12.66m,"41' 6.5""",2019 Mondo Team Challenge,2019-03-30,1.1,TJ,W
73,"Roane, Ryan",SO-2,Oklahoma State,12.66m,"41' 6.5""",National Relay Championships,2019-04-26,1.6,TJ,W
75,"McKnight, Kyndal",SO-2,LSU,12.65m,"41' 6""",Louisiana Classics,2019-03-15,1.2,TJ,W
