,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
85,Northern Iowa,39.96,"Ham, Trousil, Turcotte, Cooper",2018 MVC Outdoor Track & Field Championships,2018-05-11,4x100,M
85,North Carolina St. (C),39.96,"Peebles, Charleston, Patterson, Johnson",UF Tom Jones Memorial,2018-04-13,4x100,M
85,Houston (E),39.96,"Williams, Prejean, McDonald, Alexander",Victor Lopez Classic,2018-03-22,4x100,M
89,Western Kentucky (C),39.97,"Gates, Minor, Hayes, Alexandre",2018 WKU Hilltopper Relays,2018-04-06,4x100,M
90,Arizona,39.98,"Johnson, Williams, Egbo, Hing",2018 Desert Heat Classic,2018-04-28,4x100,M
91,Western Kentucky (D),39.99,"Gates, Minor, Hayes, Morris",2018 Lenny Lyles-Clark Wood Invitational,2018-04-27,4x100,M
92,Iowa (C),40.0,"Williams, Wilson, Woodard, Harris",Mt. SAC Relays,2018-04-19,4x100,M
93,Northern Arizona,40.01,"Williams, Wolfe, Dorsey, Tchenawou",2018 Desert Heat Classic,2018-04-28,4x100,M
94,Texas,40.02,"Wasome, Harris, Brown, McCarter",Home Depot Clyde Littlefield Texas Relays,2018-03-28,4x100,M
95,Stanford,40.03,"Kurtz, Navarro, Brandt-Sims, Body",2018 Pac-12 Track & Field Championships,2018-05-12,4x100,M
96,Illinois State,40.04,"McConico, Montgomery, Devonish, Jordan",2018 MVC Outdoor Track & Field Championships,2018-05-11,4x100,M
96,Oral Roberts,40.04,"Akerele, Ekevwo, Mwewa, Malau",2018 Jimmy John's ORU Invite,2018-03-31,4x100,M
98,Princeton (B),40.05,"Volker, Carbone, McGrath, Akosa",Texas Invitational,2018-04-13,4x100,M
99,Arkansas State,40.06,"Peeples, Bacon, Hill, Ross",ASU Red Wolf Open,2018-04-20,4x100,M
99,Western Kentucky (E),40.06,"Minor, Hayes, Morris, Tanksley",Florida Relays,2018-03-29,4x100,M
1,LSU (C),38.33,"Flournoy, Howell, Acy, Mitchell-Blake",SEC Championships,2016-05-12,4x100,M
2,LSU (B),38.94,"Mutanga, Flournoy, Acy, Mitchell-Blake",LSU Alumni Gold,2016-04-23,4x100,M
3,Houston (F),38.95,"Collins, Burke, Martin, Burrell",The American Outdoor Track & Field Championships,2016-05-12,4x100,M
4,Arkansas (G),38.96,"Cotton, Lawson, Ejiakuekwu, Washington",SEC Championships,2016-05-12,4x100,M
5,Texas A&M (E),39.02,"Williams, Kerley, Morrow, Jenkins",37th Annual Sun Angel Classic,2016-04-08,4x100,M
6,Alabama (C),39.04,"Green, Ali, Brown, Pinder",SEC Championships,2016-05-12,4x100,M
7,TCU (A),39.08,"Bozmans, Watts, Flowers, Baker",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x100,M
8,Florida (B),39.11,"Wright, Graham, Jr, Timpson, Jr, Clark",UF Tom Jones Memorial,2016-04-22,4x100,M
9,Tennessee (B),39.12,"Williams, Coleman, Elion, Strother",SEC Championships,2016-05-12,4x100,M
10,Texas A&M (A),39.17,"Garner, Kerley, Morrow, Jenkins",Baldy Castillo Invitational,2016-03-18,4x100,M
11,Texas (A),39.18,"Anumnu, Bailey Jr., Bilderback, Givans",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x100,M
12,Houston (E),39.20,"Collins, Burke, Mills, Burrell",Mt. SAC Relays,2016-04-14,4x100,M
13,Auburn (A),39.21,"Zaza, Henderson, Burks, Smith",SEC Championships,2016-05-12,4x100,M
14,Western Kentucky (G),39.31,"Redwine, King, Dasor, Morris",Conference USA Championship,2016-05-12,4x100,M
15,LSU (A),39.33,"Moore, Flournoy, Mutanga, Mitchell-Blake",Miami Hurricane Twilight Invitational,2016-03-25,4x100,M
16,Arkansas (F),39.38,"Cotton, Mowatt, Lawson, Washington",LSU Invitational,2016-04-30,4x100,M
17,TCU (B),39.41,"Bozmans, Watts, Summers, Flowers",Big 12 Outdoor Track & Field Championships,2016-05-13,4x100,M
17,Florida State (A),39.41,"Robinson, Haraway, Clarke, Moona",Florida State Relays,2016-03-25,4x100,M
17,Arkansas (E),39.41,"Anderson, Mowatt, Washington, Washington",John McDonnell Invitational,2016-04-22,4x100,M
20,North Carolina St. (B),39.42,"Hines, Addison, Patterson, Cunningham",Virginia Challenge,2016-04-22,4x100,M
21,Iowa (B),39.44,"Saucer, Brissett, Harrington, Mallett",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x100,M
22,Texas Tech (B),39.50,"Bethel, Hudson, McBride, Collins",Michael Johnson Classic,2016-04-23,4x100,M
23,Arkansas (C),39.52,"Cotton, Lawson, Ejiakuekwu, Washington",Texas Invitational,2016-04-16,4x100,M
24,Iowa (D),39.53,"Brissett, Harris, Harrington, Mallett",Jim Click Shootout,2016-04-09,4x100,M
25,South Carolina (H),39.54,"Winters, Jr, Echols, Lewis, Titi",Penn Relays,2016-04-28,4x100,M
25,Arizona State (B),39.54,"Trotter, Underwood, Hasson, Lewis",Pac-12 Outdoor Track & Field Championships,2016-05-14,4x100,M
27,Arizona State (A),39.55,"James, Underwood, Hasson, Lewis",37th Annual Sun Angel Classic,2016-04-08,4x100,M
28,N. Carolina A&T (E),39.58,"Eaddy, Belcher, Gabriel, Rowe",MEAC Outdoor Track & Field Championships,2016-05-05,4x100,M
29,Miss State (A),39.60,"Crawford, Rocha, Taylor, Smith",Florida State Relays,2016-03-25,4x100,M
30,Oregon (D),39.61,"Sourapas, Allen, White, Chambers",Oregon Twilight,2016-05-06,4x100,M
31,Utah State (I),39.62@,"Bluth, Bowens, Parker, Martin",Weber State Twilight Meet 2016,2016-05-04,4x100,M
32,Arkansas (D),39.64,"Anderson, Mowatt, Green, Washington",Texas Invitational,2016-04-16,4x100,M
33,Western Kentucky (D),39.66,"Dasor, King, Morris, Sears",Mt. SAC Relays,2016-04-14,4x100,M
33,Houston (C),39.66,"Collins, Martin, Mills, Burrell",34th Annual Victor Lopez Classic,2016-03-24,4x100,M
35,Florida State (C),39.72,"Robinson, Grant, Clarke, Pitts",ACC Championships,2016-05-13,4x100,M
36,Iowa (A),39.73,"Thompson, Brissett, Harrington, Mallett",Baldy Castillo Invitational,2016-03-18,4x100,M
37,Kent State (A),39.74,"Barnes, Grant, Smith, Gordon",Georgia Tech Yellow Jacket Invitational,2016-03-25,4x100,M
37,USC (D),39.74,"Morgan Jr, Whitney, Jackson, Clemes",Pac-12 Outdoor Track & Field Championships,2016-05-14,4x100,M
39,Northwestern St. (D),39.75,"James, Larkins, Flaviano, Shilling",LSU Alumni Gold,2016-04-23,4x100,M
39,Nebraska (F),39.75,"Hall, White, Lloyd, Rush",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x100,M
39,South Carolina (E),39.75,"Winters, Jr, Titi, Echols, Bermudez",Florida Relays,2016-03-31,4x100,M
42,Nebraska (A),39.77,"Pankins, Hall, White, Lloyd",Pac-12 vs Big 10 Invitational,2016-03-25,4x100,M
43,Georgia (G),39.78,"Calhoun, Jenkins, Glover, Freeman",SEC Championships,2016-05-12,4x100,M
44,Georgia (B),39.80,"Okoye, Jenkins, Glover, Freeman",Georgia Tech Yellow Jacket Invitational,2016-03-25,4x100,M
45,Kentucky (A),39.85,"Hamilton, Dorsey, Jones, Anderson",Baldy Castillo Invitational,2016-03-18,4x100,M
46,Texas Tech (A),39.86@,"Caldwell, Hudson, McBride, Richards III",Texas Tech Open,2016-03-24,4x100,M
46,Georgia (E),39.86,"Calhoun, Jenkins, Okoye, Glover",Virginia Challenge,2016-04-22,4x100,M
46,Houston (A),39.86,"Collins, Burke, Arnett, Burrell",UTSA Invitational,2016-03-18,4x100,M
49,Missouri (C),39.87,"Holder, Mathis, Woodson, Graham Jr.",Tom Botts Invitational,2016-04-15,4x100,M
50,USC (B),39.89,"Davis, Morgan Jr, Jones II, Jackson",UCLA vs. USC Dual Meet,2016-05-01,4x100,M
51,Penn State (A),39.92,"Smith, Chisena, Moffett, Porter",Pac-12 vs Big 10 Invitational,2016-03-25,4x100,M
51,Air Force (B),39.92,"McHenry, Johnson, Anderson, Trimble",Mountain West Championships,2016-05-11,4x100,M
53,Houston (H),39.93,"Floyd, Williams, McWilliams, Jefferson",Mt. SAC Relays,2016-04-14,4x100,M
53,USC (A),39.93,"Clemes, Davis, Jackson, Morgan Jr",Trojan Invitational,2016-03-18,4x100,M
55,Baylor (A),39.96,"Musgrove, London, Wilson, Dickson",2016 Baylor Invitational,2016-04-09,4x100,M
55,Georgia (F),39.96,"Okoye, Calhoun, Glover, Freeman",Georgia Invitational,2016-04-30,4x100,M
57,East Carolina (D),39.97,"Bolden, Horton, Martin, Yarborough",The American Outdoor Track & Field Championships,2016-05-12,4x100,M
58,Illinois State (A),39.98,"Hooker, Lewis, Devonish, Thomas",2016 MVC Outdoor Track and Field Championships,2016-05-13,4x100,M
58,N. Carolina A&T (C),39.98,"Eaddy, Belcher, Dickson, Rowe",Florida Relays,2016-03-31,4x100,M
58,Oklahoma State (E),39.98,"Brewer-Johnson, Selph, Grogan, Jackson",Jim Click Shootout,2016-04-09,4x100,M
61,Missouri (D),39.99,"Woodson, Montgomery, Mathis, Holder",SEC Championships,2016-05-12,4x100,M
61,Texas State (B),39.99,"Schulz, Warren, Porter, Green",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,4x100,M
63,Texas (B),40.00,"Anumnu, Anumnu, Bilderback, Bailey Jr.",2016 Drake Relays presented by Hy-Vee,2016-04-27,4x100,M
63,Western Kentucky (A),40.00,"Redwine, King, Morris, Parks",Vanderbilt Black and Gold Invitational,2016-03-25,4x100,M
65,Kentucky (C),40.01,"Anderson, Dorsey, Oye, Hamilton",SEC Championships,2016-05-12,4x100,M
65,TCU (C),40.01,"Bozmans, Watts, Summers, Baker",2016 Drake Relays presented by Hy-Vee,2016-04-27,4x100,M
67,Utah State (G),40.02@,"BLUTH, Bowen, BOULLY, Martin",2016 BYU Robison Invitational,2016-04-21,4x100,M
68,Purdue (D),40.03,"McGee, Dotson, Webb, Pennerman",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x100,M
69,Florida (A),40.04,"Rodney, Graham, Jr, Timpson, Jr, Clark",Power Conference Cardinal & Gold,2016-03-25,4x100,M
70,Texas State (A),40.05,"Schulz, George, Porter, Green",Texas State Bobcat Classic,2016-04-29,4x100,M
71,Oregon (B),40.06,"Allen, Merritt, Brooks-James, Chambers",Pepsi Invitational,2016-04-09,4x100,M
71,LIU Brooklyn (F),40.06,"Cue, Williams, Rodney, Davis",IC4A/ECAC Outdoor Track and Field Championships,2016-05-13,4x100,M
71,Texas A&M (F),40.06,"Williams, Kerley, Sims, Morrow",UCLA vs. Texas A&M Dual Meet,2016-04-16,4x100,M
74,Nebraska (E),40.07,"Townsend, Hall, White, Lloyd",2016 Nebraska Invitational,2016-05-07,4x100,M
74,Western Kentucky (C),40.07,"Redwine, King, Morris, Sears",Florida Relays,2016-03-31,4x100,M
76,Army West Point (A),40.08,"Santana, Sims, Dyer, Davis",Patriot League Outdoor Track & Field Championships,2016-05-06,4x100,M
76,Campbell (A),40.08,"Jenkins, chitambira, Mclin, Jarrett",Big South Outdoor Track & Field Championships,2016-05-10,4x100,M
76,Oklahoma State (C),40.08,"Givens, Grogan, Brewer-Johnson, Teeters",Big 12 Outdoor Track & Field Championships,2016-05-13,4x100,M
79,Georgia (A),40.09,"Evans, Jenkins, Glover, Freeman",Georgia Relays,2016-03-18,4x100,M
