,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
1,LSU (C),38.57,"Acy, Flournoy, Mitchell-Blake, Jackson",Mt. SAC Relays,2017-04-13,4x100,M
2,Houston (G),38.59,"Burrell, Burke, Martin, Hall-Thompson",Mt. SAC Relays,2017-04-13,4x100,M
3,LSU (D),38.71,"Jackson, Mitchell-Blake, Mutanga, Flournoy",SEC Outdoor Track & Field Championships,2017-05-11,4x100,M
4,Florida (A),38.73,"Timpson, Jr, Holloway, Futch, Clark",Florida Relays,2017-03-30,4x100,M
5,Arkansas (A),38.78,"Ejiakuekwu, Mowatt, Washington, Cotton",Baylor Invitational,2017-04-08,4x100,M
6,Western Kentucky (A),38.91,"Minor, Sears, Dasor, Morris",Florida Relays,2017-03-30,4x100,M
7,Arkansas (F),38.95,"Ejiakuekwu, Igbokwe, Washington, Cotton",SEC Relays,2017-04-28,4x100,M
8,LSU (A),38.97,"Mutanga, Mitchell-Blake, Acy, Flournoy",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x100,M
9,Auburn (B),39.10,"Chambers, Henderson, Skean, Smith",Texas Invitational,2017-04-14,4x100,M
9,Oregon (A),39.10,"Simpson, King, Shellmire, Chambers",Penn Relays,2017-04-27,4x100,M
11,Texas A&M (A),39.12,"Williams, Kerley, Morrow, Comick",Roadrunner Invitational,2017-03-23,4x100,M
12,North Carolina St. (B),39.14,"Hines, Charleston, Dowdy, Peebles",ACC Outdoor Track & Field Championships,2017-05-12,4x100,M
13,TCU (A),39.15,"Bozmans, Ferguson, Flowers, Miller",2017 Horned Frog Invitational,2017-04-15,4x100,M
14,Georgia (C),39.21,"Williams, Greene, Glover, Freeman",Spec Towns Invitational,2017-04-07,4x100,M
14,Texas A&M (F),39.21,"Grant, Comick, Morrow, Kerley",SEC Outdoor Track & Field Championships,2017-05-11,4x100,M
16,Texas (F),39.24,"Anumnu, Givans, Ntreh, Bailey Jr.",LSU Alumni Gold,2017-04-22,4x100,M
17,N. Carolina A&T (C),39.25,"Belcher, Mitchell, Rowe, Gabriel",2017 Aggie Last Chance,2017-05-14,4x100,M
18,Arkansas (A),39.28,"Ejiakuekwu, Mowatt, Washington, Cotton",John McDonnell Invitational,2017-04-21,4x100,M
19,USC (B),39.31,"Morris, Barnum, Sourapas, Brock",Pac-12 Championships,2017-05-13,4x100,M
19,USC (A),39.31,"Morris, Thymes, Morgan Jr, Brock",Trojan Invitational,2017-03-17,4x100,M
21,Georgia (D),39.32,"Williams, Greene, Hardeman, Freeman",SEC Outdoor Track & Field Championships,2017-05-11,4x100,M
22,South Carolina (D),39.37,"Lewis, Winters, Jr, Bermudez, Titi",USC Open,2017-04-22,4x100,M
22,Houston (F),39.37,"Lewis III, Burke, Martin, Lattin",Victor Lopez Classic,2017-03-23,4x100,M
24,Texas Tech (B),39.40,"Tennon, Hudson, Chambers, Oduduru",2017 Horned Frog Invitational,2017-04-15,4x100,M
25,Baylor (B),39.42,"Wilson, London, Willis, Braxton",Roadrunner Invitational,2017-03-23,4x100,M
25,Illinois (A),39.42,"Henderson, Eiker, Maat, Quinn",Illinois Twilight,2017-04-22,4x100,M
25,South Carolina (B),39.42,"Singleton, Winters, Jr, Lewis, Titi",Gamecock Invitational,2017-04-15,4x100,M
28,South Carolina (A),39.43,"Singleton, Winters, Jr, Titi, Bermudez",Weems Baskin Invitational,2017-03-24,4x100,M
29,N. Carolina A&T (A),39.44,"Belcher, Rowe, Gabriel, Thomas",MEAC Outdoor Championships,2017-05-04,4x100,M
29,Tennessee (C),39.44,"Harris, Coleman, Elion, Williams",SEC Outdoor Track & Field Championships,2017-05-11,4x100,M
31,Baylor (A),39.45,"Wilson, London, Musgrove, Willis",Baylor Invitational,2017-04-08,4x100,M
32,Miss State (B),39.46,"Smith, James, Crawford, Taylor",LSU Alumni Gold,2017-04-22,4x100,M
32,Iowa (F),39.46,"Brissett, Wilson, Woodard, Mallett",Mt. SAC Relays,2017-04-13,4x100,M
34,Houston (C),39.47,"Burrell, Burke, Martin, Lattin",Cougar Spring Break Invitational,2017-03-16,4x100,M
35,Penn State (A),39.48,"Kowalchuk, Chisena, Smith, Moffett",Penn Relays,2017-04-27,4x100,M
36,Texas (E),39.49,"Anumnu, Anumnu, Bailey Jr., Givans",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x100,M
36,Texas A&M (E),39.49,"Williams, Morrow, Page, Kerley",Jim Bush Collegiate Invitational,2017-04-15,4x100,M
36,Iowa (A),39.49,"Mallett, Wilson, Ogwo, Harris",Baldy Castillo Invitational,2017-03-17,4x100,M
39,Tennessee (B),39.51,"DeGrilla, Coleman, Elion, Strother",USC Open,2017-04-22,4x100,M
39,Ohio State (E),39.51,"Clark, Asemota, Gray, Marshall",2017 Drake Relays presented by Hy-Vee,2017-04-26,4x100,M
41,Alabama (C),39.52,"Gayle, Richards, Allen, Brown",SEC Outdoor Track & Field Championships,2017-05-11,4x100,M
42,Texas Tech (A),39.53,"Champlin, Hudson, Chambers, Collins",Wes Kittley Invitational,2017-03-24,4x100,M
42,Western Kentucky (E),39.53@,"Minor, Bush, Dasor, Morris",2017 Conference USA Outdoor Track & Field Championship,2017-05-11,4x100,M
44,Auburn (A),39.56,"Zaza, Henderson, Chambers, Smith",Tiger Track Classic,2017-04-07,4x100,M
45,Texas A&M (C),39.57,"Morrow, Page, Comick, Tucker",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x100,M
46,Western Kentucky (D),39.58,"Minor, Sears, Dasor, Bush",Lenny Lyles-Clark Wood Invitational,2017-04-28,4x100,M
46,Texas (G),39.58,"Givans, Bailey Jr., Anumnu, Robinson",Longhorn Invitational,2017-04-28,4x100,M
48,Iowa (E),39.59,"Brissett, Wilson, Ogwo, Harris",Jim Click Shootout,2017-04-08,4x100,M
49,Tennessee (A),39.63,"Cogdell, Coleman, Elion, Strother",Florida Relays,2017-03-30,4x100,M
50,Texas (H),39.66,"Wasome, Bailey Jr., Anumnu, Givans",Big 12 Outdoor Track & Field Championships,2017-05-12,4x100,M
51,Illinois (D),39.68,"Henderson, Eiker, Haight, Quinn",Mt. SAC Relays,2017-04-13,4x100,M
52,Iowa (J),39.72,"Brissett, Wilson, Thompson, Mallett",2017 Drake Relays presented by Hy-Vee,2017-04-26,4x100,M
52,LSU (B),39.72,"Grey, Mitchell-Blake, Mutanga, Flournoy",LSU Battle on the Bayou,2017-04-08,4x100,M
54,Ohio State (A),39.73,"Clark, Marshall, Burke, Asemota",Florida Relays,2017-03-30,4x100,M
54,Connecticut (B),39.73,"Landis, Amonu, Cook, Beram",The American Outdoor Track & Field Championships,2017-05-12,4x100,M
54,Texas (D),39.73,"Anumnu, Bailey Jr., Ntreh, Anumnu",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x100,M
57,BYU (A),39.74,"Brown, Tsumba, Tingey, Sorensen",38th Sun Angel Classic,2017-04-06,4x100,M
57,Texas Tech (C),39.74@,"Champlin, Oduduru, Chambers, Collins",Texas Tech Red Raider Shoot-Out,2017-04-28,4x100,M
59,UCLA (A),39.77,"Powell, Benjamin, Roberson, Marshall",USC vs. UCLA,2017-04-29,4x100,M
59,Houston (A),39.77,"Lewis III, Burke, Martin, Burrell",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x100,M
61,Ohio State (C),39.81,"Clark, Marshall, Page, Asemota",Tennessee Relays,2017-04-06,4x100,M
62,Air Force (C),39.82@,"Bradford, Johnson, Anderson, Trimble",Mountain West Outdoor Track & Field Championships,2017-05-10,4x100,M
63,Arizona State (A),39.84,"Bramwell, Polk, Hasson, Hall",Baldy Castillo Invitational,2017-03-17,4x100,M
64,Prairie View (C),39.86,"Campbell, Omoera, Polley, Jordan",J Fred Duckett Twilight Meet,2017-04-22,4x100,M
65,Texas A&M (D),39.87,"Williams, Morrow, Page, Comick",38th Sun Angel Classic,2017-04-06,4x100,M
66,Prairie View (B),39.88,"Campbell, Omoera, Polley, Bell",Prairie View Relays (University/College),2017-03-25,4x100,M
66,N. Carolina A&T (B),39.88,"Gabriel, Rowe, Belcher, Harding",2017 Aggie Invitational,2017-04-14,4x100,M
68,Houston (D),39.90,"Lewis III, Prejean, Jefferson, Brown",J Fred Duckett Twilight Meet,2017-04-22,4x100,M
69,Illinois (B),39.91,"Maat, Eiker, Haight, Quinn",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x100,M
70,Iowa (H),39.92,"Brissett, Wilson, Ogwo, Mallett",Musco Twilight,2017-04-22,4x100,M
70,Northwestern St. (B),39.92,"Johnson, Larkins, James, Shilling",2017 TCU Invitational,2017-03-17,4x100,M
72,Iowa (C),39.96,"Thompson, Wilson, Ogwo, Harris",Florida Relays,2017-03-30,4x100,M
73,Arkansas (B),39.97,"Schwartz, Igbokwe, Harris, Janise",Baylor Invitational,2017-04-08,4x100,M
74,Clemson (C),39.98,"Lewis, Cheeks, Frazier, Sands",LSU Alumni Gold,2017-04-22,4x100,M
75,Alabama State (C),40.01,"Spike, O'Neal, Davis, Spraggins",Florida Relays,2017-03-30,4x100,M
76,Illinois (C),40.02,"Eiker, Haight, Henderson, Maat",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x100,M
76,Texas (C),40.02,"Anumnu, Dunkerley-Offor, Anumnu, Robinson",Victor Lopez Classic,2017-03-23,4x100,M
78,Boston U. (C),40.03,"Flynn, Onwuzurike, Williams, Nurse",Penn Relays,2017-04-27,4x100,M
78,Miami (A),40.03,"Taylor, Mullings, Taylor, Valentine",Florida Relays,2017-03-30,4x100,M
80,Southern Miss. (B),40.04,"Carson, Richemond, Walker, Smith",Southern Miss Open,2017-04-28,4x100,M
80,Northwestern St. (C),40.04,"Flaviano, Larkins, James, Johnson",Baylor Invitational,2017-04-08,4x100,M
82,Texas State (C),40.05,"Lee, Warren, Porter, Green",Sun Belt Outdoor Track and Field Championships,2017-05-12,4x100,M
83,George Mason (B),40.06,"Raymond, Stone, Freeman, Gomez",Gamecock Invitational,2017-04-15,4x100,M
83,Georgia (A),40.06,"Raines, Glover, Blackman, Freeman",Georgia Tech Yellow Jacket Invitational,2017-03-17,4x100,M
85,Arkansas-Little Rock (A),40.07,"Clark, Mapps, Dunn, McGruder",Sun Belt Outdoor Track and Field Championships,2017-05-12,4x100,M
86,UTSA (B),40.09,"Taylor, Jefferson, Lejeune, Dawkins",Roadrunner Invitational,2017-03-23,4x100,M
87,Arkansas (E),40.10,"Schwartz, Igbokwe, Harris, Stephen",John McDonnell Invitational,2017-04-21,4x100,M
88,Northwestern St. (A),40.11,"James, Flaviano, Larkins, Shilling",McNeese Cowboy Relays/ Bob Hayes LA Challenge,2017-03-11,4x100,M
88,Oklahoma State (C),40.11,"Daily, Grogan, Jackson, Olonisakin",Arkansas Twilight,2017-05-05,4x100,M
90,Miss State (A),40.12,"Spears, Smith, Crawford, James",Florida Relays,2017-03-30,4x100,M
91,South Dakota (A),40.13,"Thony, Reagan, Clark, Williams",Baldy Castillo Invitational,2017-03-17,4x100,M
92,Florida State (A),40.16,"Pitts, Clarke, Robinson, Grant",Tennessee Relays,2017-04-06,4x100,M
93,Alabama State (B),40.17,"Davis, Davis, Spraggins, Spike",Weems Baskin Invitational,2017-03-24,4x100,M
94,Cal St. Fullerton (D),40.18,"Matos, Smith, Rollins, Zimmerman",2017 Big West Track & Field Championships,2017-05-12,4x100,M
94,Clemson (B),40.18,"Sands, Cheeks, Lamb, Frazier",Miami Hurricane Collegiate Invitational,2017-03-25,4x100,M
96,Coppin State (A),40.19,"Cowie-Clarke, Amoah, Lewis, Hodges",Weems Baskin Invitational,2017-03-24,4x100,M
97,Purdue (C),40.22,"McGee, Rolle, Webb, McLaren",2017 Louisville Invitational,2017-04-14,4x100,M
98,Minnesota (C),40.23,"Charles, Neumann, Webb, Wieland",Bear Cat Twilight,2017-05-03,4x100,M
98,Florida State (B),40.23,"Robinson, Haraway, Clarke, Grant",ACC Outdoor Track & Field Championships,2017-05-12,4x100,M
98,Nebraska (A),40.23,"Pankins, White, Lucy, Lloyd",Pac-12 vs Big-10 Invitational,2017-03-24,4x100,M
1,Florida (A),38.29,"Wright, Graham, Jr, Hall, Dukes",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,M
2,Texas A&M (A),38.30,"Hardy, Jr., Hart, Bryan, Lendore",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,M
3,Texas A&M (E),38.50,"Hart, Bailey Jr., Hardy Jr., Lendore",SEC Outdoor Championship,2014-05-15,4x100,M
4,LSU (B),38.68,"Mitchell-Blake, Ernest, Acy, Allsop",SEC Outdoor Championship,2014-05-15,4x100,M
4,Florida (B),38.68,"Lovett, Graham Jr, Wright, Dukes",SEC Outdoor Championship,2014-05-15,4x100,M
6,Alabama (A),38.91,"Sanders, Batson, Haynes, Davis",Crimson Tide Invitational,2014-04-05,4x100,M
7,Baylor (A),39.09,"Bromell, Heriot, Walker, Reece",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,M
8,Auburn (A),39.17,"Smith, Cheeks, Henderson, Brock",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,M
9,Texas A&M (D),39.21,"Davis, Hart, Hardy, Jr., Lendore",LSU Invitational,2014-05-03,4x100,M
10,Iowa (D),39.35,"Mincy, Wilson, Harrington, Brown",Big Ten Outdoor Track & Field Championships,2014-05-16,4x100,M
11,Auburn (C),39.37,"Campbell, Henderson, Cheeks, Smith",SEC Outdoor Championship,2014-05-15,4x100,M
12,Purdue (B),39.38,"Askew, Kendrick, Harris, Mostert",Big Ten Outdoor Track & Field Championships,2014-05-16,4x100,M
13,USC (A),39.43,"Harris, Brown, Lee, Stewart",Pac-12 Outdoor Track and Field Championships,2014-05-17,4x100,M
14,Texas A&M (C),39.48,"Hardy, Jr., Hart, Bryan, Coleman",LSU Alumni Gold,2014-04-19,4x100,M
15,Illinois (A),39.51,"Smith, Stryganek, Pamilton, Zahn",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x100,M
15,Arkansas (B),39.51,"McLeod, Lawson, Braddy, Brown",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x100,M
17,Louisiana Tech (B),39.53,"Henderson, Hadnot, Hicks, Richardson",Conference USA Outdoor Track & Field Championships,2014-05-15,4x100,M
18,Arkansas (D),39.54,"Hawkins, Lawson, Braddy, McLeod",SEC Outdoor Championship,2014-05-15,4x100,M
19,Georgia (A),39.58,"Calhoun, Glover, Thompson, Smith",Georgia Spec Towns National Team Invitational,2014-04-11,4x100,M
20,Oregon (A),39.60,"Allen, Delaney, Berry, Chambers",Pac-12 Outdoor Track and Field Championships,2014-05-17,4x100,M
20,South Carolina (F),39.60,"Kee, Royster, Echols, Winfrey",SEC Outdoor Championship,2014-05-15,4x100,M
22,Houston (A),39.61,"Collins, Nolan, Arnett, Burrell",The American Outdoor Track & Field Championships,2014-05-02,4x100,M
23,Arizona State (C),39.65,"Spann, Henry, Cleveland, Milus",2014 Double Dual Meet UA/ASU/NAU,2014-05-03,4x100,M
23,Alabama (B),39.65,"Green, Batson, Haynes, Davis",Jace LaCoste Invitational,2014-05-02,4x100,M
25,Utah State (B),39.68@,"Bautista, Bowens, Pimentel, Bluth",Mountain West Outdoor Track & Field Championships,2014-05-14,4x100,M
26,East Carolina (A),39.69,"Neal, Lewis, Hudson, Furr",Conference USA Outdoor Track & Field Championships,2014-05-15,4x100,M
26,TCU (D),39.69,"Summers, Watts, Baker, McSwain",Florida Relays,2014-04-03,4x100,M
28,Houston (C),39.70,"Collins, Morales, Arnett, Burrell",Penn Relays,2014-04-24,4x100,M
29,Texas (E),39.71,"Anumnu, Bilderback, Givans, Irvin",Penn Relays,2014-04-24,4x100,M
30,TCU (E),39.73@,"Listenbee, Echols- Luper, Baker, Watts",Big 12 Outdoor Track and Field Championships,2014-05-16,4x100,M
31,USC (C),39.76,"Harris, Brown, Lee, Mercado",UCLA vs USC,2014-05-04,4x100,M
32,Texas-Arlington (C),39.80,"Gabriel, Butler, Newson, Vaughn",Michael Johnson/Dr. Pepper Classic,2014-04-19,4x100,M
33,Mississippi (C),39.81,"Granger, Miller, Serrette, Moore",SEC Outdoor Championship,2014-05-15,4x100,M
34,N. Carolina A&T (D),39.84,"Lawrence, Williams, Gabriel, Noble",Florida Relays,2014-04-03,4x100,M
34,South Carolina (D),39.84,"Kee, Royster, Winfrey, Walker",Florida Relays,2014-04-03,4x100,M
34,Charlotte (B),39.84,"Rouse, Osborne, Bynum, Shank",Conference USA Outdoor Track & Field Championships,2014-05-15,4x100,M
37,Northwestern St. (I),39.89,"Ryan, Jackson, Walker, Shilling",Southland Conference Track & Field Championship,2014-05-09,4x100,M
37,Arizona State (B),39.89,"Cleveland, Collins, Spann, Milus",2014 Arizona State Invitational,2014-03-28,4x100,M
39,California (C),39.91,"Oliver, Blocker, Davis, Muhammad",Pac-12 Outdoor Track and Field Championships,2014-05-17,4x100,M
40,LSU (A),39.94,"Thompson, Allsop, Acy, Sansone",LSU Battle on the Bayou,2014-04-05,4x100,M
41,Nebraska (A),39.95,"Thompson, Akinmoladun, Hall, McKenzie",Arkansas Spring Invitational,2014-04-04,4x100,M
42,Arkansas (A),39.97,"Brown, Lawson, Braddy, Southard",Arkansas Spring Invitational,2014-04-04,4x100,M
43,Eastern Michigan (C),39.98,"Bolton, Elam, Scott, Brown",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x100,M
44,Iowa (B),39.99,"Mincy, Wilson, Thompson, Brown",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x100,M
44,Louisiana Tech (A),39.99,"Henderson, Hadnot, Hicks, Sheffield",Jim Mize Invitational,2014-03-22,4x100,M
46,Texas Tech (B),40.00,"Johnson, Richards III, Tennon, Extol",ACU Wes Kittley Invitational,2014-04-12,4x100,M
46,Arkansas (C),40.00,"Hawkins, Lawson, Braddy, Southard",Arkansas Twilight,2014-05-02,4x100,M
46,TCU (C),40.00,"Collins, Watts, Baker, McSwain",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,M
49,Nebraska (B),40.01,"Welk, McKenzie, Hall, Thompson",Nebraska Quad,2014-04-12,4x100,M
50,Sam Houston St. (D),40.03,"Williams, Jenkins, Jones, Wright",Southland Conference Track & Field Championship,2014-05-09,4x100,M
50,Texas-Arlington (D),40.03,"Clark, Butler, Newson, Vaughn",Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,4x100,M
52,Purdue (E),40.04,"Mostert, Askew, Kendrick, Winters",Big Ten Outdoor Track & Field Championships,2014-05-16,4x100,M
53,Texas Tech (C),40.05@,"Extol, Johnson, Mackey, Richards III",TTU Red Raider Open,2014-05-03,4x100,M
54,Kansas (A),40.06,"Smith, Wilson, Stigler, Johnson",Kansas Relays,2014-04-16,4x100,M
54,Mississippi (B),40.06,"Semien, Granger, Serrette, Miller",Alabama vs. Mississippi Border Clash,2014-04-11,4x100,M
54,Texas (B),40.06,"Anumnu, Bilderback, Anumnu, Givans",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,M
57,Eastern Illinois (B),40.08,"Ilunga-Matthies, Edwards, Robinson, Johnson",Louisville Twilight Classic,2014-05-16,4x100,M
57,Mississippi (E),40.08,"Serrette, Miller, Branch, Granger",LSU Invitational,2014-05-03,4x100,M
57,Arizona State (A),40.08,"Armstrong, Henry, Spann, Cleveland",2014 Baldy Castillo Invitational,2014-03-21,4x100,M
60,UTSA (E),40.09,"Lejeune, Brunette, Wyrick, Johnson",Conference USA Outdoor Track & Field Championships,2014-05-15,4x100,M
61,Ohio State (B),40.14,"Robertson, Faust, Batcha, Blackwell",Jesse Owens Track Classic,2014-04-18,4x100,M
61,Kent State (C),40.14,"Brown III, Reese, Barnes, Gordon",Akron Campbell Wright Open,2014-05-09,4x100,M
63,Cornell (A),40.15,"McCollin, Gibson, Hortelano-Roig, Ojukwu",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,M
64,South Carolina (E),40.16,"Sanders, Royster, Echols, Winfrey",Penn Relays,2014-04-24,4x100,M
64,Southern (D),40.16,"Woods, Jenkins, Jones, Nettles",LSU Alumni Gold,2014-04-19,4x100,M
64,California (E),40.16,"Davis, Ristic, Oliver, Blocker",Virginia-Cal-Michigan,2014-04-05,4x100,M
67,Texas Tech (D),40.17@,"Johnson, Mackey, Tennon, Richards III",Big 12 Outdoor Track and Field Championships,2014-05-16,4x100,M
68,Florida State (B),40.19,"Franklin, Locke, Ramsey, Harris",ACC Outdoor Track & Field Championships,2014-04-17,4x100,M
69,Iowa (C),40.20,"Mincy, Wilson, Thompson, Harrington",2014 Drake Relays presented by Hy-Vee,2014-04-23,4x100,M
69,Texas (D),40.20,"Anumnu, Bilderback, Anumnu, Irvin",Texas Invitational,2014-04-12,4x100,M
71,N. Carolina A&T (A),40.21,"Lawrence, Williams, Noble, Peoples",Charlotte 49er Classic,2014-03-20,4x100,M
71,UTEP (B),40.21@,"Hinson, Bias, Onakoya, Jackson",UTEP Invitational,2014-04-12,4x100,M
73,Western Kentucky (E),40.22,"Dasor, Sears, Redwine, Bailey",Mt. SAC Relays,2014-04-17,4x100,M
73,Mississippi (A),40.22,"Granger, Moore, Branch, Miller",Ole Miss Open,2014-03-22,4x100,M
75,LIU Brooklyn (H),40.24,"Williams, Rodney, Walker-Khan, Dukes",2014 ECAC-IC4A Outdoor Championships,2014-05-16,4x100,M
75,California (D),40.24,"Muhammad, Oliver, Ristic, Blocker",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,M
75,Miami (A),40.24,"Dorsett, El-Sabawi, Jackson, Johnson",LSU Invitational,2014-05-03,4x100,M
78,Charlotte (A),40.25,"Greer, Osborne, Bynum, Rouse",Bill Carson Invitational,2014-04-11,4x100,M
78,South Carolina (A),40.25,"Kanervo, Royster, Winfrey, Walker",Shamrock Invitational 2014,2014-03-20,4x100,M
78,TCU (A),40.25,"Bailey, Watts, Baker, Summers",TCU College Invitational,2014-03-20,4x100,M
81,Washington St. (B),40.26,"Johnson, McBride, Farmer, Chambers",Pac-12 Outdoor Track and Field Championships,2014-05-17,4x100,M
82,UC Davis (C),40.27,"Johnson, Sena, Boyadjiev, Okoroike",Causeway Classic,2014-05-02,4x100,M
82,Sam Houston St. (C),40.27,"Williams, Mitchell, Jones, Wright",ACU Wes Kittley Invitational,2014-04-12,4x100,M
84,Maryland-Eastern Shore (B),40.28,"Taylor, Spencer, Waite, Chatmon",Coppin State Don Webster Invitational,2014-04-11,4x100,M
85,Buffalo (C),40.29,"Johnson, Law, Lewis, Billian",Florida Relays,2014-04-03,4x100,M
86,Kent State (D),40.30,"Brown III, Scales, Barnes, Gordon",Mid-American Outdoor Track & Field Championships,2014-05-15,4x100,M
87,Texas A&M (B),40.30,"Hardy, Jr., Turner, Davis II, Davis",Stanford Invitational,2014-04-04,4x100,M
88,UTEP (C),40.32,"Hinson, Bias, Camacho, Jackson",Conference USA Outdoor Track & Field Championships,2014-05-15,4x100,M
88,Utah State (C),40.32,"Bautista, Bowens, Lambourne, Bluth",Idaho-Utah Border Clash,2014-05-02,4x100,M
90,Kent State (A),40.33,"Scales, Reese, Barnes, Gordon",Tennessee Relays,2014-04-10,4x100,M
90,Southern (C),40.33,"Collins, Jenkins, Jones, Nettles",2014 Lion Invitational,2014-04-17,4x100,M
92,South Florida (A),40.34,"Hopkins, Lewis, Yoon, Higgs",USF Collegiate,2014-04-03,4x100,M
92,Houston (D),40.34,"Collins, Williams, Arnett, Burrell",Penn Relays,2014-04-24,4x100,M
92,Clemson (A),40.34,"Abdul-Mateen, Hester, Britton, Lewis",2014 Clyde Littlefield Texas Relays,2014-03-26,4x100,M
92,Ohio State (A),40.34,"Bogle, Batcha, Faust, Robertson",Georgia Spec Towns National Team Invitational,2014-04-11,4x100,M
96,Troy (D),40.35,"Martin, Landburg, Curtis, Pritchett",Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,4x100,M
96,LIU Brooklyn (D),40.35,"Williams, Rodney, Walker-Khan, McLean",Florida Relays,2014-04-03,4x100,M
96,N. Carolina A&T (F),40.35,"Lawrence, Williams, Noble, Lewis",Penn Relays,2014-04-24,4x100,M
96,Abilene Christian (B),40.35,"Allyene-Forte, Hogg, Block, Farquarshon",ACU Wes Kittley Invitational,2014-04-12,4x100,M
100,Notre Dame (A),40.37,"Atkinson, Giesting, Mesidor, Feeney",ACC Outdoor Track & Field Championships,2014-04-17,4x100,M
1,Arkansas,38.59,"Ejiakuekwu, Mowatt, Harris, Cotton",National Relay Championships,2018-04-27,4x100,M
2,LSU,38.76,"Vincent, Howell, Mosby, Flournoy",SEC Outdoor Track and Field Championships,2018-05-11,4x100,M
3,USC,38.88,"Barnum, Morgan Jr, Shinnick, Norman",USC Power 5 Challenge,2018-03-23,4x100,M
4,Southern Miss.,38.89,"Sagesse, West, Carson, Richemond",2018 Conference USA Outdoor Track & Field Championships,2018-05-10,4x100,M
4,USC (B),38.89,"Barnum, Benjamin, Brock, Morgan Jr",UCLA vs. USC Dual,2018-04-29,4x100,M
