,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
33,"Tobin, Sean",SR-4,Ole Miss,8:53.09,Mt. SAC Relays,2018-04-19,3000S,M
34,"Jones, Adrian",SO-2,Utah Valley,8:53.27,Mt. SAC Relays,2018-04-19,3000S,M
35,"Milliron, Andrew",SR-4,Air Force,8:53.69,Mt. SAC Relays,2018-04-19,3000S,M
36,"Hosting, Kyle",SR-4,Arkansas,8:53.73,Bryan Clay Invitational,2018-04-19,3000S,M
37,"Okada, Takeshi",JR-3,California,8:53.80,2018 Pac-12 Track & Field Championships,2018-05-12,3000S,M
38,"Liddell, Christian",JR-3,Oklahoma State,8:54.27,2018 Cardinal Classic,2018-04-20,3000S,M
39,"Huff, Craig",JR-3,San Jose St.,8:54.39,Mt. SAC Relays,2018-04-19,3000S,M
40,"Fraley, Troy",SR-4,Gonzaga,8:54.56,Portland Twilight,2018-05-11,3000S,M
41,"Peterman, Adam",SR-4,Colorado,8:54.86,OSU High Performance Meet,2018-04-27,3000S,M
42,"Nobles, Tom",JR-3,Charlotte,8:55.03,2018 Charlotte Invitational,2018-04-13,3000S,M
43,"Marsing, Garrett",FR-1,BYU,8:55.18,Sacramento State Open,2018-05-05,3000S,M
43,"McInerney, Riley",SR-4,Eastern Illinois,8:55.18,2018 Drake Relays presented by Hy-Vee,2018-04-25,3000S,M
45,"Aziz, Mohamed",SR-4,San Francisco,8:55.34,Portland Twilight,2018-05-11,3000S,M
46,"Romeyn, Winter",SO-2,Michigan State,8:55.58,Virginia Challenge,2018-04-20,3000S,M
47,"Hall, Michael",JR-3,Florida State,8:55.61,ACC Outdoor Championships,2018-05-10,3000S,M
48,"Scott, Parker",SO-2,Ole Miss,8:55.63,Bryan Clay Invitational,2018-04-19,3000S,M
49,"Roth, Bailey",JR-3,Arizona,8:55.64,Mt. SAC Relays,2018-04-19,3000S,M
50,"Quattlebaum, James",JR-3,Clemson,8:55.73,Mt. SAC Relays,2018-04-19,3000S,M
51,"Mestler, Jackson",SO-2,Oregon,8:55.77,Bryan Clay Invitational,2018-04-19,3000S,M
52,"Persyn, Carter",FR-1,Arkansas,8:55.81,Stanford Invitational,2018-03-30,3000S,M
53,"Truax, Sammy",SO-2,Gonzaga,8:55.95,Stanford Invitational,2018-03-30,3000S,M
54,"Gilbertson, Brant",SR-4,North Dakota State,8:56.00,Mt. SAC Relays,2018-04-19,3000S,M
55,"Bouchrak, El Hocine",FR-1,High Point,8:56.06,High Point VertKlasse,2018-04-06,3000S,M
56,"Cross, Jordan",SR-4,Weber State,8:56.08@,2018 BYU Robison Invitational,2018-04-26,3000S,M
57,"Preisner, Benjamin",JR-3,Tulsa,8:56.22,Mt. SAC Relays,2018-04-19,3000S,M
58,"Benedict, Kai",JR-3,California,8:56.36,Stanford Invitational,2018-03-30,3000S,M
59,"Sanchez-Pinto, Julien",JR-3,Memphis,8:56.37,The American Outdoor Track & Field Championships,2018-05-11,3000S,M
60,"Cleary, Ryan",JR-3,Abilene Christian,8:56.62,Mt. SAC Relays,2018-04-19,3000S,M
61,"Juan Torres, Alejandro",SR-4,High Point,8:56.72,Virginia Challenge,2018-04-20,3000S,M
62,"Howard, Alexander",SR-4,San Francisco,8:56.78,Stanford Invitational,2018-03-30,3000S,M
63,"Glen, Jonny",SO-2,New Mexico,8:56.82,Bryan Clay Invitational,2018-04-19,3000S,M
64,"Abascal, Samuel",SO-2,Eastern Kentucky,8:56.85,Stanford Invitational,2018-03-30,3000S,M
65,"Heffelfinger, Alex",SO-2,Gonzaga,8:56.97,San Francisco State Distance Carnival,2018-03-30,3000S,M
66,"Ramirez, Daniel",SR-4,Cal St. Fullerton,8:57.10,Bryan Clay Invitational,2018-04-19,3000S,M
67,"Daly, Colin",SO-2,Penn,8:57.23,Bison Outdoor Classic,2018-04-14,3000S,M
68,"Basten, Alec",FR-1,Minnesota,8:57.32,National Relay Championships,2018-04-27,3000S,M
69,"Steele, Nick",FR-1,Villanova,8:57.50,Raleigh Relays,2018-03-30,3000S,M
70,"Gonzales, Raymond",FR-1,Texas A&M,8:57.51,SEC Outdoor Track and Field Championships,2018-05-11,3000S,M
71,"McManus, Declan",JR-3,Belmont,8:57.62,Bryan Clay Invitational,2018-04-19,3000S,M
72,"Hendrickson, Adam",JR-3,Utah State,8:57.71,Mt. SAC Relays,2018-04-19,3000S,M
73,"Timm, Fynn",JR-3,North Florida,8:57.75,North Florida Invitational,2018-04-27,3000S,M
74,"Trainor, Austin",SR-4,Central Connecticut,8:57.78,IC4A/ECAC DI Outdoor Track & Field Championships,2018-05-12,3000S,M
75,"Chouati, Oussama",JR-3,Maryland-Eastern Shore,8:57.95,IC4A/ECAC DI Outdoor Track & Field Championships,2018-05-12,3000S,M
76,"Johnsen, Colton",SO-2,Washington St.,8:57.98,Bryan Clay Invitational,2018-04-19,3000S,M
77,"Gaynor, Gavin",FR-1,North Carolina St.,8:57.99,Penn Relays,2018-04-26,3000S,M
78,"Daly, William",SO-2,Penn,8:58.06,Bison Outdoor Classic,2018-04-14,3000S,M
79,"Brumfield, Jake",SR-4,Miami (Ohio),8:58.15,Raleigh Relays,2018-03-30,3000S,M
79,"Andresson, Hlynur",SR-4,Eastern Michigan,8:58.15,2018 Mid-American Conf. Outdoor Track & Field Championships,2018-05-10,3000S,M
81,"McDermott, Noah",SR-4,St. Mary's (Cal.),8:58.27,Bryan Clay Invitational,2018-04-19,3000S,M
82,"Day, Carter",SR-4,George Washington,8:58.40,A-10 Championships,2018-05-05,3000S,M
83,"Perry, Cade",SO-2,BYU,8:58.43,Bryan Clay Invitational,2018-04-19,3000S,M
84,"Horen, Joseph",JR-3,Portland,8:58.54,Mt. SAC Relays,2018-04-19,3000S,M
85,"Smith, Cole",JR-3,UCLA,8:58.58,Mt. SAC Relays,2018-04-19,3000S,M
86,"Kosgei, Albert",FR-1,Louisville,8:58.73,2018 Lenny Lyles-Clark Wood Invitational,2018-04-27,3000S,M
87,"Crigger, Alex",FR-1,Tennessee,8:59.04,SEC Outdoor Track and Field Championships,2018-05-11,3000S,M
88,"Charles, Noah",SO-2,East Tenn. St.,8:59.18,Virginia Challenge,2018-04-20,3000S,M
89,"Hedquist, Alex",SO-2,BYU,8:59.41,Stanford Invitational,2018-03-30,3000S,M
90,"Battershill, Will",SO-2,Harvard,8:59.44,Raleigh Relays,2018-03-30,3000S,M
91,"Rink, Nick",FR-1,Minnesota,8:59.82,Jim Bush / Bob Larsen Invitational,2018-03-31,3000S,M
92,"Siniscalchi, Trevor",JR-3,Air Force,8:59.91,Mt. SAC Relays,2018-04-19,3000S,M
93,"Mora, Connor",SR-4,Michigan,8:59.99,2018 Cardinal Classic,2018-04-20,3000S,M
94,"Manderscheid, Jack",FR-1,Minnesota,9:00.06,Jim Bush / Bob Larsen Invitational,2018-03-31,3000S,M
95,"Lange, Matthew",SR-4,George Washington,9:00.11,IC4A/ECAC DI Outdoor Track & Field Championships,2018-05-12,3000S,M
96,"Novak, Matthew",JR-3,Virginia,9:00.15,Virginia Challenge,2018-04-20,3000S,M
97,"Little, Kyler",JR-3,Washington St.,9:00.21,Bryan Clay Invitational,2018-04-19,3000S,M
98,"Leatham, Dallin",SO-2,Weber State,9:00.38,Bryan Clay Invitational,2018-04-19,3000S,M
99,"Cheruiyot, Geoffry",SR-4,Mid. Tenn. State,9:00.39,Penn Relays,2018-04-26,3000S,M
100,"Trippas, Ed",FR-1,Princeton,9:00.54,Penn Relays,2018-04-26,3000S,M
1,"Rotich, Anthony",JR-3,UTEP,8:30.54,Payton Jordan Cardinal Invitational,2014-05-04,3000S,M
2,"Carr, Curtis",SR-4,BYU,8:37.54,Mt. SAC Relays,2014-04-17,3000S,M
3,"Kebenei, Stanley",JR-3,Arkansas,8:40.12,Payton Jordan Cardinal Invitational,2014-05-04,3000S,M
4,"Hesselbjerg, Ole",JR-3,Eastern Kentucky,8:41.17,Mt. SAC Relays,2014-04-17,3000S,M
5,"Wolter, Mattias",SR-4,Louisville,8:42.20,Mt. SAC Relays,2014-04-17,3000S,M
6,"Fahy, Darren",FR-1,Georgetown,8:43.12,Larry Ellis Invitational,2014-04-16,3000S,M
7,"Pepiot, Tanguy",JR-3,Oregon,8:43.24,Payton Jordan Cardinal Invitational,2014-05-04,3000S,M
8,"Berman, Jared",SR-4,Virginia Tech,8:43.95,Payton Jordan Cardinal Invitational,2014-05-04,3000S,M
9,"Wiles, Zach",SR-4,Boise State,8:45.95,Stanford Invitational,2014-04-04,3000S,M
10,"Howard, Matthew",JR-3,Georgetown,8:47.02,Larry Ellis Invitational,2014-04-16,3000S,M
11,"Sorensen, Dylan",SR-4,Georgetown,8:47.07,Larry Ellis Invitational,2014-04-16,3000S,M
12,"Brill, Alex",SR-4,Wisconsin,8:47.32,Payton Jordan Cardinal Invitational,2014-05-04,3000S,M
13,"Prizzi, John",JR-3,New Hampshire,8:47.39,Larry Ellis Invitational,2014-04-16,3000S,M
14,"Schroeder, Allan",JR-3,Boise State,8:47.56,Stanford Invitational,2014-04-04,3000S,M
15,"Neff, Jackson",JR-3,Ohio State,8:47.86,Big Ten Outdoor Track & Field Championships,2014-05-16,3000S,M
16,"Ferlic, Mason",SO-2,Michigan,8:47.91,Virginia-Cal-Michigan,2014-04-05,3000S,M
17,"King, Kyle",SO-2,Virginia,8:48.47,ACC Outdoor Track & Field Championships,2014-04-17,3000S,M
18,"Nelson, Aaron",SO-2,Washington,8:49.09,Pac-12 Outdoor Track and Field Championships,2014-05-17,3000S,M
19,"Nierman, Robby",SR-4,Indiana,8:49.72,Big Ten Outdoor Track & Field Championships,2014-05-16,3000S,M
20,"Erb, MJ",SO-2,Syracuse,8:50.01,Stanford Invitational,2014-04-04,3000S,M
21,"MacDonald, Josh",SR-4,Liberty,8:50.15,2014 ECAC-IC4A Outdoor Championships,2014-05-16,3000S,M
22,"Waterman, Jake",SR-4,Purdue,8:50.19,Big Ten Outdoor Track & Field Championships,2014-05-16,3000S,M
23,"Engholm, Elmar",SO-2,New Mexico,8:50.35,Stanford Invitational,2014-04-04,3000S,M
24,"Zans, Garrett",JR-3,Wyoming,8:50.45,Mt. SAC Relays,2014-04-17,3000S,M
25,"Hoover, Caleb",JR-3,Northern Arizona,8:50.49,Stanford Invitational,2014-04-04,3000S,M
26,"McCann, Robert",SO-2,Drake,8:50.79,2014 MVC Outdoor Track & Field Championships,2014-05-16,3000S,M
27,"Biekert, Brian",JR-3,Central Connecticut,8:50.84,Larry Ellis Invitational,2014-04-16,3000S,M
28,"Mettler, Jeffrey",SR-4,South Dakota,8:51.05,2014 Drake Relays presented by Hy-Vee,2014-04-23,3000S,M
29,"Tuitoek, Evans",SO-2,Texas Tech,8:51.62,Payton Jordan Cardinal Invitational,2014-05-04,3000S,M
30,"Dickerson, Sam",SO-2,Missouri,8:51.74,Crimson Tide Invitational,2014-04-05,3000S,M
31,"Kacyon, Matthew",JR-3,Temple,8:51.83,2014 ECAC-IC4A Outdoor Championships,2014-05-16,3000S,M
32,"Theroux, Blake",JR-3,Colorado,8:51.96,Mt. SAC Relays,2014-04-17,3000S,M
33,"Airola, Matt",JR-3,Alabama,8:51.97,Mt. SAC Relays,2014-04-17,3000S,M
34,"Doughty, Brandon",SO-2,Oklahoma,8:52.38,John Jacobs Invitational,2014-04-18,3000S,M
35,"Owens, Eddie",JR-3,Princeton,8:52.78,2014 ECAC-IC4A Outdoor Championships,2014-05-16,3000S,M
36,"Coffey, Chase",JR-3,Bradley,8:53.13,Mt. SAC Relays,2014-04-17,3000S,M
37,"Smith, Brendan",SO-2,Penn,8:53.42,Larry Ellis Invitational,2014-04-16,3000S,M
38,"Spencer, Isaac",JR-3,Texas A&M,8:53.70,Stanford Invitational,2014-04-04,3000S,M
