,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
26,"Lefebure, Luke",SR-4,Stanford,1:47.73,Payton Jordan Invitational,2015-05-02,800,M
27,"Hernandez, Hector",JR-3,Texas A&M,1:47.75,SEC Championships,2015-05-14,800,M
28,"Kuhn, Daniel",FR-1,Indiana,1:47.80,2015 Arizona State Pac-12 vs Big 10 Invitational,2015-03-27,800,M
29,"Murphy, Clayton",SO-2,Akron,1:47.81,2015 Drake Relays presented by Hy-Vee,2015-04-22,800,M
30,"McAsey, Joe",JR-3,Illinois,1:47.91,Payton Jordan Invitational,2015-05-02,800,M
30,"Kinnaird, Tre'tez",SO-2,Indiana,1:47.91,2015 Billy Hayes Invitational,2015-05-02,800,M
32,"Hernandez, Josh",SR-4,Texas A&M,1:47.97,SEC Championships,2015-05-14,800,M
33,"Hazouri, Brandon",JR-3,Samford,1:48.05,Georgia Invitational,2015-05-09,800,M
34,"Fish, Brendon",SR-4,Columbia,1:48.08,Larry Ellis (College),2015-04-17,800,M
35,"Ford, Robert",FR-1,USC,1:48.14,Pac-12 Track & Field Championships,2015-05-15,800,M
35,"Peterson, Patrick",SR-4,Iowa State,1:48.14,Payton Jordan Invitational,2015-05-02,800,M
35,"Callahan, Peter",SR-4,New Mexico,1:48.14@,New Mexico Track & Field Quadrangular,2015-04-10,800,M
38,"Dorsey, Ephraim",SR-4,Eastern Illinois,1:48.15,Ohio Valley Conference Championships,2015-05-15,800,M
39,"Hamilton III, Eugene",SO-2,California,1:48.18,Pac-12 Track & Field Championships,2015-05-15,800,M
40,"Harrison, Christian",JR-3,Georgia,1:48.25,SEC Championships,2015-05-14,800,M
41,"Fisher, Harry",SR-4,Wyoming,1:48.34@,Colorado Invitational,2015-04-10,800,M
42,"Holden, Simon",SO-2,Wake Forest,1:48.36,Georgia Invitational,2015-05-09,800,M
43,"Prince, Quamel",SO-2,Tennessee St.,1:48.41,Ohio Valley Conference Championships,2015-05-15,800,M
44,"Joseph, Patrick",SO-2,Virginia Tech,1:48.44,ACC Outdoor Track & Field Championships,2015-05-14,800,M
45,"Sanders, Chris",SO-2,La Salle,1:48.46,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,800,M
46,"Yorks, Izaic",JR-3,Washington,1:48.52,2015 UW v. WSU Dual,2015-05-01,800,M
47,"Moore, Brandon",SO-2,Baylor,1:48.53,Michael Johnson Classic,2015-04-18,800,M
47,"Herring, Edwin",SR-4,New Mexico,1:48.53@,New Mexico Track & Field Quadrangular,2015-04-10,800,M
49,"Silva, Elijah",SO-2,Tulsa,1:48.54,Payton Jordan Invitational,2015-05-02,800,M
49,"Creese, Robby",JR-3,Penn State,1:48.54,Florida Relays,2015-04-02,800,M
51,"Burton, Jake",JR-3,Florida State,1:48.55,Payton Jordan Invitational,2015-05-02,800,M
52,"Teixeira, Otniel",JR-3,Florida State,1:48.57,Florida Relays,2015-04-02,800,M
53,"Teubel, Will",JR-3,Iowa,1:48.60,2015 Beach Invitational,2015-04-17,800,M
54,"Crimmins, Brian",JR-3,Buffalo,1:48.71,Florida Relays,2015-04-02,800,M
55,"Claflin, Connor",SR-4,Columbia,1:48.79,Florida Relays,2015-04-02,800,M
56,"Lambourne, Clay",FR-1,Utah State,1:48.80@,Utah Spring Classic,2015-04-10,800,M
57,"Morgan, Dameon",JR-3,Mississippi,1:48.88,LSU Invitational,2015-05-02,800,M
57,"Soratos, Cristian",SR-4,Montana State,1:48.88@,Utah Spring Classic,2015-04-10,800,M
59,"Greiner, Simon",JR-3,Tulsa,1:48.90,John McDonnell Invitational,2015-04-10,800,M
60,"Bile, Ahmed",SO-2,Georgetown,1:48.92,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,800,M
61,"Johnson, Onyx",SO-2,Morgan State,1:48.94,MEAC Outdoor T&F Championships,2015-04-30,800,M
62,"Hechsel, Mitch",SO-2,Minnesota,1:48.97,Big Ten Outdoor Track & Field Championships,2015-05-15,800,M
63,"Crocker, Will",JR-3,Missouri,1:48.99,John McDonnell Invitational,2015-04-10,800,M
64,"Tufnell, Henry",SR-4,Brown,1:49.01,Ivy League Outdoor Track & Field Championships,2015-05-09,800,M
65,"Scheving, Tyler",JR-3,Buffalo,1:49.02,Florida Relays,2015-04-02,800,M
66,"Strum, Nathan",SR-4,UC Davis,1:49.04,36th Sun Angel Classic,2015-04-09,800,M
66,"Rhodes, Robert",JR-3,Penn State,1:49.04,Florida Relays,2015-04-02,800,M
66,"Palamar, Adam",JR-3,Tulsa,1:49.04,John McDonnell Invitational,2015-04-10,800,M
69,"Binder, DeQuad",JR-3,Texas State,1:49.10,Sun Belt Outdoor Track and Field Championships,2015-05-08,800,M
70,"Atkinson, Thomas",SR-4,Wyoming,1:49.11@,Colorado Invitational,2015-04-10,800,M
70,"Perrier, Gregory",SR-4,Manhattan,1:49.11,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,800,M
70,"Smith, Kisean",JR-3,Georgia,1:49.11,Georgia Invitational,2015-05-09,800,M
73,"Malone, Ben",FR-1,Villanova,1:49.13,Larry Ellis (College),2015-04-17,800,M
74,"Andrews, Myles",SR-4,USC,1:49.15,Stanford Invitational,2015-04-03,800,M
75,"Deng, Goaner",JR-3,Minnesota,1:49.24,Big Ten Outdoor Track & Field Championships,2015-05-15,800,M
