,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
31,"Owens, Drew",SR-4,Montana,50.99,Big Sky Conference Outdoor Track & Field Championships,2015-05-13,400H,M
32,"Martinez, Fernando",JR-3,Boise State,51.00,Border Clash 2015,2015-05-01,400H,M
33,"Parris, Khalil",SO-2,Detroit,51.02,NCC Gregory Final Qualifier,2015-05-14,400H,M
34,"Harris, Jarvis",SR-4,Harvard,51.10,Ivy League Outdoor Track & Field Championships,2015-05-09,400H,M
35,"Anderson, Andre",SR-4,Cincinnati,51.12,The American Outdoor Track & Field Championships,2015-05-14,400H,M
36,"Mowatt, Kemar",FR-1,Texas A&M-CC,51.13,Southland Conference Championship,2015-05-08,400H,M
37,"Brown, Xavier",FR-1,East Carolina,51.14,The American Outdoor Track & Field Championships,2015-05-14,400H,M
37,"Graham, Aikan",SR-4,Texas A&M,51.14,SEC Championships,2015-05-14,400H,M
39,"Camacho, Roberto",SR-4,UTEP,51.16@,Conference USA Outdoor Track & Field Championships,2015-05-14,400H,M
40,"Timmins, Tom",SR-4,Penn,51.18,Ivy League Outdoor Track & Field Championships,2015-05-09,400H,M
41,"Tennon, Darien",SO-2,Texas Tech,51.19,Michael Johnson Classic,2015-04-18,400H,M
42,"Koger, Michael",SR-4,UC Riverside,51.20,36th Sun Angel Classic,2015-04-09,400H,M
43,"Pille, Sean",JR-3,Nebraska,51.21,Michael Johnson Classic,2015-04-18,400H,M
44,"Davis, Ryan",SO-2,Liberty,51.23,Big South Championships,2015-05-14,400H,M
45,"Wolff, Mitch",SO-2,Iowa,51.26,Musco Invitational,2015-05-02,400H,M
46,"Smith, Korey",JR-3,BYU,51.33,Border Clash 2015,2015-05-01,400H,M
46,"Asberry, Kai",JR-3,Drake,51.33,SIUe Gateway Invite,2015-04-18,400H,M
48,"Dordevic, Max",FR-1,Texas,51.34,Texas Invitational,2015-04-11,400H,M
49,"Mallett, Aaron",SO-2,Iowa,51.41,Musco Invitational,2015-05-02,400H,M
50,"Shumway, Jackson",JR-3,Stanford,51.45,Pac-12 Track & Field Championships,2015-05-15,400H,M
51,"Parish, Miles",SO-2,Arizona,51.48,Pac-12 Track & Field Championships,2015-05-15,400H,M
52,"Wulff-Cochrane, Charles",JR-3,Delaware State,51.49,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,400H,M
52,"Holmes, TJ",SO-2,Florida,51.49,SEC Championships,2015-05-14,400H,M
54,"Chavous, Andrew",SR-4,Winthrop,51.50,Big South Championships,2015-05-14,400H,M
55,"Wiseman, Drew",SO-2,Nebraska,51.51,Big Ten Outdoor Track & Field Championships,2015-05-15,400H,M
56,"Pretorius, Constant",JR-3,New Orleans,51.54,Southland Conference Championship,2015-05-08,400H,M
57,"Johnson, Evan",JR-3,Morgan State,51.55,MEAC Outdoor T&F Championships,2015-04-30,400H,M
58,"Broaden, Stanley",SR-4,Appalachian State,51.58,Charlotte Invitational,2015-04-17,400H,M
59,"Luckey, Dannie",JR-3,Prairie View,51.59,2015 SWAC Outdoor Championship,2015-04-24,400H,M
60,"Collins, Lavon",SR-4,TCU,51.61,Michael Johnson Classic,2015-04-18,400H,M
61,"Prejean, Michael",SR-4,Prairie View,51.62,2015 SWAC Outdoor Championship,2015-04-24,400H,M
62,"Arsenault, Calvin",SR-4,Louisville,51.68,ACC-Big Ten Challenge,2015-04-11,400H,M
63,"Vaca, Cameron",JR-3,UC Irvine,51.71,UC Irvine Steve Scott Invit(Colleges),2015-05-01,400H,M
63,"Shakir, Lemaar",SR-4,Savannah State,51.71,MEAC Outdoor T&F Championships,2015-04-30,400H,M
63,"Elam, Jeff",JR-3,Eastern Michigan,51.71,Ohio State - Jesse Owens Classic,2015-05-01,400H,M
66,"Stuedemann, Drake",SR-4,Missouri,51.73,SEC Championships,2015-05-14,400H,M
67,"McLean, Alistair",JR-3,LIU Brooklyn,51.75,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,400H,M
68,"Henderson, Logan",SR-4,Idaho State,51.76@,Utah Spring Classic,2015-04-10,400H,M
69,"Sicard, Lloyd",SO-2,UC Irvine,51.77,UC Irvine Steve Scott Invit(Colleges),2015-05-01,400H,M
70,"Davis, Stanley",FR-1,Hampton,51.78,MEAC Outdoor T&F Championships,2015-04-30,400H,M
71,"Dunlap, Miles",SR-4,Kent State,51.79,Akron Campbell-Wright Invitational,2015-05-08,400H,M
71,"Barrett, Paul",JR-3,South Florida,51.79,The American Outdoor Track & Field Championships,2015-05-14,400H,M
73,"Jackson, Jonathan",SR-4,Indiana State,51.80,Gibson Invitational,2015-04-16,400H,M
73,"Grant, Robert",FR-1,Miami,51.80,Florida Relays,2015-04-02,400H,M
75,"Spencer, Wallace",SR-4,Howard,51.82,2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,400H,M
76,"Turner, Jonte",JR-3,California,51.84,Pac-12 Track & Field Championships,2015-05-15,400H,M
76,"Dutkiewicz, Ziemowit",SO-2,Central Michigan,51.84,Gibson Invitational,2015-04-16,400H,M
78,"Thompson, Aaron",SR-4,Wisconsin,51.85,Big Ten Outdoor Track & Field Championships,2015-05-15,400H,M
78,"Sams, Jamel",SR-4,UL-Monroe,51.85,SFA Skechers Carl Kight Invitational,2015-04-02,400H,M
80,"Hairston, Max",JR-3,Cornell,51.86,Ivy League Outdoor Track & Field Championships,2015-05-09,400H,M
81,"Bernard, Lukas",SR-4,South Dakota,51.87,The Summit League Outdoor Track & Field Championships,2015-05-13,400H,M
81,"Little, Sam",JR-3,Colorado St.,51.87@,Cowpoke Open,2015-05-01,400H,M
83,"Dopp, Cam",FR-1,BYU,51.90,Trojan Invitational,2015-03-20,400H,M
84,"Love, Cody",SR-4,UNC-Wilmington,51.93,2015 Colonial Relays,2015-04-02,400H,M
85,"Chase, Chandler",JR-3,East Carolina,51.95,The American Outdoor Track & Field Championships,2015-05-14,400H,M
86,"Mulder, Joshua",JR-3,Kennesaw State,51.96,Georgia Tech Yellow Jacket Invitational,2015-03-27,400H,M
87,"Marks, LeSean",SR-4,Grand Canyon,51.97@,2015 WAC Outdoor Track & Field Championships,2015-05-13,400H,M
88,"Cormier, Morgan",JR-3,UL-Lafayette,51.98,Louisiana Classic,2015-03-20,400H,M
89,"Johnson, Rodney",SO-2,East Carolina,51.99,The American Outdoor Track & Field Championships,2015-05-14,400H,M
89,"Cooper , Justin",JR-3,Arkansas-Pine Bluff,51.99,2015 SWAC Outdoor Championship,2015-04-24,400H,M
91,"Chandler, Jason",JR-3,UC Davis,52.00,2015 Big West Championships,2015-05-15,400H,M
92,"Hilliard, James",JR-3,Texas State,52.01,Sun Belt Outdoor Track and Field Championships,2015-05-08,400H,M
92,"Scheible, Max",FR-1,BYU,52.01,Border Clash 2015,2015-05-01,400H,M
94,"Williams, Michael",SO-2,East Tenn. St.,52.03,Southern Conference Outdoor Championship 2015,2015-04-25,400H,M
94,"Townsend, Todd",SO-2,N. Carolina A&T,52.03,Florida Relays,2015-04-02,400H,M
96,"Klos, Aron",FR-1,North Dakota State,52.05,The Summit League Outdoor Track & Field Championships,2015-05-13,400H,M
97,"Lewis, Zachary",JR-3,UC Riverside,52.07,2015 Big West Championships,2015-05-15,400H,M
98,"Cook, Christian",JR-3,Miami,52.08,LSU Invitational,2015-05-02,400H,M
99,"Mason, Jerrad",SO-2,Missouri,52.09,Tom Botts Invitational,2015-05-01,400H,M
100,"Hill, Erik",SR-4,South Dakota,52.10,The Summit League Outdoor Track & Field Championships,2015-05-13,400H,M
1,"Selmon, Kenny",JR-3,North Carolina,48.76,ACC Outdoor Track & Field Championships,2017-05-12,400H,M
2,"Mowatt, Kemar",JR-3,Arkansas,48.79,SEC Outdoor Track & Field Championships,2017-05-11,400H,M
3,"Futch, Eric",SR-4,Florida,48.82,SEC Outdoor Track & Field Championships,2017-05-11,400H,M
4,"Grant, Robert",JR-3,Texas A&M,49.15,SEC Outdoor Track & Field Championships,2017-05-11,400H,M
5,"Palmer, Desmond",SR-4,Pittsburgh,49.17,ACC Outdoor Track & Field Championships,2017-05-12,400H,M
6,"Holmes, TJ",SR-4,Florida,49.19,UF Tom Jones Memorial,2017-04-28,400H,M
7,"Benjamin, Rai",SO-2,UCLA,49.52,Pac-12 Championships,2017-05-13,400H,M
8,"Allen, CJ",SR-4,Washington St.,49.54,Pac-12 Championships,2017-05-13,400H,M
9,"Robinson, Byron",SR-4,Texas,49.55,LSU Alumni Gold,2017-04-22,400H,M
10,"Boully, AJ",SR-4,Utah State,49.58,2017 90th Clyde Littlefield Texas Relays,2017-03-29,400H,M
11,"Kendziera, David",JR-3,Illinois,50.13,Big Ten Outdoor Championships,2017-05-12,400H,M
12,"Martinez, Fernando",SR-4,Boise State,50.20@,Mountain West Outdoor Track & Field Championships,2017-05-10,400H,M
13,"Alowonle, Rilwan",SR-4,North Carolina,50.33,Battle of the Blues,2017-04-01,400H,M
14,"Ikpefan, Obokhare",SR-4,Purdue,50.36,LSU Battle on the Bayou,2017-04-08,400H,M
15,"Corley, Austin",SO-2,Wichita State,50.59,2017 MVC Outdoor Track and Field Championships,2017-05-12,400H,M
16,"Colebrook, Andre",SR-4,SE Louisiana,50.60,Southland Conference Outdoor Championship,2017-05-12,400H,M
17,"Neal, Andrew",JR-3,Nebraska,50.62,Pac-12 vs Big-10 Invitational,2017-03-24,400H,M
18,"Sanders, Mykele Young",SO-2,Texas Southern,50.64,SWAC Outdoor Championship,2017-05-05,400H,M
19,"Smith, Korey",SR-4,BYU,50.65@,2017 BYU Cougar Invitational,2017-05-12,400H,M
20,"Mecham, Scott",SO-2,BYU,50.69@,2017 BYU Cougar Invitational,2017-05-12,400H,M
21,"Williams, Jaelen",FR-1,Hampton,50.77,MEAC Outdoor Championships,2017-05-04,400H,M
22,"Lattin, Amere",SO-2,Houston,50.81,The American Outdoor Track & Field Championships,2017-05-12,400H,M
23,"Chiles, Gregory",JR-3,Virginia Tech,50.82,ACC Outdoor Track & Field Championships,2017-05-12,400H,M
23,"Wiseman, Drew",JR-3,Nebraska,50.82@,Texas Tech Red Raider Shoot-Out,2017-04-28,400H,M
25,"Rhoden, James",SR-4,Florida State,50.83,UF Tom Jones Memorial,2017-04-28,400H,M
26,"McLaughlin, Taylor",SO-2,Michigan,50.86,Texas Invitational,2017-04-14,400H,M
26,"Chambers, Travius",JR-3,Arkansas,50.86,SEC Outdoor Track & Field Championships,2017-05-11,400H,M
28,"Meech, Connor",SO-2,California,51.01,Brutus Hamilton Challenge,2017-04-28,400H,M
29,"Larrison, Noah",SO-2,Iowa,51.02,Baldy Castillo Invitational,2017-03-17,400H,M
30,"Tatham, Rasheed",SO-2,Miss State,51.04,SEC Outdoor Track & Field Championships,2017-05-11,400H,M
31,"Thomas, Jaron",SR-4,Colorado,51.05@,Colorado Invitational,2017-04-07,400H,M
32,"Flaviano, George",SR-4,Northwestern St.,51.06,Southland Conference Outdoor Championship,2017-05-12,400H,M
33,"Izu, Ilolo",SO-2,Texas A&M,51.11,SEC Outdoor Track & Field Championships,2017-05-11,400H,M
34,"Donald, Larry",JR-3,Arkansas,51.16,SEC Outdoor Track & Field Championships,2017-05-11,400H,M
35,"Reitzug, Zach",SR-4,Indiana,51.20,Big Ten Outdoor Championships,2017-05-12,400H,M
36,"Mason, Jerrad",JR-3,Missouri,51.24,Tom Botts Invitational,2017-04-14,400H,M
37,"Moore, Martice",SO-2,Louisville,51.26,2017 Louisville Invitational,2017-04-14,400H,M
37,"Tennon, Darien",JR-3,Texas Tech,51.26,2017 90th Clyde Littlefield Texas Relays,2017-03-29,400H,M
39,"Graves, Elliott",FR-1,Appalachian State,51.29,Sun Belt Outdoor Track and Field Championships,2017-05-12,400H,M
39,"Gordon, Deron",JR-3,Clemson,51.29,ACC Outdoor Track & Field Championships,2017-05-12,400H,M
41,"Scheible, Max",JR-3,BYU,51.30@,2017 BYU Cougar Invitational,2017-05-12,400H,M
42,"Van Leersum, Bas",SR-4,Drake,51.35,2017 Nebraska Invitational,2017-05-06,400H,M
43,"Gleason, Kerry",JR-3,Stephen F. Austin,51.45,Southland Conference Outdoor Championship,2017-05-12,400H,M
44,"Wing, Samuel",SO-2,Utah State,51.46@,Mountain West Outdoor Track & Field Championships,2017-05-10,400H,M
45,"Smith, Jacob",FR-1,Northern Iowa,51.47,2017 MVC Outdoor Track and Field Championships,2017-05-12,400H,M
46,"Hilson, Nick",FR-1,Arkansas State,51.52,Sun Belt Outdoor Track and Field Championships,2017-05-12,400H,M
47,"Douglas, Chris",SO-2,Iowa,51.53,Big Ten Outdoor Championships,2017-05-12,400H,M
48,"Wolff, Mitch",SR-4,Iowa,51.55,Mt. SAC Relays,2017-04-13,400H,M
49,"Parish, Miles",SR-4,Arizona,51.56,2017 Willie Williams Classic (College/Open),2017-03-17,400H,M
50,"Williams, Logan",JR-3,Prairie View,51.59,SWAC Outdoor Championship,2017-05-05,400H,M
51,"Howard, Brandon",SR-4,UC Irvine,51.61,adidas/Steve Scott Invitational,2017-04-28,400H,M
52,"Coaxum, Jerome",JR-3,Coastal Carolina,51.62,UF Tom Jones Memorial,2017-04-28,400H,M
53,"Stringari, Trenton",SO-2,Colorado,51.66@,Colorado Invitational,2017-04-07,400H,M
54,"Priebe, Hudson",JR-3,Drake,51.67,Musco Twilight,2017-04-22,400H,M
