,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
37,"Coulon, Adam",SO-2,Indiana,5.30m,"17' 4.5""",Tennessee Relays,2018-04-12,PV,M
37,"Woodley, Armand",JR-3,South Carolina,5.30m,"17' 4.5""",SEC Outdoor Track and Field Championships,2018-05-11,PV,M
37,"Womack, Ryan",JR-3,Baylor,5.30m,"17' 4.5""",National Relay Championships,2018-04-27,PV,M
37,"Smith, Chase",JR-3,Washington,5.30m,"17' 4.5""",USC Trojan Invitational,2018-03-16,PV,M
44,"Kiles, August",SR-4,Princeton,5.28m,"17' 3.75""",IC4A/ECAC DI Outdoor Track & Field Championships,2018-05-12,PV,M
44,"Benavides, Paulo",JR-3,Kansas,5.28m,"17' 3.75""",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,PV,M
44,"Rogers, Kyle",FR-1,Kansas,5.28m,"17' 3.75""",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,PV,M
44,"Scott, Blake",JR-3,Oklahoma State,5.28m,"17' 3.75""",Big 12 Conference Outdoor Track and Field Championships,2018-05-11,PV,M
48,"Spotswood, Jacob",FR-1,Alabama,5.27m,"17' 3.5""",UTSA Invitational,2018-03-16,PV,M
49,"Duffy, Erick",FR-1,Harvard,5.26m,"17' 3""",Ivy League Outdoor Track & Field Championships,2018-05-05,PV,M
50,"Williams, Harrison",JR-3,Stanford,5.25m,"17' 2.75""",Pac-12 Combined Events Championships,2018-05-05,PV,M
50,"Cole, Elijah",SO-2,Charlotte,5.25m,"17' 2.75""",2018 Charlotte Invitational,2018-04-13,PV,M
50,"Francom, Trent",FR-1,South Dakota St.,5.25m,"17' 2.75""",2018 Drake Relays presented by Hy-Vee,2018-04-25,PV,M
50,"Hiett, Nathan",SR-4,Arizona State,5.25m,"17' 2.75""",39th Sun Angel Classic,2018-04-05,PV,M
54,"Gary, Noah",SR-4,Michigan State,5.23m,"17' 1.75""",Spartan Invitational,2018-04-06,PV,M
55,"Peare , Matthew",FR-1,Kentucky,5.22m,"17' 1.5""",Florida Relays,2018-03-29,PV,M
55,"Skage, Greg",FR-1,Air Force,5.22m,"17' 1.5""",NoCo Challenge,2018-04-14,PV,M
57,"Hunter, Craig",SR-4,Connecticut,5.20m,"17' 0.75""",Miami Hurricane Alumni Invitational,2018-04-06,PV,M
57,"Young, Sam",SO-2,Virginia,5.20m,"17' 0.75""",Fred Hardy Invitational,2018-03-30,PV,M
57,"Shugart, Zachary",SO-2,Washington,5.20m,"17' 0.75""",Beach Invitational,2018-04-20,PV,M
57,"Guthrie, Tim",SR-4,Wisconsin,5.20m,"17' 0.75""",National Relay Championships,2018-04-27,PV,M
57,"Stevens, Connor",SO-2,Air Force,5.20m,"17' 0.75""",Beach Invitational,2018-04-20,PV,M
57,"Horstmann, Chad",SO-2,Stephen F. Austin,5.20m,"17' 0.75""",Southland Conference Outdoor Track & Field Championships,2018-05-04,PV,M
57,"Weissmann, Peyton",FR-1,Ole Miss,5.20m,"17' 0.75""",SEC Outdoor Track and Field Championships,2018-05-11,PV,M
57,"Percefull, Ben",FR-1,Houston,5.20m,"17' 0.75""",Texas Invitational,2018-04-13,PV,M
57,"LaRocca, Jacob",JR-3,Illinois,5.20m,"17' 0.75""",Beach Invitational,2018-04-20,PV,M
57,"Coulibaly, Rashid",SO-2,Wisconsin,5.20m,"17' 0.75""",Beach Invitational,2018-04-20,PV,M
57,"Champen, Christian",SO-2,Kent State,5.20m,"17' 0.75""",Home Depot Clyde Littlefield Texas Relays,2018-03-28,PV,M
68,"Beekman, Brad",SR-4,Cal Poly,5.18m,"17' 0""",2018 Big West Championships,2018-05-11,PV,M
69,"Laut, Austin",JR-3,Yale,5.17m,"16' 11.5""",War Eagle Invitational 2018,2018-04-20,PV,M
69,"Herrscher, Will",JR-3,Alabama,5.17m,"16' 11.5""",UTSA Invitational,2018-03-16,PV,M
69,"Baudoin, Kyle",JR-3,UL-Lafayette,5.17m,"16' 11.5""",Southern Miss Open,2018-04-27,PV,M
69,"Nelson, Sam",JR-3,Utah State,5.17m,"16' 11.5""",Mark Faldmo Invitational,2018-04-13,PV,M
73,"Pineda, Stefano",JR-3,Navy,5.16m,"16' 11""",Patriot League Outdoor Track & Field Championships,2018-05-04,PV,M
74,"Jazo, Cooper",SO-2,Illinois,5.15m,"16' 10.75""",Ole Miss Classic,2018-03-31,PV,M
74,"Bugner, Hayden",JR-3,Wichita State,5.15m,"16' 10.75""",The American Outdoor Track & Field Championships,2018-05-11,PV,M
74,"Rios, Raul",JR-3,BYU,5.15m,"16' 10.75""",Oregon Pepsi Invitational,2018-04-07,PV,M
74,"Harris, Michael",SO-2,Florida,5.15m,"16' 10.75""",UF Tom Jones Memorial,2018-04-13,PV,M
74,"Jarvis, Jake",SR-4,BYU,5.15m,"16' 10.75""",2018 BYU Robison Invitational,2018-04-26,PV,M
74,"Valles, Adrian",SR-4,Cincinnati,5.15m,"16' 10.75""",Tennessee Relays,2018-04-12,PV,M
80,"Cahoy, Kevin",SO-2,Nebraska,5.14m,"16' 10.25""",Big Ten Championships,2018-05-11,PV,M
81,"Ashenbremer, Ryan",FR-1,Illinois State,5.13m,"16' 10""",2018 MVC Outdoor Track & Field Championships,2018-05-11,PV,M
81,"Gonzalez, Michael",SO-2,USC,5.13m,"16' 10""",UCLA vs. USC Dual,2018-04-29,PV,M
83,"Ham, Tristan",SO-2,Prairie View,5.12m,"16' 9.5""",SWAC Outdoor Track and Field Championship,2018-05-04,PV,M
83,"Winner, Eduard",FR-1,Manhattan,5.12m,"16' 9.5""",Metro Atlantic Outdoor Track & Field Championships,2018-05-05,PV,M
85,"Powell, Spencer",SO-2,Nebraska,5.11m,"16' 9.25""",Texas Tech Corky/Crofoot Shootout,2018-04-27,PV,M
85,"Popusoi, Vladimir",JR-3,UMass Lowell,5.11m,"16' 9.25""",UMass Lowell Invitational,2018-03-31,PV,M
85,"Wigington, Hunter",FR-1,Texas Tech,5.11m,"16' 9.25""",Texas Tech Corky/Crofoot Shootout,2018-04-27,PV,M
85,"Fay, Matthew",JR-3,Bucknell,5.11m,"16' 9.25""",Patriot League Outdoor Track & Field Championships,2018-05-04,PV,M
85,"Lipe, Ryan",FR-1,Alabama,5.11m,"16' 9.25""",LSU Invitational,2018-04-28,PV,M
85,"Meaders, Nicholas",JR-3,Texas,5.11m,"16' 9.25""",Michael Johnson Invitational,2018-04-21,PV,M
91,"Pitney, Calvin",JR-3,Maryland,5.10m,"16' 8.75""",Kehoe Twilight Meet 2018,2018-05-04,PV,M
91,"Duggan, Hugh",SO-2,Samford,5.10m,"16' 8.75""",2018 South Alabama Invintational,2018-04-06,PV,M
91,"Black, Blaise",JR-3,Washington,5.10m,"16' 8.75""",USC Trojan Invitational,2018-03-16,PV,M
91,"Ballard, Gregory",SR-4,Louisiana Tech,5.10m,"16' 8.75""",The Skecher's Performance Carl Kight Invitational,2018-04-05,PV,M
91,"Dement, Jaden",JR-3,Abilene Christian,5.10m,"16' 8.75""",Southland Conference Outdoor Track & Field Championships,2018-05-04,PV,M
91,"Cohea, Colton",FR-1,Texas A&M-CC,5.10m,"16' 8.75""",Southland Conference Outdoor Track & Field Championships,2018-05-04,PV,M
91,"Summers, Ashton",JR-3,Sam Houston St.,5.10m,"16' 8.75""",Southland Conference Outdoor Track & Field Championships,2018-05-04,PV,M
98,"Chadwick, Michael",FR-1,Arizona State,5.09m,"16' 8.25""",Bryan Clay Invitational,2018-04-19,PV,M
98,"Eckles, Matthew",JR-3,Arizona State,5.09m,"16' 8.25""",Bryan Clay Invitational,2018-04-19,PV,M
100,"Nelson, Luke",SO-2,Illinois State,5.08m,"16' 8""",Illinois State Redbird Invitational,2018-04-14,PV,M
