,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
21,"Naumann, Kelly",SR-4,Iowa State,10:06.10,Cardinal Classic,2019-04-19,3000S,W
22,"Cannon, Maddie",SR-4,BYU,10:06.17,Payton Jordan Invitational,2019-05-02,3000S,W
23,"Gee, Emma",JR-3,BYU,10:06.96,Payton Jordan Invitational,2019-05-02,3000S,W
24,"Mancini, Grace",JR-3,La Salle,10:07.47,125th Penn Relays,2019-04-25,3000S,W
25,"Menghini, Melissa",SO-2,Missouri,10:07.76,SEC Outdoor Track & Field Championships,2019-05-09,3000S,W
26,"Paholek, Maxine",FR-1,Boise State,10:07.96,Payton Jordan Invitational,2019-05-02,3000S,W
27,"Topham, Rebekah",JR-3,Wichita State,10:09.94,Stanford Invitational,2019-03-29,3000S,W
28,"Kallner, Ali",JR-3,Colorado St.,10:10.10,Mountain West Outdoor Track & Field Championship,2019-05-08,3000S,W
29,"Dickinson, Laura",SO-2,Syracuse,10:10.19,ACC Championships,2019-05-09,3000S,W
30,"Zambrano, Jeanette",SR-4,San Jose St.,10:10.28,Stanford Invitational,2019-03-29,3000S,W
31,"Smith, Karrigan",JR-3,Michigan State,10:10.91,Virginia Challenge,2019-04-19,3000S,W
32,"Gehrich, Amanda",JR-3,Oregon,10:10.99,Payton Jordan Invitational,2019-05-02,3000S,W
33,"Borchers, Emily",JR-3,Dayton,10:11.21,Atlantic 10 Outdoor Track & Field Championships,2019-05-04,3000S,W
34,"Sullivan, Grace",SR-4,East Carolina,10:12.62,East Carolina University Bill Carson Invitational,2019-04-05,3000S,W
35,"Andrews, Mackenzie",SR-4,Akron,10:12.72,Mt. SAC Relays,2019-04-18,3000S,W
36,"DeLay, Kayley",SO-2,Yale,10:12.74,125th Penn Relays,2019-04-25,3000S,W
37,"McDonald, Anna",SR-4,Texas,10:14.12,Bryan Clay Invitational,2019-04-17,3000S,W
38,"Blanks, Lindsey",JR-3,Air Force,10:14.77,Mt. SAC Relays,2019-04-18,3000S,W
39,"Boos, Annie",SO-2,California,10:14.83,Stanford Invitational,2019-03-29,3000S,W
40,"Grujic, Zorana",SO-2,Washington St.,10:15.79,Bryan Clay Invitational,2019-04-17,3000S,W
41,"Scott, Sarah",SR-4,Oklahoma,10:15.83,Big 12 Outdoor Track and Field Championships,2019-05-10,3000S,W
42,"Klimkiewicz, Allie",SR-4,Princeton,10:16.12,2019 Larry Ellis Invitational,2019-04-20,3000S,W
43,"Crouch, Lucinda",FR-1,Wisconsin,10:17.03,Big Ten Championships,2019-05-10,3000S,W
44,"Vogelgesang, Lisa",SO-2,Ole Miss,10:17.14,SEC Outdoor Track & Field Championships,2019-05-09,3000S,W
45,"Bartolomeo, Rachel",SR-4,Charlotte,10:17.51,Conference USA Outdoor Championships,2019-05-09,3000S,W
46,"Orie, Gabrielle",SO-2,Cornell,10:18.98,IC4A/ECAC Outdoor Track & Field Championships,2019-05-11,3000S,W
47,"Jones, Judi",JR-3,Nebraska,10:19.50,Big Ten Championships,2019-05-10,3000S,W
48,"Doner, Kacey",JR-3,Wyoming,10:19.86,Mountain West Outdoor Track & Field Championship,2019-05-08,3000S,W
49,"Fisher, Laurel",SR-4,Fordham,10:20.34,Atlantic 10 Outdoor Track & Field Championships,2019-05-04,3000S,W
50,"Heinst, Famke",SO-2,High Point,10:20.93,Virginia Challenge,2019-04-19,3000S,W
51,"Smith, Emily",JR-3,Eastern Michigan,10:20.94,Bryan Clay Invitational,2019-04-17,3000S,W
52,"Kohut-Jackson, Abby",SO-2,Minnesota,10:20.99,Big Ten Championships,2019-05-10,3000S,W
53,"Kanney, Sarah",SR-4,Ohio State,10:21.02,Big Ten Championships,2019-05-10,3000S,W
54,"Lopez, Kyra",JR-3,Boise State,10:21.03,Stanford Invitational,2019-03-29,3000S,W
55,"Hamer, Khalilah",JR-3,George Mason,10:21.05,Atlantic 10 Outdoor Track & Field Championships,2019-05-04,3000S,W
