,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
16,"Clayton, Courtney",JR-3,Vanderbilt,2:04.12,SEC Outdoor Track & Field Championships,2017-05-11,800,W
17,"Chamberlain, Rosie",JR-3,UCF,2:04.19,Mt. SAC Relays,2017-04-13,800,W
18,"Piccirillo, Angel",SR-4,Villanova,2:04.22,Miami Hurricane Alumni Invitational,2017-04-07,800,W
19,"Jones, Dani",SO-2,Colorado,2:04.35,Stanford Cardinal Classic,2017-04-21,800,W
20,"Farrow, Ersula",SO-2,Clemson,2:04.51,LSU Alumni Gold,2017-04-22,800,W
21,"Schwanz, Annemarie",SR-4,Fresno State,2:04.65,Bryan Clay Invite,2017-04-13,800,W
21,"Edwards, Kaela",SR-4,Oklahoma State,2:04.65,Payton Jordan Invitational,2017-05-05,800,W
23,"Koech, Lilian",SO-2,UTEP,2:04.68,Brutus Hamilton Challenge,2017-04-28,800,W
24,"McIntosh, Kiara",SR-4,Purdue,2:04.74,Big Ten Outdoor Championships,2017-05-12,800,W
25,"Derby, Hannah",SO-2,Washington,2:04.79,Oregon State University High Performance,2017-04-28,800,W
26,"Aneno, Susan",SO-2,Connecticut,2:04.97,The American Outdoor Track & Field Championships,2017-05-12,800,W
27,"Feldmeier, Brooke",JR-3,Oregon,2:05.07,Oregon State University High Performance,2017-04-28,800,W
28,"Rizk, Julia",SO-2,UCLA,2:05.12,USC vs. UCLA,2017-04-29,800,W
29,"Banks, Rachel",FR-1,Penn State,2:05.14,Big Ten Outdoor Championships,2017-05-12,800,W
30,"Dodd, Kaylee",JR-3,Oklahoma State,2:05.15,Bryan Clay Invite,2017-04-13,800,W
31,"Smith, Mikaela",SO-2,USC,2:05.17,USC vs. UCLA,2017-04-29,800,W
32,"Rainsberger, Katie",FR-1,Oregon,2:05.20,Oregon State University High Performance,2017-04-28,800,W
33,"McHugh, Maddie",SO-2,Ole Miss,2:05.23,Bryan Clay Invite,2017-04-13,800,W
34,"Wade, Brittney",SR-4,Columbia,2:05.30,Virginia Challenge,2017-04-21,800,W
35,"Waschmann, Malika",SR-4,Stanford,2:05.35,Stanford Cardinal Classic,2017-04-21,800,W
36,"Cranny, Elise",JR-3,Stanford,2:05.43,The Big Meet,2017-04-08,800,W
37,"Colter, Jordyn",SO-2,California,2:05.46,Brutus Hamilton Challenge,2017-04-28,800,W
38,"Barton, Laurie",FR-1,Virginia Tech,2:05.48,ACC Outdoor Track & Field Championships,2017-05-12,800,W
39,"Morrissey, Jamie",JR-3,Michigan,2:05.56,Big Ten Outdoor Championships,2017-05-12,800,W
