,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,WIND,EVENT,GENDER
7,"Akobundu, Madeleine",JR-3,N. Carolina A&T,12.81,MEAC Outdoor Track & Field Championships,2019-05-02,1.4,100H,M
8,"Duncan, Alexis",SO-2,Tennessee,12.87,SEC Outdoor Track & Field Championships,2019-05-09,1.3,100H,M
9,"Ross, Faith",JR-3,Kentucky,12.89,Tennessee Relays,2019-04-11,2.6,100H,M
10,"Cockrell, Anna",JR-3,USC,12.92,2019 Pac-12 Track & Field Championships,2019-05-04,0.7,100H,M
11,"Austin, Camri",SO-2,Oklahoma,12.94,National Relay Championships,2019-04-26,1.6,100H,M
12,"McMinn, Tiara",SO-2,Miami (Fla.),12.96,ACC Championships,2019-05-09,2.0,100H,M
12,"Hall, Dior",SR-4,USC,12.96,Mt. SAC Relays,2019-04-18,1.1,100H,M
14,"Robinson, TeJyrica",JR-3,N. Carolina A&T,12.98,MEAC Outdoor Track & Field Championships,2019-05-02,1.4,100H,M
15,"Johnson, Alaysha",SR-4,Texas Tech,12.99,Michael Johnson Invitational,2019-04-19,2.1,100H,M
16,"Russell, Masai",FR-1,Kentucky,13.02,Tennessee Relays,2019-04-11,2.6,100H,M
17,"Rocker, Destinee",SO-2,Colorado St.,13.05,Mountain West Outdoor Track & Field Championship,2019-05-08,1.5,100H,M
18,"McGlaston, Mecca",JR-3,USC,13.06,2019 Pac-12 Track & Field Championships,2019-05-04,0.2,100H,M
18,"Taylor, Naomi",SO-2,Houston,13.06,Mt. SAC Relays,2019-04-18,1.1,100H,M
20,"Graham, Jasmyne",JR-3,UNLV,13.07,Mountain West Outdoor Track & Field Championship,2019-05-08,1.5,100H,M
21,"Humphrey, Brittley",JR-3,LSU,13.08,SEC Outdoor Track & Field Championships,2019-05-09,1.3,100H,M
21,"Burton, Rushelle",JR-3,Texas,13.08,National Relay Championships,2019-04-26,1.6,100H,M
23,"Christie-Galloway, Keira",FR-1,Iowa State,13.09,Drake Relays presented by Hy-Vee,2019-04-24,2.3,100H,M
24,"McDonald, Gabrielle",SO-2,Texas A&M,13.10,Michael Johnson Invitational,2019-04-19,2.1,100H,M
25,"Young, Milan",SO-2,LSU,13.12,LSU Invitational,2019-04-27,3.9,100H,M
26,"Cunningham, Gabriele",SR-4,North Carolina St.,13.13,ACC Championships,2019-05-09,1.8,100H,M
26,"Barge, Jasmine",SR-4,Nebraska,13.13@,Corky/Crofoot Shootout,2019-04-26,2.1,100H,M
26,"Hicks, Jada",FR-1,UNLV,13.13,Mountain West Outdoor Track & Field Championship,2019-05-08,1.5,100H,M
29,"Atherley, Michelle",JR-3,Miami (Fla.),13.14,ACC Championships,2019-05-09,0.2,100H,M
29,"Thorpe, Summer",JR-3,Notre Dame,13.14,Louisville Invitational,2019-04-12,1.2,100H,M
31,"Moore, Tawnie",SR-4,Weber State,13.15@,Big Sky Outdoor Track & Field Championships,2019-05-08,1.3,100H,M
32,"Pegram, Taylor",SR-4,UNLV,13.16,Mountain West Challenge,2019-04-05,3.5,100H,M
32,"Atkins, Kyra",SR-4,Charlotte,13.16,Virginia Grand Prix,2019-04-26,1.7,100H,M
34,"Sloan, Emily",FR-1,Oregon,13.18,2019 Pac-12 Track & Field Championships,2019-05-04,0.7,100H,M
35,"Mosley, Sydney",SR-4,Cal St. Northridge,13.19,Big West Outdoor Track & Field Championships,2019-05-10,-0.1,100H,M
36,"Freeman, Chanel",SR-4,Nebraska,13.20,Big Ten Championships,2019-05-10,0.6,100H,M
37,"Kimbro, Jenny",JR-3,Iowa,13.22,Drake Relays presented by Hy-Vee,2019-04-24,3.8,100H,M
38,"Williams, Ebony",JR-3,Clemson,13.24,North Florida Spring Break Invitational,2019-03-21,0.3,100H,M
39,"Lovett, Shamaria",JR-3,Alabama State,13.25,North Florida Spring Break Invitational,2019-03-21,0.3,100H,M
40,"Bonds, Tiana",SR-4,Arizona,13.27,2019 Desert Heat Classic,2019-04-27,1.3,100H,M
40,"Turner, Domonique",JR-3,Tennessee,13.27,UF Tom Jones Memorial,2019-04-26,2.3,100H,M
40,"Abdul-Rashid, Mariam",SR-4,Texas,13.27,National Relay Championships,2019-04-26,1.6,100H,M
43,"Leonard, Ciara",SR-4,Virginia,13.29,Virginia Grand Prix,2019-04-26,1.7,100H,M
44,"Perry, Dara",SR-4,Akron,13.31,Pacific Coast Intercollegiate,2019-04-18,1.5,100H,M
45,"Lester, Sterling",FR-1,Georgia,13.32,Torrin Lawrence Memorial,2019-04-26,1.8,100H,M
46,"Smith, Kennedy",SO-2,Texas A&M,13.33,Michael Johnson Invitational,2019-04-19,1.9,100H,M
47,"Perry, Janelle",SR-4,Central Michigan,13.34,Virginia Challenge,2019-04-19,2.9,100H,M
48,"Edwards, G'Auna",SO-2,Arkansas,13.35,SEC Outdoor Track & Field Championships,2019-05-09,0.2,100H,M
48,"Salmon , Paula",FR-1,N. Carolina A&T,13.35,MEAC Outdoor Track & Field Championships,2019-05-02,1.4,100H,M
48,"Njoku, Rose",JR-3,Texas Tech,13.35@,Corky/Crofoot Shootout,2019-04-26,2.1,100H,M
51,"Love, Jerica",SR-4,Incarnate Word,13.36,Texas State Bobcat Classic,2019-04-26,3.0,100H,M
52,"Flynn, Tiffany",SR-4,Miss State,13.37,LSU Alumni Gold,2019-04-20,2.8,100H,M
53,"Johnson, Brandee",JR-3,Florida,13.39,UF Tom Jones Memorial,2019-04-26,1.1,100H,M
53,"Lewis, Morgan",FR-1,Ohio State,13.39,Big Ten Championships,2019-05-10,1.0,100H,M
55,"Harris, Jada",JR-3,UMass Amherst,13.41,New England Outdoor Championship - NEICAAA,2019-05-10,3.2,100H,M
56,"Brooks, Kieshonna",JR-3,Ole Miss,13.43,LSU Invitational,2019-04-27,3.9,100H,M
56,"Warden, Courtney",SR-4,Stony Brook,13.43,Army West Point Twilight,2019-05-09,2.1,100H,M
58,"Bailey, Kennedy",SO-2,Baylor,13.44,2019 92nd Clyde Littlefield Texas Relays,2019-03-27,3.2,100H,M
58,"Miller, Ashley",SR-4,Florida State,13.44,ACC Championships,2019-05-09,2.0,100H,M
58,"Alexander, Kayla",FR-1,Louisville,13.44,Louisville Invitational,2019-04-12,1.2,100H,M
