,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE,EVENT,GENDER
96,"Covington, Mikieja",FR-1,North Carolina St.,4983,ACC Championships,2019-05-09,Hep,M
97,"Purcell, Hope",FR-1,Indiana,4969,Big Ten Championships,2019-05-10,Hep,M
98,"Wakefield, Isabel",FR-1,Duke,4967,2019 92nd Clyde Littlefield Texas Relays,2019-03-27,Hep,M
99,"Sullivan, Kelsey",SR-4,Wisconsin,4966,Big Ten Championships,2019-05-10,Hep,M
100,"Stith, Bria",JR-3,East Carolina,4956,The American Outdoor Track & Field Championships,2019-05-10,Hep,M
1,"Williams, Kendell",FR-1,Georgia,6018,Georgia Bulldog Decathlon/Heptathlon,2014-04-10,Hep,M
2,"Spenner, Sami",SR-4,Nebraska-Omaha,6003,Mt. SAC Relays/CA Invitational Multi Events,2014-04-16,Hep,M
3,"Vollmer, Lindsay",JR-3,Kansas,5786,Big 12 Outdoor Track and Field Championships,2014-05-16,Hep,M
4,"Oudenaarden, Nicole",SO-2,San Diego St.,5721,Mt. SAC Relays/CA Invitational Multi Events,2014-04-16,Hep,M
5,"Sadeiko, Grete",FR-1,Florida State,5706,ACC Outdoor Track & Field Championships,2014-04-17,Hep,M
6,"Stewart, Shanice",JR-3,Texas Tech,5674,Big 12 Outdoor Track and Field Championships,2014-05-16,Hep,M
7,"Chapman, Quintunya",JR-3,Georgia,5659,Georgia Bulldog Decathlon/Heptathlon,2014-04-10,Hep,M
8,"Reaser, Allison",SR-4,San Diego St.,5637,Mt. SAC Relays/CA Invitational Multi Events,2014-04-16,Hep,M
9,"Barwise, Allison",SR-4,Boston U.,5628,Patriot League Outdoor Track & Field Championships,2014-05-02,Hep,M
10,"Howell, Brittney",SR-4,Penn State,5625,2014 Clyde Littlefield Texas Relays,2014-03-26,Hep,M
11,"Harrell, Brittany",JR-3,Florida,5620,2014 Clyde Littlefield Texas Relays,2014-03-26,Hep,M
12,"Pearson, Jallycia",JR-3,UTEP,5576,Conference USA Outdoor Track & Field Championships,2014-05-15,Hep,M
13,"Chauchard, Sarah",SR-4,Eastern Michigan,5574,Mid-American Outdoor Track & Field Championships,2014-05-15,Hep,M
14,"Knodle , Paige",JR-3,Northern Iowa,5564,2014 MVC Outdoor Track & Field Championships,2014-05-16,Hep,M
15,"Hall, Lindsey",SR-4,Montana,5550,Mt. SAC Relays/CA Invitational Multi Events,2014-04-16,Hep,M
15,"Hawkins, Chari",JR-3,Utah State,5550,Mt. SAC Relays/CA Invitational Multi Events,2014-04-16,Hep,M
17,"Cvitanovic, Lucija",SO-2,SMU,5534,The American Outdoor Track & Field Championships,2014-05-02,Hep,M
18,"Rahn, Xenia",JR-3,North Carolina,5523,2014 Clyde Littlefield Texas Relays,2014-03-26,Hep,M
19,"Gochenour, Alex",SO-2,Arkansas,5522,2014 Clyde Littlefield Texas Relays,2014-03-26,Hep,M
20,"Martin, Anne",SR-4,Nebraska,5521,Mt. SAC Relays/CA Invitational Multi Events,2014-04-16,Hep,M
21,"Herauf, Jess",SO-2,Minnesota,5490,Big Ten Outdoor Track & Field Championships,2014-05-16,Hep,M
22,"Hemann, Jena",JR-3,Texas A&M,5471,SEC Outdoor Championship,2014-05-15,Hep,M
23,"Springall, Shaye",SR-4,Southern Utah,5454,UCR Spring Break Invitational,2014-03-27,Hep,M
24,"Howell, Aaron",FR-1,Michigan,5416,Mt. SAC Relays/CA Invitational Multi Events,2014-04-16,Hep,M
25,"Walker, Alexis",JR-3,UCLA,5409,Mt. SAC Relays/CA Invitational Multi Events,2014-04-16,Hep,M
26,"Ellenwood, Georgia",FR-1,Wisconsin,5400,Georgia Bulldog Decathlon/Heptathlon,2014-04-10,Hep,M
27,"Dameus, Clairwin",SO-2,Tennessee St.,5399,2014 OVC Outdoor T&F Championships,2014-05-02,Hep,M
28,"McCutchen, Carley",SR-4,Montana State,5391,Big Sky Conference Outdoor Track & Field Championships,2014-05-14,Hep,M
29,"Nall, Mary",SR-4,Mississippi,5390,SEC Outdoor Championship,2014-05-15,Hep,M
30,"Jones, Noelle",SR-4,South Alabama,5381,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,Hep,M
31,"Mbeng, Merryl",SR-4,Kansas State,5379,Big 12 Outdoor Track and Field Championships,2014-05-16,Hep,M
32,"Iuel, Amalie",FR-1,USC,5378,PAC-12 Outdoor Track and Field Championships,2014-05-10,Hep,M
33,"Kemp, Tory",SO-2,North Carolina,5366,Virginia Challenge,2014-05-09,Hep,M
34,"Bikanova, Saija",SO-2,Connecticut,5352,2014 ECAC-IC4A Outdoor Championships,2014-05-16,Hep,M
35,"Siuciak, Emma",JR-3,Buffalo,5347,Mid-American Outdoor Track & Field Championships,2014-05-15,Hep,M
36,"Thompson, Alyssa",FR-1,Wake Forest,5343,ACC Outdoor Track & Field Championships,2014-04-17,Hep,M
37,"Johonnot, Karli",SO-2,Duke,5342,2014 Clyde Littlefield Texas Relays,2014-03-26,Hep,M
38,"Twiss, Erica",SR-4,Kansas State,5340,Sam Adams Multi Events,2014-04-05,Hep,M
39,"Maslowski, Teddi",SO-2,Duke,5335,Virginia Challenge,2014-05-09,Hep,M
40,"Brooks-Johnson, Alissa",FR-1,Washington St.,5325,PAC-12 Outdoor Track and Field Championships,2014-05-10,Hep,M
40,"Briscoe, Shanay",SR-4,Texas,5325,Big 12 Outdoor Track and Field Championships,2014-05-16,Hep,M
42,"Astor, Brooke",SR-4,Lehigh,5324,Mt. SAC Relays/CA Invitational Multi Events,2014-04-16,Hep,M
43,"Passalaqua, Amber",SR-4,Arizona,5313,PAC-12 Outdoor Track and Field Championships,2014-05-10,Hep,M
44,"Hixon, Leah",SR-4,South Alabama,5295,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,Hep,M
45,"Kolmer, Sarah",JR-3,Kansas State,5289,Big 12 Outdoor Track and Field Championships,2014-05-16,Hep,M
46,"Larch-Miller, Nikki",SO-2,Wichita State,5281,KT Woodman Classic,2014-04-09,Hep,M
47,"Whitson, Morgan",JR-3,Missouri,5273,Mt. SAC Relays/CA Invitational Multi Events,2014-04-16,Hep,M
48,"St. Clair, Brittany",SR-4,Vermont,5272,2014 ECAC-IC4A Outdoor Championships,2014-05-16,Hep,M
49,"Borman, Breanne",FR-1,Wichita State,5269,Oregon Relays,2014-04-17,Hep,M
50,"Mann, Jenna",SR-4,Wyoming,5255,Mountain West Outdoor Track & Field Championships,2014-05-14,Hep,M
51,"Graham, Sarah",SO-2,South Carolina,5254,SEC Outdoor Championship,2014-05-15,Hep,M
52,"Chambers, Daphne",SO-2,Oregon,5251,Oregon Relays,2014-04-17,Hep,M
53,"Torres, Abrianna",SO-2,Colorado,5241,Mt. SAC Relays/CA Invitational Multi Events,2014-04-16,Hep,M
54,"Brown, Leigha",FR-1,Arkansas,5239,SEC Outdoor Championship,2014-05-15,Hep,M
55,"Barnes, Joslyn",JR-3,Kansas State,5232,Big 12 Outdoor Track and Field Championships,2014-05-16,Hep,M
