,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE,EVENT,GENDER
1,"Jones, Akela",SR-4,Kansas State,6307,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
2,"Bougard, Erica",SR-4,Miss State,6170,SEC Championships,2016-05-12,Hep,M
3,"Iuel, Amalie",JR-3,USC,6011,Pac-12 Combined Events Championships,2016-05-07,Hep,M
4,"Brooks, Taliyah",SO-2,Arkansas,5991,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
5,"Stumbaugh, Payton",SO-2,Arkansas,5985,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
6,"Kunz, Annie",SR-4,Texas A&M,5976,SEC Championships,2016-05-12,Hep,M
7,"Williams, Kendell",JR-3,Georgia,5957,Bulldog Decathlon-Heptathlon,2016-04-06,Hep,M
8,"Lehman, Jess",SR-4,Minnesota,5917,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
9,"Ellenwood, Georgia",JR-3,Wisconsin,5914,Bulldog Decathlon-Heptathlon,2016-04-06,Hep,M
10,"Gochenour, Alex",SR-4,Arkansas,5833,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
11,"Zamzow, Ashtin",SO-2,Texas,5829,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
12,"Farrington, Melissa-Maree",JR-3,Florida State,5735,ACC Championships,2016-05-13,Hep,M
13,"Dameus, Clairwin",SR-4,Tennessee St.,5729,Bulldog Decathlon-Heptathlon,2016-04-06,Hep,M
14,"Knodle , Paige",SR-4,Northern Iowa,5680,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
15,"Sadeiko, Grete",JR-3,Florida State,5676,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
16,"Brown, Leigha",JR-3,Arkansas,5647,SEC Championships,2016-05-12,Hep,M
17,"Siefring, Jaclyn",SO-2,Akron,5627,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
18,"Mokrasova, Lucia",SO-2,UTEP,5615,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
19,"Cvitanovic, Lucija",SR-4,SMU,5611,The American Outdoor Track & Field Championships,2016-05-12,Hep,M
20,"Dadzie, Elizabeth",JR-3,Mid. Tenn. State,5599,Conference USA Championship,2016-05-12,Hep,M
21,"Loeffel, Carly",SR-4,Notre Dame,5594,ACC Championships,2016-05-13,Hep,M
22,"Thompson, Alyssa",JR-3,Arizona,5580,Pac-12 Combined Events Championships,2016-05-07,Hep,M
23,"Maslowski, Teddi",SR-4,Duke,5569,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
23,"Cooks, Riley",JR-3,Long Beach St.,5569,UC Riverside Spring Break Invitational,2016-03-24,Hep,M
25,"Harper, Liz",JR-3,Washington St.,5564,Pac-12 Combined Events Championships,2016-05-07,Hep,M
26,"Green, Jessica",SR-4,Colorado St.,5552,Mountain West Championships,2016-05-11,Hep,M
27,"McLeod, Erika",SO-2,Montana,5541,Big Sky Outdoor Track & Field Championships,2016-05-11,Hep,M
28,"Howell, Aaron",SO-2,Michigan,5538,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Hep,M
29,"Hansen, Madison",SR-4,Harvard,5530,Ivy League Outdoor Track & Field Championships,2016-05-07,Hep,M
30,"Torres, Abrianna",SR-4,Colorado,5528,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
31,"Wadden, Nicole",JR-3,Nevada,5508,Mountain West Championships,2016-05-11,Hep,M
32,"Herman, Kelsey",FR-1,Arkansas,5495,SEC Championships,2016-05-12,Hep,M
33,"Thorsås, Frida",SO-2,Florida Atlantic,5484,Conference USA Championship,2016-05-12,Hep,M
34,"Thompson, Natalie",SR-4,Texas Tech,5471,Big 12 Outdoor Track & Field Championships,2016-05-13,Hep,M
35,"Yetter, Gavyn",JR-3,Wichita State,5447,Shirley Crowe Combined Events,2016-03-15,Hep,M
36,"Gustafson, Kendall",SO-2,UCLA,5442,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
37,"Morgan, Taylor",SR-4,Princeton,5427,Ivy League Outdoor Track & Field Championships,2016-05-07,Hep,M
38,"Graham, Sarah",SR-4,South Carolina,5423,Bulldog Decathlon-Heptathlon,2016-04-06,Hep,M
39,"Bowe, Samantha",SR-4,New Mexico,5349,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
39,"Borman, Breanne",JR-3,Wichita State,5349,2016 MVC Outdoor Track and Field Championships,2016-05-13,Hep,M
41,"Hinton, Kaylee",FR-1,Texas Tech,5348,Kansas Relays,2016-04-20,Hep,M
41,"Conley, Janel",JR-3,Rhode Island,5348,NEICAAA Outdoor Track & Field Championships,2016-05-13,Hep,M
43,"Hankenson, Holly",FR-1,Louisville,5333,Lenny Lyles-Clark Wood Invitational,2016-04-21,Hep,M
44,"Wade, Peyton",SO-2,Maryland,5324,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Hep,M
45,"Bartosch, Nicole",JR-3,Sacred Heart,5286,NEICAAA Outdoor Track & Field Championships,2016-05-13,Hep,M
46,"Lopes, Lyndsey",FR-1,USC,5277,Pac-12 Combined Events Championships,2016-05-07,Hep,M
47,"Kaufmann, Madeline",JR-3,Stephen F. Austin,5272,Southland Conference Outdoor Track & Field Championships,2016-05-06,Hep,M
48,"Jackson, Rose",JR-3,North Dakota State,5269,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
49,"Rider, Danielle",SR-4,Montana State,5267,Big Sky Outdoor Track & Field Championships,2016-05-11,Hep,M
50,"Bye, Martine",SO-2,Memphis,5254,The American Outdoor Track & Field Championships,2016-05-12,Hep,M
51,"Gray, Jordan",FR-1,Kennesaw State,5240,Virginia Challenge,2016-04-22,Hep,M
52,"Ellis, Kassidy",JR-3,San Diego St.,5238,Mountain West Championships,2016-05-11,Hep,M
53,"Reynolds, Asya",FR-1,Michigan State,5211,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Hep,M
54,"Winter, Audra",JR-3,Minnesota,5203,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Hep,M
55,"Bonds, Tiana",SO-2,Arizona,5200,Pac-12 Combined Events Championships,2016-05-07,Hep,M
56,"Inoussa, Farydah",JR-3,New Orleans,5164,Southland Conference Outdoor Track & Field Championships,2016-05-06,Hep,M
57,"Caines, Marteisha",JR-3,Wichita State,5150,2016 MVC Outdoor Track and Field Championships,2016-05-13,Hep,M
58,"Krause, Kerry",SR-4,Princeton,5143,Ivy League Outdoor Track & Field Championships,2016-05-07,Hep,M
59,"Mutter, Linda",SO-2,Louisville,5133,Lenny Lyles-Clark Wood Invitational,2016-04-21,Hep,M
60,"Fleming, Tayler",SO-2,UC Riverside,5124,2016 Big West Multi-Championship,2016-05-06,Hep,M
61,"Holmberg, Madeline",FR-1,Penn State,5118,Big Ten Conference Outdoor Track & Field Championships,2016-05-13,Hep,M
62,"Bender, Hope",FR-1,UC Santa Barbara,5114,2016 Big West Multi-Championship,2016-05-06,Hep,M
63,"Morrison, Allison",SR-4,Harvard,5104,Ivy League Outdoor Track & Field Championships,2016-05-07,Hep,M
64,"Franco, Monica",SR-4,Colorado St.,5095,Mountain West Championships,2016-05-11,Hep,M
65,"Neal, Maya",FR-1,Tennessee,5091,SEC Championships,2016-05-12,Hep,M
66,"Lord, Courtney",SO-2,Sam Houston St.,5081,2016 Skechers Carl Kight Invitational,2016-04-08,Hep,M
67,"Hector, Keiko",SR-4,Rhode Island,5080,Atlantic 10 Championships,2016-05-07,Hep,M
68,"Bikanova, Saija",SR-4,Connecticut,5077,Penn Relays - Combined Events,2016-04-26,Hep,M
69,"Usgaard, Tori",JR-3,UC Santa Barbara,5075,2016 Big West Multi-Championship,2016-05-06,Hep,M
70,"Merkley, Erin",SR-4,BYU,5068,2016 BYU Robison Invitational,2016-04-21,Hep,M
70,"Kemp, Tory",JR-3,North Carolina,5068,ACC Championships,2016-05-13,Hep,M
72,"Thompson, Samone",JR-3,Arkansas State,5067,Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,Hep,M
73,"Lewis, Brittany",SR-4,Colorado St.,5065,Jim Click Shootout,2016-04-09,Hep,M
74,"Sullivan, Kelsey",SO-2,Northeastern,5063,NEICAAA Outdoor Track & Field Championships,2016-05-13,Hep,M
75,"Doffeny, Jourdan",JR-3,Northern Illinois,5061,Mid-American Conference Championship,2016-05-12,Hep,M
76,"Dixon, Emily",SO-2,Elon,5059,CAA Outdoor Track and Field Championships,2016-05-06,Hep,M
77,"Burns, Shaina",SO-2,Texas A&M,5056,SEC Championships,2016-05-12,Hep,M
77,"Jackson, Erika",SR-4,Liberty,5056,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
79,"Deveau, Bridget",SO-2,UMass Amherst,5048,Atlantic 10 Championships,2016-05-07,Hep,M
80,"Zamzow, Avery",SO-2,Sam Houston St.,5045,Southland Conference Outdoor Track & Field Championships,2016-05-06,Hep,M
81,"Cannigan, Shanice",SO-2,South Dakota,5035,2016 Nike Clyde Littlefield Texas Relays,2016-03-30,Hep,M
82,"Beckman, Alex",SR-4,Minnesota,5034,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,Hep,M
83,"Peth, Rachel",SR-4,Northern Iowa,5029,2016 MVC Outdoor Track and Field Championships,2016-05-13,Hep,M
83,"Frantz, Allison",SO-2,Dartmouth,5029,Ivy League Outdoor Track & Field Championships,2016-05-07,Hep,M
85,"Storm, Kaci",JR-3,Iowa State,5027,Big 12 Outdoor Track & Field Championships,2016-05-13,Hep,M
86,"Abdullah-Muhammad, Qetuwrah",SO-2,Mid. Tenn. State,5026,Conference USA Championship,2016-05-12,Hep,M
87,"Whigham, Emma",FR-1,Iowa State,5019,Jim Click Shootout,2016-04-09,Hep,M
88,"Stephens, Makayla",SO-2,Oklahoma,5017,Big 12 Outdoor Track & Field Championships,2016-05-13,Hep,M
89,"Cuckler, Chanda",SR-4,Ohio,5012,Mid-American Conference Championship,2016-05-12,Hep,M
90,"Sper, Karsen",SR-4,San Diego St.,5011,Mountain West Championships,2016-05-11,Hep,M
91,"Ghaffar, Aminah",JR-3,East Carolina,5006,The American Outdoor Track & Field Championships,2016-05-12,Hep,M
92,"Collins, Amy",JR-3,Wake Forest,5001,ACC Championships,2016-05-13,Hep,M
93,"Kerrison, Stefani",FR-1,Miami,4995,ACC Championships,2016-05-13,Hep,M
94,"Fusilier, Jasmin",SR-4,UL-Lafayette,4986,Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,Hep,M
95,"Goodale, Sarah",JR-3,Vanderbilt,4979,SEC Championships,2016-05-12,Hep,M
96,"Garman, Maria",FR-1,Dartmouth,4978,Ivy League Outdoor Track & Field Championships,2016-05-07,Hep,M
97,"Folsom, Halley",FR-1,BYU,4966,2016 BYU Cougar Invitational,2016-05-12,Hep,M
98,"Rojo, Claudia",FR-1,Wichita State,4965,Shirley Crowe Combined Events,2016-03-15,Hep,M
99,"Smith, C.J.",SR-4,Washington,4961,Pac-12 Combined Events Championships,2016-05-07,Hep,M
100,"Fray, Bejai",SO-2,FIU,4941,Conference USA Championship,2016-05-12,Hep,M
1,"Williams, Kendell",SR-4,Georgia,6354,Spec Towns Invitational,2017-04-07,Hep,M
2,"Brooks, Taliyah",JR-3,Arkansas,6099,SEC Outdoor Track & Field Championships,2017-05-11,Hep,M
3,"Stumbaugh, Payton",JR-3,Arkansas,6023,SEC Outdoor Track & Field Championships,2017-05-11,Hep,M
4,"Schultz, Nina",FR-1,Kansas State,6021,Jim Click Shootout,2017-04-08,Hep,M
5,"Hinton, Kaylee",SO-2,Texas Tech,5869,Big 12 Outdoor Track & Field Championships,2017-05-12,Hep,M
6,"Brown, Leigha",SR-4,Arkansas,5852,SEC Outdoor Track & Field Championships,2017-05-11,Hep,M
7,"Dadzie, Elizabeth",SR-4,Mid. Tenn. State,5832,2017 Conference USA Outdoor Track & Field Championship,2017-05-11,Hep,M
8,"Herman, Kelsey",SO-2,Arkansas,5820,SEC Outdoor Track & Field Championships,2017-05-11,Hep,M
9,"Siefring, Jaclyn",JR-3,Akron,5750,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Hep,M
10,"Wadden, Nicole",SR-4,Nevada,5697,2017 90th Clyde Littlefield Texas Relays,2017-03-29,Hep,M
11,"Farrington, Melissa-Maree",SR-4,Florida State,5692,ACC Outdoor Track & Field Championships,2017-05-12,Hep,M
12,"Cooks, Riley",SR-4,Long Beach St.,5671,2017 Big West Multi Championships,2017-05-05,Hep,M
12,"Mokrasova, Lucia",JR-3,UTEP,5671,2017 90th Clyde Littlefield Texas Relays,2017-03-29,Hep,M
14,"Gray, Jordan",SO-2,Kennesaw State,5641,ASUN Outdoor Track & Field Championships,2017-05-12,Hep,M
15,"Borman, Breanne",SR-4,Wichita State,5640,2017 MVC Outdoor Track and Field Championships,2017-05-12,Hep,M
16,"Brooks-Johnson, Alissa",JR-3,Washington St.,5638,2017 Pac-12 Combined Events Championships,2017-05-06,Hep,M
17,"Holmberg, Madeline",SO-2,Penn State,5636,Virginia Challenge,2017-04-21,Hep,M
18,"Grauvogel, Louisa",FR-1,Georgia,5616,Spec Towns Invitational,2017-04-07,Hep,M
19,"Pfeiffer, Jenna",SR-4,Baylor,5584,Big 12 Outdoor Track & Field Championships,2017-05-12,Hep,M
20,"Hankenson, Holly",SO-2,Louisville,5556,2017 90th Clyde Littlefield Texas Relays,2017-03-29,Hep,M
21,"Yetter, Gavyn",SR-4,Wichita State,5553,2017 MVC Outdoor Track and Field Championships,2017-05-12,Hep,M
22,"Hallock, Kara",SR-4,Oregon State,5551,2017 Pac-12 Combined Events Championships,2017-05-06,Hep,M
22,"Larch-Miller, Nikki",SR-4,Wichita State,5551,Wichita State KT Woodman Heptathlon/Decathlon,2017-04-11,Hep,M
22,"Usgaard, Tori",SR-4,UC Santa Barbara,5551,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Hep,M
25,"Jackson, Rose",SR-4,North Dakota State,5540,UC Riverside Spring Track Classic,2017-03-23,Hep,M
26,"Clemens, Stella",SO-2,UNLV,5451,Mountain West Outdoor Track & Field Championships,2017-05-10,Hep,M
27,"Hughes, Zoe",FR-1,Harvard,5444,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Hep,M
28,"Neal, Maya",SO-2,Tennessee,5443,SEC Outdoor Track & Field Championships,2017-05-11,Hep,M
29,"Chenault, Christina",SO-2,UCLA,5438,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Hep,M
29,"Kelly, Brittany",SO-2,LSU,5438,SEC Outdoor Track & Field Championships,2017-05-11,Hep,M
31,"Thorss, Frida",JR-3,Florida Atlantic,5425,Miami Hurricane Alumni Invitational,2017-04-07,Hep,M
32,"Harper, Liz",SR-4,Washington St.,5420,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Hep,M
33,"Conley, Janel",SR-4,Rhode Island,5407,Holy Cross Multi-Event Meet 2017,2017-04-19,Hep,M
34,"Lemmons, Jaida",SO-2,Duke,5397,ACC Outdoor Track & Field Championships,2017-05-12,Hep,M
35,"Collins, Amy",SR-4,Wake Forest,5387,ACC Outdoor Track & Field Championships,2017-05-12,Hep,M
36,"Berge, Emile",FR-1,South Alabama,5382,Sun Belt Outdoor Track and Field Championships,2017-05-12,Hep,M
37,"Lopes, Lyndsey",SO-2,USC,5371,2017 Pac-12 Combined Events Championships,2017-05-06,Hep,M
38,"Howell, Aaron",JR-3,Michigan,5359,Big Ten Outdoor Championships,2017-05-12,Hep,M
39,"Burns, Shaina",JR-3,Texas A&M,5356,SEC Outdoor Track & Field Championships,2017-05-11,Hep,M
40,"Ortega, Patricia",SR-4,Akron,5352,Mid-American Outdoor Track & Field Championships,2017-05-11,Hep,M
41,"Goodale, Sarah",SR-4,Vanderbilt,5337,SEC Outdoor Track & Field Championships,2017-05-11,Hep,M
42,"Mattson, Jestena",SO-2,Fresno State,5333,Mountain West Outdoor Track & Field Championships,2017-05-10,Hep,M
43,"Wade, Peyton",JR-3,Maryland,5323,Big Ten Outdoor Championships,2017-05-12,Hep,M
44,"Venzon, Elizabeth",SR-4,Sacramento St.,5322,2017 Big Sky Outdoor Track & Field Championships,2017-05-10,Hep,M
45,"Levin, Amanda",JR-3,North Dakota State,5321,The Summit League Outdoor Track & Field Championships,2017-05-11,Hep,M
46,"Sullivan, Holly",JR-3,Virginia,5317,ACC Outdoor Track & Field Championships,2017-05-12,Hep,M
47,"Reynolds, Asya",SO-2,Michigan State,5314,Big Ten Outdoor Championships,2017-05-12,Hep,M
48,"Huggins, Dallyssa",FR-1,Maryland,5307,Big Ten Outdoor Championships,2017-05-12,Hep,M
49,"Lane, Vanessa",JR-3,South Dakota St.,5300,The Summit League Outdoor Track & Field Championships,2017-05-11,Hep,M
50,"Paul, Carly",SO-2,Brown,5296,Ivy League Outdoor Track & Field Championships,2017-05-06,Hep,M
51,"Caines, Martiesha",SR-4,Wichita State,5295,2017 MVC Outdoor Track and Field Championships,2017-05-12,Hep,M
52,"Moore, Ashlee",SO-2,Arkansas,5293,SEC Outdoor Track & Field Championships,2017-05-11,Hep,M
53,"Felix, Monique",SO-2,Marquette,5287,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Hep,M
54,"Mohns, Kyra",JR-3,New Mexico,5280,Mountain West Outdoor Track & Field Championships,2017-05-10,Hep,M
55,"Fitzgerald, Emma",FR-1,Wisconsin,5255,Big Ten Outdoor Championships,2017-05-12,Hep,M
56,"Okorie, Ariel",FR-1,Kansas State,5251,Big 12 Outdoor Track & Field Championships,2017-05-12,Hep,M
57,"Doffeny, Jourdan",SR-4,Northern Illinois,5240,2017 90th Clyde Littlefield Texas Relays,2017-03-29,Hep,M
58,"Whigham, Emma",SO-2,Iowa State,5239,Big 12 Outdoor Track & Field Championships,2017-05-12,Hep,M
59,"Childs, Jade",SR-4,San Jose St.,5236,Mountain West Outdoor Track & Field Championships,2017-05-10,Hep,M
60,"Stephens, Makayla",JR-3,Oklahoma,5231,Big 12 Outdoor Track & Field Championships,2017-05-12,Hep,M
61,"Bartosch, Nicole",SR-4,Sacred Heart,5226,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Hep,M
62,"Gustafson, Kendall",JR-3,UCLA,5217,2017 Pac-12 Combined Events Championships,2017-05-06,Hep,M
62,"Fray, BeJai",JR-3,Bowling Green,5217,Mid-American Outdoor Track & Field Championships,2017-05-11,Hep,M
64,"Dunderdale, Hannah",JR-3,Arkansas State,5213,Sun Belt Outdoor Track and Field Championships,2017-05-12,Hep,M
65,"Bender, Hope",SO-2,UC Santa Barbara,5212,Mt. SAC Relays/CA Invitational Multi Events,2017-04-12,Hep,M
66,"Seawater-Simmons, Tria",SO-2,Iowa,5205,Big Ten Outdoor Championships,2017-05-12,Hep,M
