,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
19,Ohio State (A),3:04.38,"Page, Johnson, Burke, Marshall",Florida Relays,2017-03-30,4x400,M
21,Florida (D),3:04.54,"Uruburu, Fasasi, Holmes, Holloway",UF Tom Jones Memorial,2017-04-28,4x400,M
22,Baylor (M),3:04.60,"Willis, London, Platt, Caddick",Big 12 Outdoor Track & Field Championships,2017-05-12,4x400,M
23,Texas A&M (C),3:04.63,"Rose, Izu, Age, Kerley",Roadrunner Invitational,2017-03-23,4x400,M
24,Ohio State (D),3:04.95,"Burke, Gray, Marshall, Page",Big Ten Outdoor Championships,2017-05-12,4x400,M
25,Baylor (D),3:04.98,"Willis, London, Curran, Caddick",Michael Johnson Invitational,2017-04-22,4x400,M
26,Georgia (B),3:05.13,"Glover, Evans, Hampton, Freeman",SEC Outdoor Track & Field Championships,2017-05-11,4x400,M
27,Miss State (B),3:05.14,"Taylor, James, Waters, Tatham",Florida Relays,2017-03-30,4x400,M
28,Texas A&M (P),3:05.16,"Izu, Grant, Rose, Kerley",Michael Johnson Invitational,2017-04-22,4x400,M
29,Penn State (B),3:05.22,"Chisena, Smith, Mathis, Harris",Big Ten Outdoor Championships,2017-05-12,4x400,M
30,Texas Tech (H),3:05.40,"Champlin, Collins, Hudson, Crisp",Big 12 Outdoor Track & Field Championships,2017-05-12,4x400,M
31,Texas (E),3:05.59,"Anumnu, Bailey Jr., Givans, Robinson",LSU Alumni Gold,2017-04-22,4x400,M
32,Tennessee (C),3:05.61,"Strother, Coleman, Elion, Cogdell",Tennessee Relays,2017-04-06,4x400,M
33,Purdue (D),3:05.65,"Rolle, Webb, Ikpefan, McLaren",Big Ten Outdoor Championships,2017-05-12,4x400,M
34,Texas A&M (A),3:05.72,"Rose, Age, Morrow, Dixon",Baldy Castillo Invitational,2017-03-17,4x400,M
35,Iowa (K),3:05.81,"Hofacker, Harris, Ogwo, Frye",Mt. SAC Relays,2017-04-13,4x400,M
36,Utah State (C),3:05.97@,"Gordon, Martin, Bluth, Boully",Mountain West Outdoor Track & Field Championships,2017-05-10,4x400,M
37,TCU (A),3:06.00,"McClanahan, Flowers, Andrews, Mokaleng",2017 Horned Frog Invitational,2017-04-15,4x400,M
38,Nebraska (L),3:06.18,"Neal, Mohammed, Bransby, Bender",Big Ten Outdoor Championships,2017-05-12,4x400,M
38,Texas Tech (F),3:06.18,"Collins, Jones, Crisp, Stephenson",2017 Horned Frog Invitational,2017-04-15,4x400,M
40,Iowa (A),3:06.28,"Hofacker, Harris, Ogwo, Mallett",Baldy Castillo Invitational,2017-03-17,4x400,M
41,UTEP (A),3:06.35,"Alcazar, Bias, Guevara, Horn",Jim Bush Collegiate Invitational,2017-04-15,4x400,M
42,Air Force (H),3:06.36@,"Walden, White, Koss, Trimble",Mountain West Outdoor Track & Field Championships,2017-05-10,4x400,M
43,Virginia Tech (L),3:06.40,"Chiles, Thomas, Piazza, Davenport",ACC Outdoor Track & Field Championships,2017-05-12,4x400,M
44,Pittsburgh (F),3:06.41,"Slay, Murray, Watson, Palmer",ACC Outdoor Track & Field Championships,2017-05-12,4x400,M
45,USC (A),3:06.49,"Morgan Jr, Morris, Rohani, Thymes",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x400,M
46,TCU (B),3:06.55,"McClanahan, Andrews, Champlin, Mokaleng",Big 12 Outdoor Track & Field Championships,2017-05-12,4x400,M
47,Tennessee (F),3:06.66,"Strother, Coleman, Williams, Cogdell",SEC Outdoor Track & Field Championships,2017-05-11,4x400,M
48,Arizona (C),3:06.69,"Houston, Parish, Demby, Washington",Jim Click Shootout,2017-04-08,4x400,M
49,Western Kentucky (C),3:06.95@,"Sears, Morris, Minor, Dasor",2017 Conference USA Outdoor Track & Field Championship,2017-05-11,4x400,M
49,Miss State (D),3:06.95,"Smith, Waters, James, Taylor",SEC Relays,2017-04-28,4x400,M
51,Auburn (D),3:06.99,"Bloomfield, Henderson, Ceneus, Allen",War Eagle Invititaional,2017-04-21,4x400,M
52,Nebraska (J),3:07.00@,"Neal, Wiseman, Bransby, Bender",Texas Tech Red Raider Shoot-Out,2017-04-28,4x400,M
53,Arizona State (A),3:07.21,"Polk, Hasson, Wright, Bramwell",Duel In The Desert- ASU vs Arizona,2017-04-28,4x400,M
54,SE Louisiana (G),3:07.25,"Lyons, Bowleg, Colebrook, Riley",2017 90th Clyde Littlefield Texas Relays,2017-03-29,4x400,M
55,Oregon (C),3:07.30,"Chambers, Stone, Ng, Rambert",Mt. SAC Relays,2017-04-13,4x400,M
55,LSU (D),3:07.30,"Bruton, Cherry, Mutanga, Henderson",LSU Alumni Gold,2017-04-22,4x400,M
57,N. Carolina A&T (C),3:07.32,"Hamilton, Claggett, Reams, Harding",MEAC Outdoor Championships,2017-05-04,4x400,M
58,UTEP (D),3:07.38@,"Bias, Guevara, Ortega, Korir",2017 Conference USA Outdoor Track & Field Championship,2017-05-11,4x400,M
59,USC (E),3:07.65,"Morgan Jr, Morris, Rohani, Norman",Pac-12 Championships,2017-05-13,4x400,M
60,Iowa State (C),3:07.69,"Roomes, Kelly, Jones, Dennison",Big 12 Outdoor Track & Field Championships,2017-05-12,4x400,M
60,Florida State (C),3:07.69,"Fearrington, Lane, Rhoden, Simpkins",ACC Outdoor Track & Field Championships,2017-05-12,4x400,M
62,Florida State (F),3:07.91,"Fearrington, Lane, Burton, Simpkins",UF Tom Jones Memorial,2017-04-28,4x400,M
63,Clemson (J),3:08.02,"Lamb, Lewis, Jackson, Cheeks",Penn Relays,2017-04-27,4x400,M
63,North Carolina (B),3:08.02,"Cachon, Selmon, Donyinah, Alowonle",Tennessee Relays,2017-04-06,4x400,M
65,Penn State (C),3:08.09,"Chisena, Smith, Mathis, Reiser",Penn Relays,2017-04-27,4x400,M
66,Kansas (K),3:08.13,"Henry, Davis, Livingston, Daniels",Big 12 Outdoor Track & Field Championships,2017-05-12,4x400,M
67,BYU (F),3:08.17@,"Smith, Scheible, Mecham, Tingey",2017 BYU Cougar Invitational,2017-05-12,4x400,M
68,Miss State (A),3:08.18,"Smith, Waters, Tatham, Taylor",2017 Bulldog Relays,2017-03-17,4x400,M
69,TCU (C),3:08.24,"McClanahan, Flowers, Ferguson, Mokaleng",Jim Click Shootout,2017-04-08,4x400,M
70,Nebraska (G),3:08.26,"Neal, Wiseman, Mohammed, Bransby",John Jacobs Invitational,2017-04-21,4x400,M
71,Auburn (A),3:08.41,"Ceneus, Smith, Henderson, Allen",FSU Relays,2017-03-24,4x400,M
72,Washington (D),3:08.42,"Strong, Spano, Thomas, Croson",Pac-12 Championships,2017-05-13,4x400,M
73,Washington (C),3:08.45,"Strong, Thomas, Palmer, Croson",Mt. SAC Relays,2017-04-13,4x400,M
74,Houston (J),3:08.47,"Hall, Mechler, Burke, Jefferson",The American Outdoor Track & Field Championships,2017-05-12,4x400,M
75,Georgia (A),3:08.50,"Glover, Evans, Freeman, Blackman",Gamecock Invitational,2017-04-15,4x400,M
76,Minnesota (C),3:08.51,"Neumann, Wellenstein, Roese, Hechsel",Stanford Cardinal Classic,2017-04-21,4x400,M
77,Virginia (B),3:08.52,"Bowman, Kiley, Dixon, Carrington",ACC Outdoor Track & Field Championships,2017-05-12,4x400,M
77,Western Kentucky (G),3:08.52,"Villaman, Hayden, Hayes, Payne",Lenny Lyles-Clark Wood Invitational,2017-04-28,4x400,M
77,Arkansas (C),3:08.52,"Cotton, Ejiakuekwu, Orange, Stephen",Baylor Invitational,2017-04-08,4x400,M
80,Kansas (D),3:08.53,"Henry, Livingston, Daniels, Hartley",38th Sun Angel Classic,2017-04-06,4x400,M
81,Charlotte (C),3:08.58,"Sweezer, Dula, Keaton, Woodard",Florida Relays,2017-03-30,4x400,M
82,Louisville (B),3:08.60,"Coleman, Allen, Peck, Moore",Lenny Lyles-Clark Wood Invitational,2017-04-28,4x400,M
83,Texas State (C),3:08.72,"Lee, Porter, Umunnakwe, Warren",Sun Belt Outdoor Track and Field Championships,2017-05-12,4x400,M
83,Kansas (H),3:08.72,"Henry, Hartley, Cole, Daniels",Kansas Relays,2017-04-19,4x400,M
83,Tennessee (A),3:08.72,"Cogdell, Elion, Williams, Strother",Tennessee Rust Buster,2017-03-25,4x400,M
86,Virginia Tech (H),3:08.75,"Chiles, Thomas, Baker, Davenport",Penn Relays,2017-04-27,4x400,M
87,Memphis (C),3:08.86,"DeMoss, Gunnarsson, Walker, Norment",The American Outdoor Track & Field Championships,2017-05-12,4x400,M
88,Miami (C),3:08.89,"Brown, Delauze, Mullings, Dodo",Florida Relays,2017-03-30,4x400,M
88,BYU (M),3:08.89@,"Tsumba, Ellis, Leavitt, Heiner",2017 BYU Cougar Invitational,2017-05-12,4x400,M
90,Baylor (K),3:08.93@,"Dickson, Platt, Moore, Curran",Texas Tech Red Raider Shoot-Out,2017-04-28,4x400,M
90,UT-Arlington (F),3:08.93,"Simpson, Moore, Martinsson, Wallace",Sun Belt Outdoor Track and Field Championships,2017-05-12,4x400,M
92,UTSA (C),3:09.00,"Taylor, Sheriff, Loiodice, Jefferson",Mt. SAC Relays,2017-04-13,4x400,M
92,Mid. Tenn. State (F),3:09.00,"Adedamola, Walsh, Umoh, Sanders",Penn Relays,2017-04-27,4x400,M
94,Boise State (A),3:09.04@,"Terpezan, Martinez, Kirby, Fisher",Mountain West Outdoor Track & Field Championships,2017-05-10,4x400,M
95,George Mason (B),3:09.06,"King Jr, Freeman, Benson, Gomez",IC4A/ECAC Outdoor Track & Field Championships,2017-05-12,4x400,M
96,Florida (B),3:09.15,"Uruburu, Rodney, Timpson, Jr, Hill",Florida Relays,2017-03-30,4x400,M
96,Florida (E),3:09.15,"Hill, Clark, Rodney, Timpson, Jr",UF Tom Jones Memorial,2017-04-28,4x400,M
98,UC Irvine (C),3:09.19,"Sicard, Resong, Howard, Jewett",2017 Big West Track & Field Championships,2017-05-12,4x400,M
99,Stephen F. Austin (H),3:09.20,"Fentress, Hawkins, Pittman, Gibson",Mt. SAC Relays,2017-04-13,4x400,M
100,Air Force (F),3:09.25,"Walden, Sanders, White, Koss",Rafer/JJK Invitational,2017-04-08,4x400,M
1,Florida (D),3:01.60,"Uruburu, Dukes, Hall, Glass",SEC Championships,2015-05-14,4x400,M
2,LSU (G),3:01.63,"Downing, Grayson, Dunkley, Norwood",SEC Championships,2015-05-14,4x400,M
3,Florida (A),3:01.78,"Uruburu, Dukes, Futch, Glass",Florida Relays,2015-04-02,4x400,M
4,Texas A&M (E),3:02.19,"Coleman, Hart, Hickey, Lendore",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,M
5,LSU (F),3:02.61,"Downing, Dunkley, Norwood, Bush",2015 Penn Relays,2015-04-23,4x400,M
6,LSU (D),3:02.79,"Downing, Bush, Norwood, Grayson",LSU Alumni Gold,2015-04-18,4x400,M
7,South Carolina (K),3:03.13,"Gravesande, Echols, Winfrey, Bermudez",SEC Championships,2015-05-14,4x400,M
8,Texas Tech (B),3:03.47,"Richards III, Collins, Jones, Champlin",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,M
9,North Carolina (C),3:04.06,"Alowonle, Sutton, Lipsey, Ways",UF Tom Jones Memorial,2015-04-24,4x400,M
10,Georgia (D),3:04.37,"Evans, Branch, Jenkins, Calhoun",SEC Championships,2015-05-14,4x400,M
11,North Carolina (D),3:04.55,"Alowonle, Lipsey, Selmon, Ways",ACC Outdoor Track & Field Championships,2015-05-14,4x400,M
12,Alabama (B),3:04.57,"Gayle, Amankwah, Ali, Lahbi",SEC Championships,2015-05-14,4x400,M
13,Miss State (F),3:04.91,"Larry, Hearn, McBride, Taylor",SEC Championships,2015-05-14,4x400,M
14,Baylor (A),3:05.26,"Gary, Harris, Moore, Caddick",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,M
15,Utah State (C),3:05.28,"Bluth, Hunt, Lambourne, Lambourne",Mt. SAC Relays,2015-04-16,4x400,M
16,TCU (A),3:05.40,"Collins, Washington, McClanahan, Baker",UF Tom Jones Memorial,2015-04-24,4x400,M
17,Illinois (C),3:05.63,"Viney, Kendziera, McAsey, Zahn",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,M
18,Alabama (C),3:05.66,"Gayle, Hudson, Ali, Amankwah",Florida Relays,2015-04-02,4x400,M
19,Georgia (C),3:05.73,"Glover, Branch, Calhoun, Jenkins",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,M
20,Oregon (E),3:05.84,"Thiel, Delaney, Hornsby, Chambers",Pac-12 Track & Field Championships,2015-05-15,4x400,M
21,Ohio State (A),3:05.91,"Bruton, Page, Faust, Blanks",Virginia Challenge,2015-04-17,4x400,M
22,Western Kentucky (C),3:05.95,"Redwine, Dasor, Swinton, Sears",Mt. SAC Relays,2015-04-16,4x400,M
23,LSU (B),3:06.18,"Downing, Bush, Dunkley, Grayson",2015 Jim Click Shootout,2015-04-11,4x400,M
24,Clemson (B),3:06.30,"Lamb, Cheeks, Belafonte, Green",Florida Relays,2015-04-02,4x400,M
25,Arizona (C),3:06.35,"Eichler, Lauderdale, Houston, Parish",Pac-12 Track & Field Championships,2015-05-15,4x400,M
26,Nebraska (D),3:06.51,"Gipson, Wiseman, Koroknai, Bender",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,M
27,Texas A&M (C),3:06.67,"Hernandez, Taplin, Lendore, Hernandez",Baldy Castillo Invitational,2015-03-20,4x400,M
28,Miss State (E),3:06.70,"Hearn, Waters, Larry, McBride",Mt. SAC Relays,2015-04-16,4x400,M
29,Morgan State (A),3:06.74,"Hardy, Johnson, Johnson, Roberson",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,4x400,M
30,Baylor (D),3:06.87,"Gary, Moore, Platt, Caddick",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,M
31,Nebraska (E),3:06.92,"Gipson, Wiseman, Pille, Bender",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,M
32,LIU Brooklyn (E),3:06.98,"Petit-Homme, McLean, Rodney, Walker-Khan",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,4x400,M
33,UTEP (C),3:07.03@,"Mitchell, Horn, Bias, Onakoya",Conference USA Outdoor Track & Field Championships,2015-05-14,4x400,M
34,BYU (C),3:07.08@,"Harper, Adams, White, Walker",2015 BYU Robison Invitational,2015-04-22,4x400,M
35,Hampton (F),3:07.22,"Beatty, Ibadin, Johnson, Okezie",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,4x400,M
36,South Carolina (A),3:07.29,"Bermudez, Kanervo, Winfrey, Gravesande",Florida Relays,2015-04-02,4x400,M
37,Miss State (D),3:07.33,"Waters, Rocha, Larry, McBride",Al vs MS Border Clash,2015-04-10,4x400,M
38,Pittsburgh (B),3:07.35,"Palmer, Tate, Taylor, Slay",ACC Outdoor Track & Field Championships,2015-05-14,4x400,M
39,TCU (E),3:07.41,"Collins, Listenbee, Washington, McClanahan",TCU Horned Frog Invite,2015-05-02,4x400,M
40,Notre Dame (A),3:07.50,"Ways, Smith, Groesch, Giesting",Georgia Tech Invitational,2015-04-17,4x400,M
41,Eastern Michigan (D),3:07.53,"Williams, Elam, Bolton, Ervin",Virginia Challenge,2015-04-17,4x400,M
42,Akron (A),3:07.60,"Weems, Gray, Ohiembor, Baldwin",Longhorn Invitational,2015-05-02,4x400,M
43,Texas Tech (G),3:07.75,"McBride, Collins, Jones, Champlin",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,M
44,Stephen F. Austin (I),3:07.82,"Gibson, Hawkins, Taylor, Kerley",Southland Conference Championship,2015-05-08,4x400,M
45,Baylor (E),3:07.84,"Gary, Butler, Duke, Moore",Longhorn Invitational,2015-05-02,4x400,M
46,Ohio State (C),3:07.86,"Bruton, Page, Anderson, Blanks",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,M
47,UTSA (C),3:07.88@,"Shelvin, Robinson, Payne, Hall",Conference USA Outdoor Track & Field Championships,2015-05-14,4x400,M
48,Northwestern St. (A),3:07.91,"Jackson, White, James, Taylor",Southland Conference Championship,2015-05-08,4x400,M
49,UTSA (B),3:08.00,"Robinson, Hayes, Shelvin, Hall",J Fred Duckett-Rice Twilight,2015-04-25,4x400,M
50,Western Kentucky (H),3:08.02@,"Mosely, Swinton, Songore, Dasor",Conference USA Outdoor Track & Field Championships,2015-05-14,4x400,M
51,LIU Brooklyn (D),3:08.08,"Augustin, Petit-Homme, Walker-Khan, Cue",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,M
52,Nebraska (A),3:08.12,"Koroknai, Sanderfer, Bender, Gipson",2015 Arizona State Pac-12 vs Big 10 Invitational,2015-03-27,4x400,M
53,Purdue (A),3:08.19,"Arvia, Ikpefan, Frederick, Parks",Florida Relays,2015-04-02,4x400,M
54,TCU (D),3:08.21,"Collins, Washington, McSwain, McClanahan",Wes Kittley Invitational 2015,2015-04-11,4x400,M
55,Texas Tech (F),3:08.22,"Richards III, Collins, Jones, McBride",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,M
56,Iowa (F),3:08.23,"Wolff, Thompson, Mallett, Davey",Mt. SAC Relays,2015-04-16,4x400,M
57,Virginia (C),3:08.26,"Carrington, Kiley, Brewer, Hazzard",Virginia Challenge,2015-04-17,4x400,M
57,Texas (C),3:08.26,"Robinson, Givans, Irvin, Bilderback",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,M
59,Eastern Michigan (E),3:08.33,"Brown, Bolton, Waynes, Ervin",Ohio State - Jesse Owens Classic,2015-05-01,4x400,M
60,Western Kentucky (G),3:08.36,"Sears, Dasor, Swinton, Mosely",2015 Penn Relays,2015-04-23,4x400,M
61,TCU (B),3:08.42,"Washington, Watts, Collins, Baker",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,M
62,Central Michigan (A),3:08.46,"Holman, Huertas, Dutkiewicz, Vasquez",Ohio State - Jesse Owens Classic,2015-05-01,4x400,M
62,Texas Tech (E),3:08.46,"McBride, Tennon, Collins, Jones",Wes Kittley Invitational 2015,2015-04-11,4x400,M
64,Alabama (D),3:08.47,"Amankwah, Efkamp, Gayle, Lahbi",Al vs MS Border Clash,2015-04-10,4x400,M
65,Stephen F. Austin (B),3:08.51,"Joe, Hawkins, Taylor, Kerley",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,M
66,Kansas (E),3:08.55,"McCuin, Wilson, Daniels, Stigler",John McDonnell Invitational,2015-04-10,4x400,M
67,Morgan State (D),3:08.56,"Reid, Roberson, Johnson, Johnson",MEAC Outdoor T&F Championships,2015-04-30,4x400,M
68,Arkansas (A),3:08.61,"Cotton, Washington, Janise, Stephen",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,M
69,Arkansas (E),3:08.64,"Washington, Lawson, Cotton, Stephen",SEC Championships,2015-05-14,4x400,M
70,Texas State (A),3:08.67,"Hilliard, Johnson, Binder, Porter",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,M
70,Hampton (B),3:08.67,"Beatty, Okezie, Ibadin, Black",2015 Penn Relays,2015-04-23,4x400,M
70,Purdue (D),3:08.67,"Parks, Ikpefan, Rolle, Frederick",2015 Jim Click Shootout,2015-04-11,4x400,M
73,Iowa (G),3:08.76,"Wolff, Mallett, Aly, Davey",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,M
74,Eastern Illinois (G),3:08.84,"Edwards, Dorsey, Williamson, Mohammed",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,M
75,Illinois State (I),3:08.87,"Farley, Hamilton, Lewis, Devonish",EIU Twilight 2015,2015-05-08,4x400,M
75,George Mason (D),3:08.87,"Coburn, Freeman, King Jr, Smalls",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,4x400,M
77,Kent State (A),3:08.88,"Tobin, Dunlap, Young, O'Leary",Tennessee Relays,2015-04-09,4x400,M
78,Army (H),3:08.95,"Spees, Santana, Taylor, Wilson",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,4x400,M
79,Long Beach St. (A),3:08.98,"Perez-Rogers, Glasgow, Lockett, McCloskey",Trojan Invitational,2015-03-20,4x400,M
80,Georgia (A),3:09.10,"Evans, Branch, Glover, Jenkins",Georgia Relays,2015-03-20,4x400,M
80,Stephen F. Austin (A),3:09.10,"Joe, Kerley, Gleason, Taylor",Alabama Relays,2015-03-19,4x400,M
82,Purdue (F),3:09.15,"Ikpefan, Frederick, Parks, Conde",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,M
83,Arkansas (C),3:09.16,"McLeod, Lawson, Janise, Washington",Arkansas Twilight,2015-05-01,4x400,M
84,Duke (D),3:09.21,"Bofinger, Rohner, Wilson, Hawkins",ACC Outdoor Track & Field Championships,2015-05-14,4x400,M
85,Minnesota (D),3:09.23,"Roese, Hechsel, Deng, Fountain",Texas Invitational,2015-04-11,4x400,M
86,Miami (F),3:09.24,"Johnson, Delauze, Ryan, Wolliston",ACC Outdoor Track & Field Championships,2015-05-14,4x400,M
87,BYU (B),3:09.25,"Yardley, Adams, Scheible, Walker",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,M
88,Miss State (A),3:09.33,"Waters, Larry, Taylor, Hearn",Alabama Relays,2015-03-19,4x400,M
89,Central Arkansas (A),3:09.36,"Watson, Ray, Boyd, Tanner",Southland Conference Championship,2015-05-08,4x400,M
90,Indiana (F),3:09.39,"Morgan, Manley, Kuhn, Kinnaird",2015 Billy Hayes Invitational,2015-05-02,4x400,M
90,South Carolina (G),3:09.39,"Bermudez, Chiles, Moore, Keating",Bill Carson Invitational,2015-04-10,4x400,M
92,Michigan State (D),3:09.41,"Whitelow, Sanders, Ehrhardt, Clark",Ohio State - Jesse Owens Classic,2015-05-01,4x400,M
93,North Texas (F),3:09.45@,"Bey, Pryor, Marshall, Heard",Conference USA Outdoor Track & Field Championships,2015-05-14,4x400,M
94,Iowa (D),3:09.46,"Wolff, Thompson, Mallett, Teubel",Florida Relays,2015-04-02,4x400,M
95,UL-Monroe (B),3:09.47,"Cribbs, Sams, Demus, Tate",Sun Belt Outdoor Track and Field Championships,2015-05-08,4x400,M
96,Eastern Michigan (B),3:09.53,"Williams, Elam, Cooke, Ervin",Tennessee Relays,2015-04-09,4x400,M
97,Northern Arizona (B),3:09.56,"al Nasser, Fisher, Jamison, Schneider",Big Sky Conference Outdoor Track & Field Championships,2015-05-13,4x400,M
97,USC (D),3:09.56,"Morgan, Ford, De Grasse, Jackson",Trojan Invitational,2015-03-20,4x400,M
99,Miami (G),3:09.63,"Ryan, Delauze, Cook, Wolliston",UF Tom Jones Memorial,2015-04-24,4x400,M
100,Florida State (C),3:09.66,"Cherry, Moona, Rose, Rhoden",Florida Relays,2015-04-02,4x400,M
1,Texas A&M,3:01.77,"Deadmon, Grant, Johnson, Dixon",SEC Outdoor Track & Field Championships,2019-05-09,4x400,M
2,LSU,3:02.09,"Camel, Mosby, Flournoy, Terry",SEC Outdoor Track & Field Championships,2019-05-09,4x400,M
3,Houston,3:02.61,"Lattin, Holt, Burke, Igbokwe",125th Penn Relays,2019-04-25,4x400,M
4,LSU (B),3:02.88,"Camel, Kibet, Mosby, Terry",Miami Hurricane Alumni Invitational,2019-04-12,4x400,M
5,Iowa,3:03.10,"Lawrence Jr., Woodard, Hofacker, Harris",Florida Relays,2019-03-28,4x400,M
6,Baylor,3:03.17,"Baldridge, Fields III, Moorer, London",Michael Johnson Invitational,2019-04-19,4x400,M
7,Florida,3:03.25,"Hill, Sawyers, Villaman, Holloway",Florida Relays,2019-03-28,4x400,M
8,Texas A&M (B),3:03.30,"Izu, Johnson, Grant, Dixon",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,M
9,South Carolina,3:03.33,"Chance, Hall, Jones, Robbins",Gamecock Invitational Outdoor,2019-04-13,4x400,M
10,Arkansas,3:03.53,"Winn, Woodhall, Brown, Schwartz",SEC Outdoor Track & Field Championships,2019-05-09,4x400,M
11,USC,3:03.54,"Samuel, Allen Jr., Jewett, Shinnick",Mt. SAC Relays,2019-04-18,4x400,M
12,Western Kentucky,3:03.78,"Alexandre, Owusu-Antwi, Warren, Gates",Florida Relays,2019-03-28,4x400,M
13,Rutgers,3:04.27,"Jenkins, Burgess, Pierce, Brown",Florida Relays,2019-03-28,4x400,M
14,Western Kentucky (B),3:04.50,"Kelly, Alexandre, Warren, Owusu-Antwi",Conference USA Outdoor Championships,2019-05-09,4x400,M
15,TCU,3:04.86,"Andrews, Matiyenga, Bender, Mokaleng",Big 12 Outdoor Track and Field Championships,2019-05-10,4x400,M
15,Baylor (B),3:04.86,"Baldridge, London, Dickson, Fields III",The Reveille Meet,2019-04-06,4x400,M
17,Houston (B),3:05.05,"Lattin, Valentine, Lewis, Holt",Mt. SAC Relays,2019-04-18,4x400,M
18,Florida (B),3:05.08,"Lobo Vedel, Johnson, Poole, Holloway",SEC Outdoor Track & Field Championships,2019-05-09,4x400,M
19,N. Carolina A&T,3:05.13,"Sirleaf, Stewart, Hamilton, Dickson",Florida Relays,2019-03-28,4x400,M
20,Florida (C),3:05.31,"Johnson, Sawyers, Villaman, Lobo Vedel",UF Tom Jones Memorial,2019-04-26,4x400,M
21,Ohio State,3:05.42,"Harrison, Gray, Mott, Seward",Florida Relays,2019-03-28,4x400,M
22,Iowa State,3:05.50,"Johnson, Roomes, Kelly, Fogltanz",Big 12 Outdoor Track and Field Championships,2019-05-10,4x400,M
23,Purdue,3:05.58,"Hollis, Colebrooke, Dotson, Faust",Florida Relays,2019-03-28,4x400,M
24,Clemson,3:05.63,"Tolbert, Hewitt, Lewis, Parker",Florida Relays,2019-03-28,4x400,M
25,Iowa (B),3:05.67,"Bartley, Woodard, Lawrence Jr., Harris",Mt. SAC Relays,2019-04-18,4x400,M
26,USC (B),3:05.73,"Samuel, Owens, Green, Jewett",2019 Pac-12 Track & Field Championships,2019-05-04,4x400,M
26,LSU (C),3:05.73,"Camel, Kibet, Hislop, Terry",LSU Battle on the Bayou,2019-04-06,4x400,M
28,TCU (B),3:05.78,"Andrews, Flowers, Matiyenga, Mokaleng",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,M
29,Baylor (C),3:05.83,"Baldridge, Moorer, Dickson, Fields III",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,M
30,Arizona,3:05.98,"Washington, Smith, Sincukovs, Williams",2019 Pac-12 Track & Field Championships,2019-05-04,4x400,M
31,Charlotte,3:06.23,"Menzel, Bass, McCrary, Woodard",Florida Relays,2019-03-28,4x400,M
32,Oregon,3:06.31,"Miller, Harvey, Daniel, Emilien",2019 Pac-12 Track & Field Championships,2019-05-04,4x400,M
33,Maryland,3:06.51,"Robinson, Jones, Miawad, Morris",125th Penn Relays,2019-04-25,4x400,M
34,Texas A&M (C),3:06.65,"Thomas, Ethridge, Tucker, Orange",2019 Baldy Castillo Invitational,2019-03-15,4x400,M
35,Miami (Fla.),3:06.75,"Brown, Moulton, Burns, Fuller",Miami Hurricane Alumni Invitational,2019-04-12,4x400,M
36,Maryland (B),3:06.87,"Robinson, Jones, Rowe, Morris",125th Penn Relays,2019-04-25,4x400,M
37,Texas Tech,3:06.89,"Oduduru, Hudson, Crisp, Grimes",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,M
38,Kansas,3:06.97,"Davis, Fogle, Johnson, Hoppel",Big 12 Outdoor Track and Field Championships,2019-05-10,4x400,M
39,BYU,3:07.08@,"Schaap, Yardley, Ellis, Bluth",2019 BYU Robison Invitational,2019-04-25,4x400,M
40,Ohio State (B),3:07.11,"Cooper, Jeff, James, Johnson",Gamecock Invitational Outdoor,2019-04-13,4x400,M
