,ATHLETE,YEAR,TEAM,TIME,MEET,MEET DATE,EVENT,GENDER
89,"Martinez, Sitia",SO-2,Florida Atlantic,59.57,UF Tom Jones Memorial,2015-04-24,400H,W
90,"Collins, Janieyah",JR-3,East Carolina,59.59,The American Outdoor Track & Field Championships,2015-05-14,400H,W
91,"Stanton, Alexandra",SR-4,Brown,59.62,Ivy League Outdoor Track & Field Championships,2015-05-09,400H,W
92,"Larbi, Ama",SR-4,Georgia Tech,59.64,Florida Relays,2015-04-02,400H,W
93,"Woodford, Emily",SR-4,Cornell,59.66,Ivy League Outdoor Track & Field Championships,2015-05-09,400H,W
94,"Lee-McNeill, Kaulyn",JR-3,UC Irvine,59.69,UCLA Legends Invitational,2015-04-03,400H,W
94,"Hawn, Kiana",FR-1,Baylor,59.69,2015 Clyde Littlefield Texas Relays,2015-03-25,400H,W
94,"Fishnick, Emma",SR-4,Central Michigan,59.69,Toledo Invitational,2015-05-07,400H,W
97,"Millard, Emma",SR-4,Cal St. Northridge,59.73,Northridge Invitational,2015-03-20,400H,W
97,"Todd, Monica",SR-4,Howard,59.73,MEAC Outdoor T&F Championships,2015-04-30,400H,W
99,"Adams, Shani",JR-3,Missouri State,59.74,2015 Drake Relays presented by Hy-Vee,2015-04-22,400H,W
100,"Rolle, Kryshell",JR-3,Nicholls State,59.87,LSU Alumni Gold,2015-04-18,400H,W
