,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
61,"Martin-Sacristan, Ana",SO-2,Akron,6.12m,"20' 1""",Akron Campbell-Wright Invitational,2015-05-08,1.3,LJ,W
61,"LANDRY, Mona",JR-3,North Texas,6.12m,"20' 1""",Bobcat Classic,2015-04-25,1.2,LJ,W
66,"Carson, Savannah",SO-2,Purdue,6.10m,"20' 0.25""",Big Ten Outdoor Track & Field Championships,2015-05-15,2.8,LJ,W
66,"Brown, Maya",SO-2,UCLA,6.10m,"20' 0.25""",Rafer / JJK Collegiate Invitational,2015-04-11,0.9,LJ,W
66,"Kee, Brianne",SR-4,Grand Canyon,6.10m,"20' 0.25""",Willie Williams Classic (College/Open),2015-03-20,0.2,LJ,W
66,"Williams, Tierra",SO-2,Nebraska,6.10m,"20' 0.25""",Musco Invitational,2015-05-02,2.7,LJ,W
66,"Carey, Marlesia",SR-4,Louisiana Tech,6.10m,"20' 0.25""",Northwestern State Invitational,2015-04-25,0.5,LJ,W
66,"Pitts, Kaylnn",SO-2,Austin Peay,6.10m,"20' 0.25""",Ohio Valley Conference Championships,2015-05-15,1.9,LJ,W
66,"Kirksy, MaShayla",SO-2,DePaul,6.10m,"20' 0.25""",BIG EAST Outdoor Track & Field Championships,2015-05-08,0.8,LJ,W
73,"Huschle, Analisa",JR-3,South Dakota,6.09m,"19' 11.75""",Nebraska Invitational,2015-05-09,1.4,LJ,W
73,"Petrokaite, Jogaile",FR-1,Florida State,6.09m,"19' 11.75""",Longhorn Invitational,2015-05-02,1.9,LJ,W
73,"Bouyer, Kennadi",SO-2,Washington,6.09m,"19' 11.75""",Pac-12 Track & Field Championships,2015-05-15,0.5,LJ,W
73,"Worlds , Sydnee",SO-2,Arkansas-Pine Bluff,6.09m,"19' 11.75""",2015 SWAC Outdoor Championship,2015-04-24,1.1,LJ,W
73,"Ramsay, Israel",JR-3,UTEP,6.09m,"19' 11.75""",Conference USA Outdoor Track & Field Championships,2015-05-14,3.7,LJ,W
78,"Eke, Nadia",SR-4,Columbia,6.08m,"19' 11.5""",Ivy League Outdoor Track & Field Championships,2015-05-09,0.0,LJ,W
78,"Flynn, Tiffany",FR-1,Miss State,6.08m,"19' 11.5""",SEC Championships,2015-05-14,2.0,LJ,W
78,"Zenon, Danielle",SR-4,Louisiana Tech,6.08m,"19' 11.5""",TCU Horned Frog Invite,2015-05-02,2.4,LJ,W
78,"Brown, Jasmine",SO-2,Western Illinois,6.08m,"19' 11.5""",The Summit League Outdoor Track & Field Championships,2015-05-13,0.0,LJ,W
82,"Hawkins, Chari",SR-4,Utah State,6.07m,"19' 11""",Mt. SAC Relays/CA Invitational Multi Events,2015-04-15,2.0,LJ,W
82,"Latham, Viershanie",SO-2,Texas Tech,6.07m,"19' 11""",Texas Tech Red Raider Open,2015-04-30,0.7,LJ,W
82,"Henix, Denisha",SO-2,Louisiana Tech,6.07m,"19' 11""",TCU Horned Frog Invite,2015-05-02,1.3,LJ,W
82,"Blakney, Joann",SR-4,Charlotte,6.07m,"19' 11""",Radford University Highlander Invitational,2015-04-24,3.1,LJ,W
82,"Moore, Ashlee",FR-1,Oregon,6.07m,"19' 11""",Oregon Relays,2015-04-16,2.9,LJ,W
82,"Marten, Isabella",FR-1,SMU,6.07m,"19' 11""",Longhorn Invitational,2015-05-02,2.5,LJ,W
82,"Gibbs, Jasmine",JR-3,Arizona State,6.07m,"19' 11""",2015 Drake Relays presented by Hy-Vee,2015-04-22,2.8,LJ,W
89,"Brown, Adriunna",SO-2,UL-Monroe,6.06m,"19' 10.75""",Northwestern State Invitational,2015-04-25,1.0,LJ,W
89,"Fotopoulou , Filippa",FR-1,Alabama,6.06m,"19' 10.75""",SEC Championships,2015-05-14,1.4,LJ,W
89,"Fountain, Whitney",SR-4,Clemson,6.06m,"19' 10.75""",2015 UT Challenge,2015-05-02,1.3,LJ,W
89,"Jackson, Taylor",SR-4,Long Beach St.,6.06m,"19' 10.75""",UCLA vs. WSU vs. Long Beach,2015-03-24,-0.9,LJ,W
89,"Davis, Chalese",JR-3,South Carolina,6.06m,"19' 10.75""",SEC Championships,2015-05-14,2.9,LJ,W
89,"Siefring, Jaclyn",FR-1,Akron,6.06m,"19' 10.75""",Longhorn Invitational,2015-05-02,2.0,LJ,W
95,"Nelson, Ariane",SO-2,Indiana,6.05m,"19' 10.25""",Big Ten Outdoor Track & Field Championships,2015-05-15,1.3,LJ,W
95,"Phillips, Stormm",SO-2,Jacksonville,6.05m,"19' 10.25""",UF Tom Jones Memorial,2015-04-24,0.0,LJ,W
95,"Land, Mimi",JR-3,Clemson,6.05m,"19' 10.25""",ACC Outdoor Track & Field Championships,2015-05-14,0.9,LJ,W
98,"Wharton, Krystal",SR-4,UNLV,6.04m,"19' 9.75""",UC Irvine Steve Scott Invit(Colleges),2015-05-01,1.2,LJ,W
99,"Stewart, Carmelia",SR-4,Indiana State,6.03m,"19' 9.5""",2015 MVC Outdoor Track and Field Championships,2015-05-15,1.2,LJ,W
99,"Delophont, Dior",JR-3,Kent State,6.03m,"19' 9.5""",Ohio State - Jesse Owens Classic,2015-05-01,2.6,LJ,W
