,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
48,"Daniels, Jakayla",SR-4,Cal St. Northridge,16.03m,"52' 7.25""",2016 Baylor Invitational,2016-04-09,SP,W
49,"Williams, Racquel",SR-4,Pittsburgh,15.92m,"52' 2.75""",ACC Championships,2016-05-13,SP,W
50,"Okieme, Tiffany",SR-4,Miami,15.83m,"51' 11.25""",LSU Invitational,2016-04-30,SP,W
51,"Gustafson, Aliyah",SO-2,Bowling Green,15.82m,"51' 11""",Jesse Owens Track & Field Classic - Ohio State University,2016-04-22,SP,W
52,"Lange, Julie",JR-3,Texas State,15.81m,"51' 10.5""",Texas State Bobcat Classic,2016-04-29,SP,W
52,"Brown, Adriana",SO-2,Kentucky,15.81m,"51' 10.5""",Baldy Castillo Invitational,2016-03-18,SP,W
54,"Blahnik, Kennedy",FR-1,Wisconsin,15.78m,"51' 9.25""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,SP,W
55,"Darling, Arionna",JR-3,Miami (Ohio),15.77m,"51' 9""",Ball State Challenge,2016-04-15,SP,W
55,"Cause, Galissia",SO-2,East Carolina,15.77m,"51' 9""",The American Outdoor Track & Field Championships,2016-05-12,SP,W
57,"Carter, Jhane'",FR-1,UCF,15.74m,"51' 7.75""",The American Outdoor Track & Field Championships,2016-05-12,SP,W
58,"Warren-Jacques, N'Dia",FR-1,Texas,15.73m,"51' 7.25""",TCU Invitational,2016-03-17,SP,W
59,"Marfo, Obeng",SO-2,Penn State,15.72m,"51' 7""",Bucknell Team Challenge,2016-04-23,SP,W
59,"Walker, Mariah",SO-2,Colorado,15.72m,"51' 7""",CSM Nature's Bakery Invite,2016-04-23,SP,W
61,"Jackson, Indi",SO-2,Notre Dame,15.62m,"51' 3""",ACC Championships,2016-05-13,SP,W
62,"Corbett, Jayne",SO-2,Youngstown St.,15.60m,"51' 2.25""",Akron NE Ohio Quad,2016-04-15,SP,W
63,"Brown, Devene",SR-4,Central Michigan,15.58m,"51' 1.5""",Mid-American Conference Championship,2016-05-12,SP,W
64,"Echikunwoke, Annette",SO-2,Cincinnati,15.56m,"51' 0.75""",Penn Relays,2016-04-28,SP,W
64,"Keller, Morgan",JR-3,Illinois State,15.56m,"51' 0.75""",2016 MVC Outdoor Track and Field Championships,2016-05-13,SP,W
64,"Wheat, Makenzie",JR-3,Bowling Green,15.56m,"51' 0.75""",Bowling Green State Univ. Dual,2016-04-01,SP,W
67,"Tice, Rachel",SR-4,UC Riverside,15.50m,"50' 10.25""",UC Riverside Spring Break Invitational,2016-03-24,SP,W
67,"Flint, Brenn",FR-1,Utah State,15.50m,"50' 10.25""",Border Clash 2016,2016-04-29,SP,W
69,"Sabin, Kiley",FR-1,Minnesota,15.47m,"50' 9.25""",Rock Chalk Classic,2016-04-30,SP,W
69,"Neal, Kyesha",SR-4,Toledo,15.47m,"50' 9.25""",Ball State Challenge,2016-04-15,SP,W
69,"Lindstrom , Jamie",SR-4,Northern Iowa,15.47m,"50' 9.25""",Wisconsin Twilight,2016-05-06,SP,W
72,"Potts, Taylor",JR-3,Tulane,15.44m,"50' 8""",The American Outdoor Track & Field Championships,2016-05-12,SP,W
73,"Cook, Hailey",JR-3,Western Carolina,15.41m,"50' 6.75""",2016 Western Carolina University T&F Invitational,2016-04-29,SP,W
74,"Gary, Alyssa",SR-4,Ohio State,15.39m,"50' 6""",LSU Battle on the Bayou,2016-04-09,SP,W
75,"Heckaman, Leah",SO-2,Cincinnati,15.38m,"50' 5.5""",Tiger Track Classic,2016-04-08,SP,W
75,"Porter, Jordan",SO-2,Ohio,15.38m,"50' 5.5""",Charlotte Invitational,2016-04-15,SP,W
77,"Famurewa, Beckie",SR-4,Kentucky,15.36m,"50' 4.75""",SEC Championships,2016-05-12,SP,W
78,"Oginni, Banke",FR-1,Wisconsin,15.35m,"50' 4.5""",Wisconsin Twilight,2016-05-06,SP,W
78,"Ishmar, Raqurra",SR-4,East Carolina,15.35m,"50' 4.5""",The American Outdoor Track & Field Championships,2016-05-12,SP,W
80,"Harrell, Urina",JR-3,Duke,15.34m,"50' 4""",Beach Invitational,2016-04-15,SP,W
81,"Nolan, Claire",SO-2,SIU-Edwardsville,15.32m,"50' 3.25""",SIUe vs SIUC,2016-04-29,SP,W
82,"Flint, Gina",SO-2,Washington,15.31m,"50' 2.75""",Pac-12 Outdoor Track & Field Championships,2016-05-14,SP,W
83,"Blake, Ashlie",FR-1,UCLA,15.29m,"50' 2""",2016 Triton Invitational,2016-04-22,SP,W
83,"Knibb, Kellion",JR-3,Florida State,15.29m,"50' 2""",ACC Championships,2016-05-13,SP,W
85,"Bingham, Maci",SR-4,Utah State,15.26m,"50' 0.75""",Border Clash 2016,2016-04-29,SP,W
86,"Weimerskirch, Katelyn",JR-3,North Dakota State,15.25m,"50' 0.5""",Lyle Hokanson Classic,2016-04-22,SP,W
87,"Cannon, Jacquetta",SO-2,SMU,15.22m,"49' 11.25""",The American Outdoor Track & Field Championships,2016-05-12,SP,W
88,"Walker, Whitney",SR-4,Indiana State,15.20m,"49' 10.5""",Tom Botts Invitational,2016-04-15,SP,W
89,"Olatoye, Sade",FR-1,Ohio State,15.19m,"49' 10""",Alabama Relays,2016-03-17,SP,W
90,"Reynolds, Haley",JR-3,Miss State,15.18m,"49' 9.75""",SEC Championships,2016-05-12,SP,W
90,"Ioane, Charlinda",SR-4,Hawaii,15.18m,"49' 9.75""",Beach Pacific Coast,2016-04-14,SP,W
92,"Alesi, Rachel",JR-3,San Diego St.,15.17m,"49' 9.25""",Mountain West Championships,2016-05-11,SP,W
92,"Frazier, Jermisha",SR-4,SE Louisiana,15.17m,"49' 9.25""",Southland Conference Outdoor Track & Field Championships,2016-05-06,SP,W
94,"Sharp, Tristen",SR-4,Nebraska,15.16m,"49' 9""",Pac-12 vs Big 10 Invitational,2016-03-25,SP,W
95,"Brown, Briyah",SO-2,Army West Point,15.15m,"49' 8.5""",Bison Outdoor Classic,2016-04-16,SP,W
95,"Gunnells, Shelby",FR-1,North Dakota State,15.15m,"49' 8.5""",Beach Invitational,2016-04-15,SP,W
97,"Hutchinson, Courtney",SO-2,Boise State,15.11m,"49' 7""",Mountain West Championships,2016-05-11,SP,W
98,"Cumings, Mychelle",SR-4,Liberty,15.09m,"49' 6.25""",Big South Outdoor Track & Field Championships,2016-05-10,SP,W
98,"Patterson, Megan",JR-3,Buffalo,15.09m,"49' 6.25""",Mid-American Conference Championship,2016-05-12,SP,W
100,"Cueva, Brianna",JR-3,Cal St. Northridge,15.08m,"49' 5.75""",Big West Outdoor Track & Field Championships,2016-05-13,SP,W
