,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
72,"Coppolino, Michael",JR-3,Brown,61.18m,"200' 9""",Ivy League Outdoor Track & Field Championships,2019-05-04,HT,M
73,"Cohen, Zeke",SO-2,Cornell,61.06m,"200' 4""",Bison Outdoor Classic,2019-04-13,HT,M
74,"Efekoro, Oghenakpobo",SR-4,Virginia,60.88m,"199' 9""","Virginia v. Maryland, Pitt, West Virginia",2019-04-06,HT,M
75,"Wickey, Jake",SO-2,Kent State,60.72m,"199' 2""",Raleigh Relays,2019-03-29,HT,M
76,"Cook, Jr., Kelly",SO-2,William and Mary,60.70m,"199' 2""",CAA Outdoor Track and Field Championships,2019-05-03,HT,M
77,"Dunivan, Nathan",SR-4,Weber State,60.59m,"198' 9""",Big Sky Outdoor Track & Field Championships,2019-05-08,HT,M
78,"McArthur, Eric",JR-3,Wyoming,60.58m,"198' 9""",Mountain West Outdoor Track & Field Championship,2019-05-08,HT,M
79,"Yow, Michael",JR-3,Rice,60.52m,"198' 7""",Tom Tellez Invitational,2019-05-03,HT,M
80,"Kaufman, Jacob",SO-2,Northern Arizona,60.50m,"198' 6""",2019 Desert Heat Classic,2019-04-27,HT,M
81,"Carr, Josh",SR-4,Long Beach St.,60.48m,"198' 5""",Beach Invitational,2019-04-19,HT,M
82,"Ammons, Logan",SR-4,South Dakota St.,60.47m,"198' 5""",Summit League T&F Outdoor Championships,2019-05-08,HT,M
83,"Gorwin, Trevor",SR-4,Cal St. Fullerton,60.43m,"198' 3""",2019 Baldy Castillo Invitational,2019-03-15,HT,M
84,"Keogan, Michael",JR-3,North Dakota State,60.36m,"198' 0""",2019 Husker Spring Invitational,2019-04-05,HT,M
84,"Rousemiller, Connor",JR-3,Minnesota,60.36m,"198' 0""",Minnesota Men's Twilight,2019-05-01,HT,M
86,"Stauffer, Jacob",JR-3,Army West Point,60.29m,"197' 10""",Patriot League Outdoor Track & Field Championships,2019-05-03,HT,M
87,"Lane, Nick",FR-1,Indiana,60.21m,"197' 6""",2019 Billy Hayes Invitational,2019-05-03,HT,M
88,"Kunza, Patrick",JR-3,Missouri,60.20m,"197' 6""",Tom Botts Invitational,2019-04-19,HT,M
89,"Martinez, Enrique",JR-3,Manhattan,60.10m,"197' 2""",Sam Howell Invitational,2019-04-06,HT,M
90,"Pertusati, Michael",SR-4,UC Davis,60.09m,"197' 2""",Causeway Classic,2019-04-26,HT,M
91,"Doyle, Garrett",FR-1,Ohio State,59.97m,"196' 9""",Jesse Owens Classic - The Ohio State University,2019-04-26,HT,M
92,"Mehr, Adam",JR-3,North Dakota,59.94m,"196' 8""",Summit League T&F Outdoor Championships,2019-05-08,HT,M
93,"King, Bailey",JR-3,Colorado St.,59.90m,"196' 6""",Mountain West Outdoor Track & Field Championship,2019-05-08,HT,M
94,"Johnson, Benjamin",SR-4,East Tenn. St.,59.89m,"196' 6""",2019 Southern Conference Outdoor Track & Field Championships,2019-04-27,HT,M
95,"Porcaro, Jordan",SO-2,Southern Utah,59.83m,"196' 3""",Beach Invitational,2019-04-19,HT,M
95,"Kubiatowicz, Jake",SO-2,Penn,59.83m,"196' 3""",Sam Howell Invitational,2019-04-06,HT,M
97,"Peterson, Kyle",SR-4,Sacramento St.,59.81m,"196' 3""",Aggie Open 2019,2019-03-09,HT,M
98,"McKhann, Max",FR-1,Stanford,59.80m,"196' 2""",Stanford Invitational,2019-03-29,HT,M
99,"Evans, Isaiah",SR-4,Wichita State,59.73m,"195' 11""",Wichita State Shocker Open,2019-05-03,HT,M
100,"Perez, Vincent",SR-4,UTSA,59.65m,"195' 8""",Conference USA Outdoor Championships,2019-05-09,HT,M
