,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
88,"Small, Ronson",SR-4,UTSA,15.14m,"49' 8.25""",Conference USA Outdoor Track & Field Championships,2014-05-15,0.0,TJ,M
88,"Melu, Josh",JR-3,Oregon,15.14m,"49' 8.25""",Oregon Preview,2014-03-22,2.4,TJ,M
88,"Waller, Brandon",SR-4,Texas-Arlington,15.14m,"49' 8.25""",Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,2.2,TJ,M
91,"Cunningham, Jovon",SO-2,Arizona,15.13m,"49' 7.75""",2014 Jim Click Shootout,2014-04-12,0.8,TJ,M
92,"James, Luke",JR-3,Southern Illinois,15.12m,"49' 7.25""",2014 MVC Outdoor Track & Field Championships,2014-05-16,3.8,TJ,M
92,"Rouse, Jr, Richard",JR-3,Indiana,15.12m,"49' 7.25""",Charlotte 49er Classic,2014-03-20,-0.1,TJ,M
92,"Smith, Aubrey",SR-4,Florida Int'l,15.12m,"49' 7.25""",Florida Relays,2014-04-03,1.7,TJ,M
92,"Walker-Khan, Adam",FR-1,LIU Brooklyn,15.12m,"49' 7.25""",2014 ECAC-IC4A Outdoor Championships,2014-05-16,1.5,TJ,M
96,"Phynn, Nick",FR-1,Texas,15.10m,"49' 6.5""",2014 Clyde Littlefield Texas Relays,2014-03-26,0.7,TJ,M
96,"White, Jaleen",SR-4,Memphis,15.10m,"49' 6.5""",The American Outdoor Track & Field Championships,2014-05-02,1.2,TJ,M
96,"Plummer , Robert",FR-1,Cornell,15.10m,"49' 6.5""",2014 Big Red Outdoor Invitational,2014-04-27,1.5,TJ,M
96,"Farris-King, Anthony",SO-2,Central Arkansas,15.10m,"49' 6.5""",2014 Red Wolf Open,2014-04-26,2.1,TJ,M
100,"Cragwall, Shaquille",SO-2,Tennessee St.,15.09m,"49' 6.25""",2014 OVC Outdoor T&F Championships,2014-05-02,2.5,TJ,M
