,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE,EVENT,GENDER
39,"Clancy, Kyle",JR-3,UC Davis,7181,Big West Multi Championships,2018-05-04,Dec,W
40,"Storm, Mason",SR-4,Montana State,7161,Big Sky Outdoor Track & Field Championships,2018-05-08,Dec,W
41,"Neururer, Matt",SR-4,North Dakota State,7152,2018 Summit League Championships,2018-05-10,Dec,W
42,"Collerton, Ben",SO-2,Texas State,7148,Sun Belt Outdoor Track and Field Championships,2018-05-11,Dec,W
43,"Grossman, Thomas",JR-3,UC Davis,7109,Big West Multi Championships,2018-05-04,Dec,W
44,"Enerson, Ryan",JR-3,North Dakota State,7107,2018 Summit League Championships,2018-05-10,Dec,W
45,"Broadhead, John",JR-3,Long Beach St.,7098,Big West Multi Championships,2018-05-04,Dec,W
46,"Ghizzone, Andrew",SR-4,Colorado,7083,Bryan Clay Invitational,2018-04-19,Dec,W
47,"Horsch, Jake",FR-1,Wichita State,7080,The American Outdoor Track & Field Championships,2018-05-11,Dec,W
48,"Rickman, Jacob",SR-4,Cal Poly,7070,Big West Multi Championships,2018-05-04,Dec,W
49,"Brandenburg, James",JR-3,Illinois State,7031,2018 MVC Outdoor Track & Field Championships,2018-05-11,Dec,W
50,"Donna, Brian",JR-3,SE Louisiana,7030,The Skecher's Performance Carl Kight Invitational,2018-04-05,Dec,W
51,"Walder, Wade",SO-2,Butler,7020,BIG EAST Outdoor Track & Field Championships,2018-05-11,Dec,W
52,"Lee, Evan",SO-2,Penn,7006,Tennessee Relays,2018-04-12,Dec,W
53,"Lam, Daniel",SR-4,New Mexico,6975,Mountain West Outdoor Track & Field Championships,2018-05-09,Dec,W
54,"Afflitto, Paul",SO-2,Wisconsin,6969,Big Ten Championships,2018-05-11,Dec,W
55,"Heitland, Austin",JR-3,Northern Iowa,6955,2018 MVC Outdoor Track & Field Championships,2018-05-11,Dec,W
56,"Hampton, Hayden",SO-2,Arkansas State,6935,Sun Belt Outdoor Track and Field Championships,2018-05-11,Dec,W
57,"Kasupski, Caleb",SO-2,Connecticut,6893,The American Outdoor Track & Field Championships,2018-05-11,Dec,W
58,"Griffin, Kaden",JR-3,Wichita State,6851,Wichita State Decathlon/Heptathlon,2018-03-21,Dec,W
59,"Podraza, Zach",FR-1,Nebraska,6850,Big Ten Championships,2018-05-11,Dec,W
60,"Foote, Drake",JR-3,UC Davis,6846,Big West Multi Championships,2018-05-04,Dec,W
61,"Hieber, Evan",SO-2,South Dakota St.,6844,2018 Summit League Championships,2018-05-10,Dec,W
62,"Manders, James",FR-1,Texas A&M-CC,6842,Southland Conference Outdoor Track & Field Championships,2018-05-04,Dec,W
63,"Glueck, Sven",SO-2,UL-Lafayette,6833,Sun Belt Outdoor Track and Field Championships,2018-05-11,Dec,W
64,"Sobota, Jacob",FR-1,Duke,6825,ACC Outdoor Championships,2018-05-10,Dec,W
65,"Littlejohn, Rodney",SO-2,Incarnate Word,6824,Southland Conference Outdoor Track & Field Championships,2018-05-04,Dec,W
65,"Seabright, Nicholas",SR-4,Coastal Carolina,6824,Sun Belt Outdoor Track and Field Championships,2018-05-11,Dec,W
67,"Griffith, Clark",FR-1,Texas Tech,6821,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,Dec,W
68,"Stadnika, Zachary",SO-2,Oakland,6801,Tennessee Relays,2018-04-12,Dec,W
68,"Jazdyk, Steven",SR-4,Oklahoma,6801,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,Dec,W
70,"Stainback, Gabriel",FR-1,High Point,6792,Big South Conference Outdoor Track and Field Championships,2018-05-09,Dec,W
71,"NKounkou, Joel",SR-4,New Hampshire,6779,NEICAAA Outdoor Track & Field Championships,2018-05-11,Dec,W
72,"Reed, Yoshua",SR-4,Eastern Kentucky,6778,Ohio Valley Conference Championship,2018-05-10,Dec,W
73,"Neth, Caleb",SO-2,Montana State,6749,Big Sky Outdoor Track & Field Championships,2018-05-08,Dec,W
74,"Wollenslegel, Ben",JR-3,Cincinnati,6741,The American Outdoor Track & Field Championships,2018-05-11,Dec,W
74,"Lam, Jeff",SR-4,UC Santa Barbara,6741,Bryan Clay Invitational,2018-04-19,Dec,W
76,"Mixon, Chandler",FR-1,UL-Lafayette,6736,Sun Belt Outdoor Track and Field Championships,2018-05-11,Dec,W
77,"Hudson, Malik",SO-2,Akron,6723,2018 Mid-American Conf. Outdoor Track & Field Championships,2018-05-10,Dec,W
78,"Eggers, William",JR-3,Marquette,6709,Bryan Clay Invitational,2018-04-19,Dec,W
78,"Gehr, Dominic",FR-1,Arizona,6709,2018 Jim Click Shootout,2018-04-07,Dec,W
80,"Zanger, Troy",SO-2,Binghamton,6701,America East Outdoor Track & Field Championships,2018-05-05,Dec,W
81,"Looser, Ryan",SR-4,Kent State,6685,Tennessee Relays,2018-04-12,Dec,W
82,"Nealey, Drew",FR-1,Rhode Island,6683,A-10 Championships,2018-05-05,Dec,W
83,"Riley, Josh",SO-2,Montana,6678,Big Sky Outdoor Track & Field Championships,2018-05-08,Dec,W
84,"Torney, Jordan",FR-1,Connecticut,6669,The American Outdoor Track & Field Championships,2018-05-11,Dec,W
85,"Bigelow, Matthew",JR-3,Southern Illinois,6660,2018 MVC Outdoor Track & Field Championships,2018-05-11,Dec,W
86,"Kjeldsen, Oliver",SO-2,Texas State,6658,Sun Belt Outdoor Track and Field Championships,2018-05-11,Dec,W
87,"Powell, Jerrick",JR-3,Hampton,6647,MEAC Outdoor Track & Field Championships,2018-05-03,Dec,W
87,"Lott, David",SO-2,Kennesaw State,6647,Miami Hurricane Alumni Invitational,2018-04-06,Dec,W
89,"Reichenberger, Colin",SO-2,Wichita State,6646,The American Outdoor Track & Field Championships,2018-05-11,Dec,W
90,"Romero , Pablo",SO-2,High Point,6638,Virginia Challenge,2018-04-20,Dec,W
90,"Fassina, Simone",SO-2,Kansas State,6638,Big 12 Conference Outdoor Track and Field Championships,2018-05-11,Dec,W
92,"Latham, Tyler",SR-4,Central Connecticut,6631,SCSU Northeast Combined Events Challenge,2018-04-12,Dec,W
93,"Wilkerson, Jordan",SO-2,Illinois State,6623,2018 MVC Outdoor Track & Field Championships,2018-05-11,Dec,W
94,"Berson, Tyler",SR-4,Air Force,6616,Mountain West Outdoor Track & Field Championships,2018-05-09,Dec,W
95,"Hicks, Cole",SR-4,Long Beach St.,6610,Big West Multi Championships,2018-05-04,Dec,W
96,"Stewart, Ben",JR-3,Navy,6580,Patriot League Outdoor Track & Field Championships,2018-05-04,Dec,W
97,"Hochbein, Brandon",SO-2,Akron,6576,2018 Mid-American Conf. Outdoor Track & Field Championships,2018-05-10,Dec,W
98,"Mally, Jacob",FR-1,Kent State,6572,Tennessee Relays,2018-04-12,Dec,W
99,"Edwards, Jason",FR-1,Missouri,6569,SEC Outdoor Track and Field Championships,2018-05-11,Dec,W
100,"Rivers, Grant",SR-4,North Carolina St.,6564,ACC Outdoor Championships,2018-05-10,Dec,W
1,"Scantling, Garrett",JR-3,Georgia,8169,Georgia Bulldog Decathlon/Heptathlon,2014-04-10,Dec,W
2,"Uibo, Maicel",SO-2,Georgia,8123,Georgia Bulldog Decathlon/Heptathlon,2014-04-10,Dec,W
3,"Keys, Dakotah",JR-3,Oregon,8027,Oregon Relays,2014-04-17,Dec,W
4,"Ziemek, Zach",JR-3,Wisconsin,7860,Georgia Bulldog Decathlon/Heptathlon,2014-04-10,Dec,W
5,"Dick, Devin",SR-4,Kansas State,7792,Big 12 Outdoor Track and Field Championships,2014-05-16,Dec,W
6,"McCune, Alex",JR-3,Akron,7768,Mt. SAC Relays/CA Invitational Multi Events,2014-04-16,Dec,W
7,"Morgan, Mike",SO-2,Buffalo,7699,Mid-American Outdoor Track & Field Championships,2014-05-15,Dec,W
8,"Dalton, Chase",SR-4,BYU,7642,2014 Clyde Littlefield Texas Relays,2014-03-26,Dec,W
9,"Kregers, Reinis",SO-2,Kansas State,7618,Big 12 Outdoor Track and Field Championships,2014-05-16,Dec,W
10,"Mahler, Wolf",FR-1,Texas,7602,Big 12 Outdoor Track and Field Championships,2014-05-16,Dec,W
11,"Lazas, Kevin",SR-4,Arkansas,7592,2014 Clyde Littlefield Texas Relays,2014-03-26,Dec,W
12,"Hock, Johannes",SO-2,Texas,7573,2014 Clyde Littlefield Texas Relays,2014-03-26,Dec,W
13,"Cardina, Robert",FR-1,Penn State,7508,2014 Clyde Littlefield Texas Relays,2014-03-26,Dec,W
14,"Saluri, Karl",FR-1,New Orleans,7497,2014 Clyde Littlefield Texas Relays,2014-03-26,Dec,W
15,"Fajoyomi, Viktor",SR-4,USC,7489,PAC-12 Outdoor Track and Field Championships,2014-05-10,Dec,W
16,"Hanssler, Luis",SO-2,Memphis,7471,The American Outdoor Track & Field Championships,2014-05-02,Dec,W
17,"Modin, Mitch",FR-1,Oregon,7457,Oregon Relays,2014-04-17,Dec,W
18,"Schneider, Kurt",SR-4,Michigan State,7431,Big Ten Outdoor Track & Field Championships,2014-05-16,Dec,W
19,"Weirich, Joshua",SR-4,BYU,7412,2014 Cal Multi,2014-03-20,Dec,W
20,"McPherson, Michael",JR-3,Utah Valley,7401,Western Athletic Conference Outdoor Championships,2014-05-14,Dec,W
21,"Weinstock, Evan",SR-4,Brown,7381,Ivy League Outdoor Track & Field Championships,2014-05-10,Dec,W
22,"Jones, Bryan",SR-4,Akron,7371,Mid-American Outdoor Track & Field Championships,2014-05-15,Dec,W
23,"Mohl, Jeff",SR-4,Montana State,7359,Big Sky Conference Outdoor Track & Field Championships,2014-05-14,Dec,W
24,"Vildosola, Henry",SR-4,Baylor,7344,Big 12 Outdoor Track and Field Championships,2014-05-16,Dec,W
25,"Bahner, Austin",SR-4,Wichita State,7331,KT Woodman Classic,2014-04-09,Dec,W
26,"Ijah, Solomon",SO-2,Eastern Michigan,7312,2014 Clyde Littlefield Texas Relays,2014-03-26,Dec,W
27,"Glasnow, Ted",SR-4,Notre Dame,7299,2014 Clyde Littlefield Texas Relays,2014-03-26,Dec,W
28,"Turpen, Ethan",SR-4,Arkansas State,7292,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,Dec,W
29,"Soerens, Stephen",JR-3,Princeton,7291,Ivy League Outdoor Track & Field Championships,2014-05-10,Dec,W
30,"Lewis, Nevin",SR-4,Portland State,7268,Sacramento State Mondo Mid Major Challenge,2014-04-10,Dec,W
31,"Rabbitt, Mike",JR-3,Cornell,7264,Ivy League Outdoor Track & Field Championships,2014-05-10,Dec,W
32,"Rohner, Robert",SO-2,Duke,7233,ACC Outdoor Track & Field Championships,2014-04-17,Dec,W
33,"Franks, Nathanael",JR-3,Arkansas,7188,SEC Outdoor Championship,2014-05-15,Dec,W
34,"Henderson, Logan",JR-3,Idaho State,7165,Big Sky Conference Outdoor Track & Field Championships,2014-05-14,Dec,W
35,"Rock, Ian",JR-3,Duke,7122,ACC Outdoor Track & Field Championships,2014-04-17,Dec,W
36,"Schumacher, Garrett",SR-4,South Alabama,7086,Sun Belt Conference Outdoor Track and Field Championships,2014-05-09,Dec,W
37,"Fellows, Alec",SO-2,Oregon,7081,PAC-12 Outdoor Track and Field Championships,2014-05-10,Dec,W
38,"Lange, Christoph",JR-3,Idaho State,7078,Big Sky Conference Outdoor Track & Field Championships,2014-05-14,Dec,W
39,"Bennett, Devin",JR-3,Cal Poly,7069,Sacramento State Mondo Mid Major Challenge,2014-04-10,Dec,W
40,"Filip, Scott",FR-1,Rice,7045,2014 Clyde Littlefield Texas Relays,2014-03-26,Dec,W
41,"Emory, Brock",SR-4,Colorado,7035,PAC-12 Outdoor Track and Field Championships,2014-05-10,Dec,W
42,"Williams, Jemal",JR-3,USC,7034,PAC-12 Outdoor Track and Field Championships,2014-05-10,Dec,W
43,"Gonzales, Westmoreland",SR-4,UL-Lafayette,7033,Bobcat Invitational,2014-03-27,Dec,W
44,"Chapman, Jesse",SR-4,Connecticut,7031,The American Outdoor Track & Field Championships,2014-05-02,Dec,W
45,"Veith, Hunter",FR-1,Wichita State,7027,Shirley Crowe Combined Events Classic,2014-03-19,Dec,W
46,"Scott, K'vonte",SO-2,Charlotte,7022,Charlotte 49er Classic,2014-03-20,Dec,W
47,"Lindaman , Ben",SR-4,Northern Iowa,7021,2014 Drake Relays presented by Hy-Vee,2014-04-23,Dec,W
48,"Demirjian, Garrett",SR-4,Long Beach St.,7014,2014 Big West Combined,2014-05-09,Dec,W
49,"Baltzell, Trent",SR-4,Rhode Island,7002,UCONN Men's Decathlon 2014,2014-04-03,Dec,W
50,"Beach, Curtis",SR-4,Duke,6997,ACC Outdoor Track & Field Championships,2014-04-17,Dec,W
51,"Asselin, Alexandre",SO-2,South Carolina,6995,SEC Outdoor Championship,2014-05-15,Dec,W
