,ATHLETE,YEAR,TEAM,POINTS,MEET,MEET DATE,EVENT,GENDER
64,"Hargett, Dalen",JR-3,Oregon,6827,2019 Pac-12 Track & Field Championships,2019-05-04,Dec,W
65,"Iosivas, Andrei",FR-1,Princeton,6825,Ivy League Outdoor Track & Field Championships,2019-05-04,Dec,W
66,"Mally, Jacob",SO-2,Kent State,6823,Tennessee Relays,2019-04-11,Dec,W
67,"Sult, Kyle",JR-3,Lehigh,6813,Patriot League Outdoor Track & Field Championships,2019-05-03,Dec,W
68,"Ruiz, Roman",FR-1,Utah State,6808,Mountain West Outdoor Track & Field Championship,2019-05-08,Dec,W
69,"Lundgren, Eric",SO-2,Colorado St.,6794,Glenn Morris Multi,2019-03-21,Dec,W
70,"Gabor, Christopher",SR-4,Mount St. Mary's,6792,The Penn Relays Combined Events,2019-04-23,Dec,W
71,"Diggs, Aidan",FR-1,Montana,6790,Big Sky Outdoor Track & Field Championships,2019-05-08,Dec,W
72,"Littles, Ray",SR-4,Washington St.,6772,2019 Pac-12 Track & Field Championships,2019-05-04,Dec,W
73,"Hochbein, Brandon",JR-3,Akron,6771,Mid-American Conference Outdoor Track & Field Championships,2019-05-09,Dec,W
74,"Riley, Josh",JR-3,Montana,6764,Big Sky Outdoor Track & Field Championships,2019-05-08,Dec,W
75,"Majid, Kamar",SR-4,Akron,6760,Mid-American Conference Outdoor Track & Field Championships,2019-05-09,Dec,W
76,"Vorkink, Dallin",FR-1,BYU,6759,2019 BYU Cougar Invitational,2019-05-09,Dec,W
77,"Grosse, Benjamin",FR-1,Connecticut,6756,The American Outdoor Track & Field Championships,2019-05-10,Dec,W
78,"Heitland, Austin",SR-4,Northern Iowa,6735,MVC Championship,2019-05-10,Dec,W
79,"Clark, Richard",SR-4,Butler,6734,Bryan Clay Invitational,2019-04-17,Dec,W
80,"Brandenburg, James",SR-4,Illinois State,6727,MVC Championship,2019-05-10,Dec,W
80,"Mixon, Chandler",SO-2,UL-Lafayette,6727,Sun Belt Outdoor Track and Field Championships,2019-05-10,Dec,W
82,"Adams, Tyler",SR-4,Sam Houston St.,6723,Southland Conference Outdoor Track and Field Championship,2019-05-03,Dec,W
83,"Afflitto, Paul",JR-3,Wisconsin,6722,Bryan Clay Invitational,2019-04-17,Dec,W
83,"Klimpke, Ben",JR-3,North Dakota State,6722,Summit League T&F Outdoor Championships,2019-05-08,Dec,W
85,"Biesma, Jason",SR-4,Boston University,6720,Patriot League Outdoor Track & Field Championships,2019-05-03,Dec,W
86,"Robinson, Donte",SR-4,Portland State,6697,Bryan Clay Invitational,2019-04-17,Dec,W
87,"Thayer, Bailey",JR-3,Cal Poly,6693,2019 Big West Multi Championships,2019-05-03,Dec,W
88,"Carpenter, Grant",JR-3,Grand Canyon,6691,WAC Outdoor Track and Field Championships,2019-05-09,Dec,W
89,"Edwards, Jason",SO-2,Missouri,6685,SEC Outdoor Track & Field Championships,2019-05-09,Dec,W
90,"Lott, David",JR-3,Florida State,6682,ACC Championships,2019-05-09,Dec,W
91,"Mirfield, James",SO-2,Penn,6679,Tennessee Relays,2019-04-11,Dec,W
92,"Griffith, Richard",JR-3,Indiana State,6666,MVC Championship,2019-05-10,Dec,W
93,"Rodriguez-Weems, Sunne",JR-3,Prairie View,6661,2019 SWAC Outdoor T&F Championships,2019-05-03,Dec,W
94,"Wilbur, Connor",SR-4,Stephen F. Austin,6650,Southland Conference Outdoor Track and Field Championship,2019-05-03,Dec,W
95,"McDaniel, Jacob",JR-3,UTSA,6648,Roadrunner Invitational,2019-03-21,Dec,W
96,"Yardley, Robert",JR-3,Charlotte,6640,Conference USA Outdoor Championships,2019-05-09,Dec,W
97,"Hieber, Evan",JR-3,South Dakota St.,6605,Summit League T&F Outdoor Championships,2019-05-08,Dec,W
98,"Witsken, Caleb",FR-1,BYU,6603,2019 BYU Robison Invitational,2019-04-25,Dec,W
99,"Dresselhaus, Timon",FR-1,Central Arkansas,6596,Southland Conference Outdoor Track and Field Championship,2019-05-03,Dec,W
100,"Jeffrey, Clayton",JR-3,Cornell,6590,Ivy League Outdoor Track & Field Championships,2019-05-04,Dec,W
