,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
87,"Alexander, Ashley",FR-1,Washington,45.66m,"149' 10""",Oregon Relays,2014-04-17,JT,W
88,"Taylor, Kelsie",SO-2,Washington St.,45.35m,"148' 9""",WSU Cougar Invitational,2014-04-26,JT,W
89,"Mealer, Ranita",SR-4,Morgan State,45.32m,"148' 8""",MEAC Outdoor Track & Field Championships,2014-05-01,JT,W
90,"Hargett, Kacie",FR-1,Cornell,45.30m,"148' 7""",Bison Outdoor Classic,2014-04-12,JT,W
91,"Chamblee, Amanda",SR-4,Notre Dame,45.25m,"148' 5""",GVSU Last Chance Meet,2014-05-10,JT,W
92,"Knodle , Paige",JR-3,Northern Iowa,45.24m,"148' 5""",2014 MVC Outdoor Track & Field Championships,2014-05-16,JT,W
92,"Whitfield, Annie",SO-2,Oregon,45.24m,"148' 5""",Pac-12 Outdoor Track and Field Championships,2014-05-17,JT,W
92,"Sadeiko, Grete",FR-1,Florida State,45.24m,"148' 5""",ACC Outdoor Track & Field Championships,2014-04-17,JT,W
92,"Dahl, Lindsey",SO-2,Montana,45.24m,"148' 5""",Montana Open,2014-05-02,JT,W
96,"Kulidzan, Milica",JR-3,Central Michigan,45.23m,"148' 5""",Mid-American Outdoor Track & Field Championships,2014-05-15,JT,W
97,"Lubarski, Lauren",SO-2,East Carolina,45.18m,"148' 3""",Penn Relays,2014-04-24,JT,W
98,"Kadelka, Sarah",JR-3,Virginia Tech,45.11m,"148' 0""",University of Tennessee Challenge,2014-05-03,JT,W
98,"Stahle, Amanda",SR-4,Iowa,45.11m,"148' 0""",Big Ten Outdoor Track & Field Championships,2014-05-16,JT,W
100,"Torres, Taylor",SR-4,Baylor,45.08m,"147' 11""",Florida Relays,2014-04-03,JT,W
1,"Sediva, Irena",SO-2,Virginia Tech,58.66m,"192' 5""",ACC Outdoor Track & Field Championships,2015-05-14,JT,W
2,"Herrs, Elizabeth",JR-3,Oklahoma,57.77m,"189' 6""",John Jacobs Invitational,2015-04-17,JT,W
3,"Carson, Hannah",JR-3,Texas Tech,56.36m,"184' 11""",Big 12 Outdoor Track & Field Championships,2015-05-15,JT,W
4,"Firestone, Sarah",SO-2,Nebraska,56.15m,"184' 3""",Big Ten Outdoor Track & Field Championships,2015-05-15,JT,W
5,"Miller, Fawn",SR-4,Florida,56.01m,"183' 9""",LSU Invitational,2015-05-02,JT,W
6,"Allgood, Avione",JR-3,Oklahoma,54.06m,"177' 4""",Baldy Castillo Invitational,2015-03-20,JT,W
7,"Wales, Rebekah",SO-2,LSU,53.97m,"177' 1""",SEC Championships,2015-05-14,JT,W
8,"Jones, Freya",JR-3,Georgia,53.87m,"176' 9""",SEC Championships,2015-05-14,JT,W
9,"Bain, Brianna",SR-4,Stanford,53.29m,"174' 10""",2015 Clyde Littlefield Texas Relays,2015-03-25,JT,W
10,"Vivod, Eva",SO-2,Virginia Tech,52.94m,"173' 8""",Radford University Highlander Invitational,2015-04-24,JT,W
11,"Merckle, Jessie",JR-3,Wake Forest,52.61m,"172' 7""",ACC Outdoor Track & Field Championships,2015-05-14,JT,W
12,"Malone, Maggie",JR-3,Texas A&M,52.38m,"171' 10""",TCU Horned Frog Invite,2015-05-02,JT,W
13,"Clark, Kristen",FR-1,Texas A&M,52.02m,"170' 8""",SEC Championships,2015-05-14,JT,W
14,"Glasmann, Megan",SO-2,Utah,51.31m,"168' 4""",OSU vs. Utah - Dual Meet,2015-03-21,JT,W
15,"Murillo, Emma",SR-4,Eastern Washington,51.20m,"168' 0""",Big Sky Conference Outdoor Track & Field Championships,2015-05-13,JT,W
16,"Kopplin, Sabine",JR-3,Virginia Tech,51.09m,"167' 7""",Virginia Challenge,2015-04-17,JT,W
17,"Plank, Danielle",SO-2,Kansas State,50.67m,"166' 3""",Big 12 Outdoor Track & Field Championships,2015-05-15,JT,W
18,"Yanucil, Kelly",SO-2,Mount St. Mary's,50.53m,"165' 9""",Northeast Conference Championship,2015-05-02,JT,W
19,"Cook, Mayme",JR-3,LSU,50.51m,"165' 8""",2015 Clyde Littlefield Texas Relays,2015-03-25,JT,W
20,"Macedo, Jessi",JR-3,Colorado St.,50.42m,"165' 5""",Mountain West Outdoor Track & Field Championships,2015-05-13,JT,W
21,"Ortiz, Daliadiz",SO-2,Tulane,50.17m,"164' 7""",2015 South Alabama Invitational,2015-04-09,JT,W
22,"Eggert, Jayd",JR-3,North Dakota,50.12m,"164' 5""",Big Sky Conference Outdoor Track & Field Championships,2015-05-13,JT,W
23,"Rosenau, Sierra",JR-3,North Dakota State,50.07m,"164' 3""",Husker Spring Invitational,2015-04-11,JT,W
24,"Murphy, Nicolle",SO-2,Minnesota,50.03m,"164' 2""",Musco Invitational,2015-05-02,JT,W
25,"Simoneaux, Annie",SR-4,LSU,49.92m,"163' 9""",SEC Championships,2015-05-14,JT,W
26,"Juhring, Heather",SR-4,Mount St. Mary's,49.82m,"163' 5""",Wake Forest Open,2015-03-20,JT,W
27,"Rickert, Christine",JR-3,High Point,49.53m,"162' 6""",Big South Championships,2015-05-14,JT,W
28,"Zamzow, Ashtin",FR-1,Texas A&M,49.37m,"162' 0""",Baldy Castillo Invitational,2015-03-20,JT,W
29,"Reese, Kelsey",SR-4,Monmouth,49.20m,"161' 5""",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,JT,W
30,"Wargo, Jenna",SR-4,Georgia,49.11m,"161' 1""",Mt. SAC Relays,2015-04-16,JT,W
31,"Hemann, Jena",SR-4,Texas A&M,48.80m,"160' 1""",2015 Clyde Littlefield Texas Relays,2015-03-25,JT,W
32,"Haury, Zaybree",SO-2,UCLA,48.78m,"160' 0""",UCLA vs. WSU vs. Long Beach,2015-03-24,JT,W
32,"Oniwinde, Kike",JR-3,Florida,48.78m,"160' 0""",SEC Championships,2015-05-14,JT,W
34,"Knutsen, Kylene",SO-2,Northern Arizona,48.72m,"159' 10""",36th Sun Angel Classic,2015-04-09,JT,W
35,"Talley, Jessica",SR-4,Northwestern St.,48.54m,"159' 3""",McNeese Cowboy Relays,2015-03-14,JT,W
36,"Boyd, Amethyst",SR-4,Arkansas,48.53m,"159' 3""",SEC Championships,2015-05-14,JT,W
37,"Mayer, Hannah",SR-4,Harvard,48.52m,"159' 2""",Florida Relays,2015-04-02,JT,W
38,"Munoz, Kendall",JR-3,Texas A&M,48.50m,"159' 1""",Baldy Castillo Invitational,2015-03-20,JT,W
39,"Brenner, Liz",JR-3,Oregon,48.41m,"158' 10""",Oregon Twilight,2015-05-08,JT,W
39,"Crouser, Haley",SO-2,Oregon,48.41m,"158' 10""",Trojan Invitational,2015-03-20,JT,W
41,"Genard, Nicole",SO-2,Northeastern,48.38m,"158' 9""",Mark Young Invitational,2015-04-18,JT,W
42,"Jimenez, Maria",SO-2,Tennessee,48.22m,"158' 2""",SEC Championships,2015-05-14,JT,W
43,"Bower, Brianna",JR-3,Wisconsin,48.15m,"158' 0""",Wisconsin Open,2015-05-08,JT,W
44,"Parham, Jessica",SR-4,Youngstown St.,48.05m,"157' 8""",Horizon League Outdoor Track & Field Championships,2015-05-01,JT,W
45,"Hay, Kelsey",JR-3,Penn,48.01m,"157' 6""",Princeton Open (College),2015-05-01,JT,W
46,"Malone, Audrey",FR-1,Texas A&M,47.97m,"157' 4""",TCU Horned Frog Invite,2015-05-02,JT,W
47,"Bye, Martine",FR-1,Memphis,47.94m,"157' 3""",The American Outdoor Track & Field Championships,2015-05-14,JT,W
48,"Aldredge, Ashley",JR-3,Northwestern St.,47.69m,"156' 5""",McNeese Cowboy Relays,2015-03-14,JT,W
49,"Vollmer, Lindsay",SR-4,Kansas,47.67m,"156' 5""",Big 12 Outdoor Track & Field Championships,2015-05-15,JT,W
50,"Olin , Alyssa",FR-1,North Dakota State,47.61m,"156' 2""",The Summit League Outdoor Track & Field Championships,2015-05-13,JT,W
51,"Lyssy, Elizabeth",JR-3,Sam Houston St.,47.58m,"156' 1""",2015 Clyde Littlefield Texas Relays,2015-03-25,JT,W
52,"Herauf, Jess",JR-3,Minnesota,47.57m,"156' 1""",Baylor Invitational,2015-04-03,JT,W
53,"Streisel, Christine",SO-2,Duke,47.44m,"155' 8""",Dennis Craddock Carolina Relays,2015-03-20,JT,W
54,"Delic, Jessica",SR-4,Akron,47.41m,"155' 6""",Longhorn Invitational,2015-05-02,JT,W
55,"Melum, Rachel",SR-4,Minnesota,47.39m,"155' 6""",Big Ten Outdoor Track & Field Championships,2015-05-15,JT,W
56,"Smith, Victoria",SO-2,Stanford,47.35m,"155' 4""",Big Meet: Cal vs. Stanford,2015-04-11,JT,W
56,"Mitchell, Kendra",FR-1,Auburn,47.35m,"155' 4""",Al vs MS Border Clash,2015-04-10,JT,W
58,"Ward, Celena",JR-3,Washington St.,47.26m,"155' 1""",Mt. SAC Relays,2015-04-16,JT,W
59,"Frank, Kelsey",FR-1,Northwestern St.,47.25m,"155' 0""",Northwestern State Invitational,2015-04-25,JT,W
60,"White, Chloe",FR-1,Coastal Carolina,47.22m,"154' 11""",Big South Championships,2015-05-14,JT,W
61,"Slaney, Taylor",SR-4,Pittsburgh,47.15m,"154' 8""",Wake Forest Open,2015-03-20,JT,W
61,"Mautz, Caitlin",FR-1,Virginia,47.15m,"154' 8""",Virginia Challenge,2015-04-17,JT,W
63,"Counts, Mariah",SR-4,Cal St. Northridge,47.00m,"154' 2""",2015 Big West Championships,2015-05-15,JT,W
63,"Bradley, Krystyn",JR-3,Texas A&M,47.00m,"154' 2""",Michael Johnson Classic,2015-04-18,JT,W
65,"Rake, Melissa",JR-3,UC Santa Barbara,46.97m,"154' 1""",Stanford Invitational,2015-04-03,JT,W
66,"Cvitanovic, Lucija",JR-3,SMU,46.92m,"153' 11""",The American Outdoor Track & Field Championships,2015-05-14,JT,W
67,"Missler, Allie",JR-3,Ohio State,46.91m,"153' 11""",Big Ten Outdoor Track & Field Championships,2015-05-15,JT,W
68,"Baker, Natalie",SO-2,Texas Tech,46.85m,"153' 8""",Michael Johnson Classic,2015-04-18,JT,W
69,"Wells, Stephanie",JR-3,Montana,46.84m,"153' 8""",MSU Open,2015-04-04,JT,W
70,"Weinzheimer, Kianna",JR-3,Kansas,46.76m,"153' 5""",Baylor Invitational,2015-04-03,JT,W
71,"Bailey, Anna",FR-1,Penn State,46.75m,"153' 4""",Big Ten Outdoor Track & Field Championships,2015-05-15,JT,W
72,"Dell, Bailey",FR-1,DePaul,46.74m,"153' 4""",Illinois Twilight,2015-04-18,JT,W
73,"Goodell, Dakotah",SO-2,Iowa,46.71m,"153' 3""",Big Ten Outdoor Track & Field Championships,2015-05-15,JT,W
74,"Rivera, Barbara",FR-1,South Alabama,46.68m,"153' 2""",2015 University of Southern Mississippi Invitational,2015-04-24,JT,W
75,"Freedman, Shelby",FR-1,South Carolina,46.66m,"153' 1""",Crimson Tide Invitational,2015-03-27,JT,W
76,"Welch, Doren",JR-3,LSU,46.55m,"152' 9""",2015 Clyde Littlefield Texas Relays,2015-03-25,JT,W
77,"Hartig, Alex",SR-4,Arizona State,46.40m,"152' 3""",Duel in the Desert- ASU vs ARIZONA,2015-05-01,JT,W
78,"Lowe, Mi'Ca",SO-2,UL-Monroe,46.38m,"152' 2""",2015 Clyde Littlefield Texas Relays,2015-03-25,JT,W
79,"Molls, Carly",SR-4,Toledo,46.19m,"151' 6""",Ohio State - Jesse Owens Classic,2015-05-01,JT,W
79,"Larsson, Emelie",SR-4,Cincinnati,46.19m,"151' 6""",The American Outdoor Track & Field Championships,2015-05-14,JT,W
81,"Hassler, Olivia",JR-3,South Carolina,46.09m,"151' 2""",XIX Alan Connie Shamrock Invitational,2015-03-19,JT,W
82,"Pitko, Haley",SO-2,Kansas State,46.02m,"151' 0""",Big 12 Outdoor Track & Field Championships,2015-05-15,JT,W
83,"Hochhalter, Kayla",FR-1,Iowa,45.94m,"150' 9""",Big Ten Outdoor Track & Field Championships,2015-05-15,JT,W
84,"Anning, Stacey",FR-1,Rutgers,45.89m,"150' 7""",Raleigh Relays,2015-03-27,JT,W
85,"Madison, Jade",FR-1,Western Michigan,45.76m,"150' 1""",Toledo Invitational,2015-05-07,JT,W
86,"Taylor, Kelsie",SO-2,Washington St.,45.67m,"149' 10""",Pac-12 Track & Field Championships,2015-05-15,JT,W
86,"Zunino, Alyssa",JR-3,Nevada,45.67m,"149' 10""",Mountain West Outdoor Track & Field Championships,2015-05-13,JT,W
88,"Hibbard, Karly",FR-1,Lipscomb,45.66m,"149' 10""",Austin Peay Governors Invitational,2015-04-17,JT,W
89,"Lucas, Jenna",FR-1,UCF,45.59m,"149' 7""",UF Tom Jones Memorial,2015-04-24,JT,W
90,"Baker, Samantha",SO-2,Eastern Washington,45.54m,"149' 5""",OSU High Performance,2015-04-30,JT,W
91,"Osmundson, Maddie",JR-3,Nebraska,45.45m,"149' 1""",Nebraska Invitational,2015-05-09,JT,W
92,"Van Loo, Kaylie",SO-2,Portland,45.41m,"149' 0""",Portland Twilight Track Meet,2015-05-17,JT,W
93,"Sadeiko, Grete",SO-2,Florida State,45.32m,"148' 8""",Georgia Bulldog Decathlon/Heptathlon,2015-04-08,JT,W
94,"Kopp, Alyssa",SO-2,Auburn,45.31m,"148' 8""",2015 UT Challenge,2015-05-02,JT,W
95,"Leatherman, Lyndsay",FR-1,Washington,45.30m,"148' 7""",Stanford Invitational,2015-04-03,JT,W
96,"Devers, Nycole",SR-4,Montana,45.21m,"148' 4""",Big Sky Conference Outdoor Track & Field Championships,2015-05-13,JT,W
97,"Joubert, Laruschka",SO-2,Tulane,45.16m,"148' 2""",Georgia Tech Yellow Jacket Invitational,2015-03-27,JT,W
98,"Zerbe, Ally",FR-1,Missouri,45.11m,"148' 0""",Bobcat Invitational,2015-03-26,JT,W
99,"Estes, Mia",JR-3,Utah State,44.80m,"147' 0""",Border Clash 2015,2015-05-01,JT,W
100,"Lombardo, Anna",SO-2,Kent State,44.79m,"146' 11""",Mid-American Outdoor Track & Field Championships,2015-05-14,JT,W
1,"Sediva, Irena",SR-4,Virginia Tech,58.68m,"192' 6""",ACC Outdoor Track & Field Championships,2017-05-12,JT,W
2,"Wales, Rebekah",SR-4,LSU,58.23m,"191' 0""",SEC Outdoor Track & Field Championships,2017-05-11,JT,W
3,"Vucenovic, Marija",SR-4,Florida,55.93m,"183' 6""",SEC Outdoor Track & Field Championships,2017-05-11,JT,W
4,"Little, Mackenzie",SO-2,Stanford,55.60m,"182' 5""",Stanford Invitational,2017-03-31,JT,W
5,"Malone, Audrey",JR-3,Texas A&M,55.37m,"181' 8""",Baldy Castillo Invitational,2017-03-17,JT,W
6,"Stulce, Madalaine",SO-2,Texas A&M,55.31m,"181' 5""",SEC Outdoor Track & Field Championships,2017-05-11,JT,W
7,"Pryke, Ashley",SO-2,Memphis,55.18m,"181' 0""",The American Outdoor Track & Field Championships,2017-05-12,JT,W
8,"Wolczyk, Brittni",SO-2,Nebraska,54.48m,"178' 9""",Big Ten Outdoor Championships,2017-05-12,JT,W
9,"Ortiz, Daliadiz",SR-4,Tulane,53.50m,"175' 6""",The American Outdoor Track & Field Championships,2017-05-12,JT,W
10,"Carter, Kylee",SO-2,Auburn,53.37m,"175' 1""",FSU Relays,2017-03-24,JT,W
11,"Olin, Alyssa",SO-2,North Dakota State,53.18m,"174' 6""",Beach Invitational,2017-04-14,JT,W
12,"Blake, Sarah",SO-2,Kentucky,53.12m,"174' 3""",SEC Outdoor Track & Field Championships,2017-05-11,JT,W
13,"Poncik, Shelby",SR-4,Texas A&M,52.36m,"171' 9""",Baldy Castillo Invitational,2017-03-17,JT,W
14,"Kamasi, Atina",FR-1,Washington St.,52.32m,"171' 8""",Cougar Invitational,2017-04-29,JT,W
15,"Clark, Kristen",JR-3,Texas A&M,52.31m,"171' 7""",Baldy Castillo Invitational,2017-03-17,JT,W
16,"Haury, Zaybree",SR-4,UCLA,52.23m,"171' 4""",USC vs. UCLA,2017-04-29,JT,W
17,"Vivod, Eva",SR-4,Virginia Tech,52.14m,"171' 1""",ACC Outdoor Track & Field Championships,2017-05-12,JT,W
18,"Crouser, Haley",JR-3,Texas,52.13m,"171' 0""",Big 12 Outdoor Track & Field Championships,2017-05-12,JT,W
19,"Fitzgerald, Emma",FR-1,Wisconsin,51.98m,"170' 6""",UC Riverside Spring Track Classic,2017-03-23,JT,W
20,"Zelden, Samantha",FR-1,Alabama,51.87m,"170' 2""",SEC Outdoor Track & Field Championships,2017-05-11,JT,W
21,"Gochenour, Katelyn",FR-1,Duke,51.86m,"170' 2""",Beach Invitational,2017-04-14,JT,W
22,"Yanucil, Kelly",SR-4,Mount St. Mary's,51.75m,"169' 9""",Penn Relays,2017-04-27,JT,W
23,"Kearney, Gabrielle",FR-1,Oklahoma,50.77m,"166' 7""",Baldy Castillo Invitational,2017-03-17,JT,W
24,"Stallbaumer, Shaylyn",SO-2,Kansas,50.73m,"166' 5""",38th Sun Angel Classic,2017-04-06,JT,W
25,"Rivera, Barbara",JR-3,South Alabama,50.39m,"165' 4""",Sun Belt Outdoor Track and Field Championships,2017-05-12,JT,W
26,"Collier, Danielle",SO-2,Miami (Ohio),50.22m,"164' 9""",Mid-American Outdoor Track & Field Championships,2017-05-11,JT,W
26,"Montgomery, Tairyn",FR-1,Georgia,50.22m,"164' 9""",Georgia Tech Yellow Jacket Invitational,2017-03-17,JT,W
