,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,WIND,EVENT,GENDER
34,"Young, Phillip",SR-4,Mississippi,7.64m,"25' 0.75""",LSU Invitational,2015-05-02,1.1,LJ,M
34,"Mikell, Devyn",SO-2,Indiana State,7.64m,"25' 0.75""",EIU Twilight 2015,2015-05-08,3.0,LJ,M
37,"McClain, Terrell",FR-1,Akron,7.63m,"25' 0.5""",Mid-American Outdoor Track & Field Championships,2015-05-14,1.7,LJ,M
38,"Grant, Jonte",JR-3,California,7.61m,"24' 11.75""",Pac-12 Track & Field Championships,2015-05-15,3.0,LJ,M
39,"Askew, Tyler",SR-4,Purdue,7.60m,"24' 11.25""",2015 Jim Click Shootout,2015-04-11,1.6,LJ,M
39,"Quarles, Frank",SO-2,N. Carolina A&T,7.60m,"24' 11.25""",Georgia Invitational,2015-05-09,1.5,LJ,M
39,"Schulz, Cody",SO-2,Texas State,7.60m,"24' 11.25""",Bobcat Classic,2015-04-25,2.5,LJ,M
42,"Breaux, Devon",JR-3,Tulane,7.59m,"24' 11""",LSU Alumni Gold,2015-04-18,2.9,LJ,M
43,"Hudson, Cameron",JR-3,Alabama,7.58m,"24' 10.5""",SEC Championships,2015-05-14,-1.9,LJ,M
43,"Scott, Donald",SR-4,Eastern Michigan,7.58m,"24' 10.5""",Tennessee Relays,2015-04-09,0.0,LJ,M
45,"Parharm, Jemal",FR-1,UL-Monroe,7.56m,"24' 9.75""",Sun Belt Outdoor Track and Field Championships,2015-05-08,2.4,LJ,M
45,"Bazile, Zack",FR-1,Ohio State,7.56m,"24' 9.75""",Florida State Relays,2015-03-27,3.0,LJ,M
45,"Ashby, Austin",JR-3,Buffalo,7.56m,"24' 9.75""",Cornell Outdoor Upstate Challenge,2015-04-18,2.5,LJ,M
45,"Hamilton, Kartavius",JR-3,McNeese State,7.56m,"24' 9.75""",McNeese Cowboy Relays,2015-03-14,0.4,LJ,M
49,"Eze, Emeka",JR-3,Rutgers,7.55m,"24' 9.25""",Big Ten Outdoor Track & Field Championships,2015-05-15,1.0,LJ,M
49,"Davis, Devin",SR-4,UL-Lafayette,7.55m,"24' 9.25""",Sun Belt Outdoor Track and Field Championships,2015-05-08,1.4,LJ,M
51,"Turner, Michael",JR-3,Sacramento St.,7.54m,"24' 9""",Big Sky Conference Outdoor Track & Field Championships,2015-05-13,3.7,LJ,M
52,"Peterson, Anaquan",JR-3,Purdue,7.53m,"24' 8.5""",Kansas Relays,2015-04-15,2.6,LJ,M
52,"Farris-King, Anthony",JR-3,Central Arkansas,7.53m,"24' 8.5""",ASU Red Wolf Open,2015-04-24,2.7,LJ,M
54,"Wieland, Luca",SO-2,Minnesota,7.51m,"24' 7.75""",Big Ten Outdoor Track & Field Championships,2015-05-15,4.0,LJ,M
54,"Brits, Stefan",JR-3,Florida State,7.51m,"24' 7.75""",ACC Outdoor Track & Field Championships,2015-05-14,0.4,LJ,M
